label,population,tract,county,standardized_population,index
Estimate,"2,606",9501,Adams,-0.808625988,-0.808625988
Estimate,"1,763",9502,Adams,-1.408732412,-1.408732412
Estimate,"1,581",9503.01,Adams,-1.538292755,-1.538292755
Estimate,"2,434",9503.02,Adams,-0.931067631,-0.931067631
Estimate,"2,514",9503.03,Adams,-0.87411803,-0.87411803
Estimate,"3,144",9504,Adams,-0.42563992,-0.42563992
Estimate,"5,660",9505,Adams,1.365425041,1.365425041
Estimate,"4,320",9601,Asotin,0.411519219,0.411519219
Estimate,"4,755",9602,Asotin,0.721182676,0.721182676
Estimate,"3,633",9603,Asotin,-0.077535482,-0.077535482
Estimate,"2,517",9604,Asotin,-0.87198242,-0.87198242
Estimate,"3,517",9605,Asotin,-0.160112404,-0.160112404
Estimate,"3,894",9606,Asotin,0.108262592,0.108262592
Estimate,"1,651",9400,Ferry,-1.488461853,-1.488461853
Estimate,"3,024",9701,Ferry,-0.511064321,-0.511064321
Estimate,"2,968",9702,Ferry,-0.550929042,-0.550929042
Estimate,"2,258",9703,Garfield,-1.056356754,-1.056356754
Estimate,"1,852",9601,Lincoln,-1.34537598,-1.34537598
Estimate,"3,245",9602,Lincoln,-0.353741048,-0.353741048
Estimate,"2,628",9603,Lincoln,-0.792964848,-0.792964848
Estimate,"3,007",9604,Lincoln,-0.523166112,-0.523166112
Estimate,"1,973",9701,Pend Oreille,-1.259239708,-1.259239708
Estimate,"2,824",9702,Pend Oreille,-0.653438325,-0.653438325
Estimate,"3,238",9703,Pend Oreille,-0.358724138,-0.358724138
Estimate,"2,682",9704,Pend Oreille,-0.754523867,-0.754523867
Estimate,"2,871",9705,Pend Oreille,-0.619980434,-0.619980434
Estimate,"2,774",2.01,Spokane,-0.689031825,-0.689031825
Estimate,"1,383",2.02,Spokane,-1.679243018,-1.679243018
Estimate,"2,564",3.01,Spokane,-0.838524529,-0.838524529
Estimate,"2,760",3.02,Spokane,-0.698998006,-0.698998006
Estimate,"3,853",4,Spokane,0.079075922,0.079075922
Estimate,"3,522",5,Spokane,-0.156553054,-0.156553054
Estimate,"3,246",6,Spokane,-0.353029178,-0.353029178
Estimate,"5,244",7,Spokane,1.069287114,1.069287114
Estimate,"5,281",8,Spokane,1.095626305,1.095626305
Estimate,"6,172",9,Spokane,1.729902489,1.729902489
Estimate,"5,518",10,Spokane,1.264339498,1.264339498
Estimate,"3,444",11,Spokane,-0.212078915,-0.212078915
Estimate,"2,476",12,Spokane,-0.90116909,-0.90116909
Estimate,"3,424",13,Spokane,-0.226316315,-0.226316315
Estimate,"6,202",14,Spokane,1.751258589,1.751258589
Estimate,"5,777",15,Spokane,1.448713833,1.448713833
Estimate,"3,344",16,Spokane,-0.283265916,-0.283265916
Estimate,"2,903",18,Spokane,-0.597200593,-0.597200593
Estimate,"3,652",19,Spokane,-0.064009951,-0.064009951
Estimate,"4,072",20,Spokane,0.234975455,0.234975455
Estimate,"2,606",21,Spokane,-0.808625988,-0.808625988
Estimate,"4,824",23,Spokane,0.770301707,0.770301707
Estimate,"2,977",24,Spokane,-0.544522212,-0.544522212
Estimate,"3,268",25.01,Spokane,-0.337368038,-0.337368038
Estimate,"2,592",25.02,Spokane,-0.818592168,-0.818592168
Estimate,"3,205",25.03,Spokane,-0.382215849,-0.382215849
Estimate,"4,857",26,Spokane,0.793793418,0.793793418
Estimate,"3,246",29,Spokane,-0.353029178,-0.353029178
Estimate,"2,557",30,Spokane,-0.843507619,-0.843507619
Estimate,"5,004",31,Spokane,0.89843831,0.89843831
Estimate,"2,865",32,Spokane,-0.624251654,-0.624251654
Estimate,"2,671",35,Spokane,-0.762354437,-0.762354437
Estimate,"2,267",36.01,Spokane,-1.049949924,-1.049949924
Estimate,"2,337",36.02,Spokane,-1.000119022,-1.000119022
Estimate,"1,745",38,Spokane,-1.421546072,-1.421546072
Estimate,"2,153",39,Spokane,-1.131103105,-1.131103105
Estimate,"2,794",40.01,Spokane,-0.674794425,-0.674794425
Estimate,"2,301",40.02,Spokane,-1.025746343,-1.025746343
Estimate,"2,221",41,Spokane,-1.082695944,-1.082695944
Estimate,"4,726",42,Spokane,0.700538446,0.700538446
Estimate,"3,441",43,Spokane,-0.214214525,-0.214214525
Estimate,"4,790",44,Spokane,0.746098127,0.746098127
Estimate,"3,605",45,Spokane,-0.097467842,-0.097467842
Estimate,"3,876",46.01,Spokane,0.095448932,0.095448932
Estimate,"3,145",46.02,Spokane,-0.42492805,-0.42492805
Estimate,"3,375",47.01,Spokane,-0.261197946,-0.261197946
Estimate,"3,745",47.02,Spokane,0.00219396,0.00219396
