label,not_US_citizen,naturalized_citizen,naturalized_2015_or_later,naturalized_2010_to_2014,naturalized_2005_to_2009,naturalized_2000_to_2004,naturalized_1995_to_1999,naturalized_1990_to_1994,naturalized_before_1990,tract,county,standardized_not_US_citizen,standardized_naturalized_citizen,standardized_naturalized_2015_or_later,standardized_naturalized_2010_to_2014,standardized_naturalized_2005_to_2009,standardized_naturalized_2000_to_2004,standardized_naturalized_1995_to_1999,standardized_naturalized_1990_to_1994,standardized_naturalized_before_1990,index
Estimate,28,94,6,0,10,7,0,53,18,9501,Adams,-0.482363656,-0.136075258,-0.378574956,-0.63210376,-0.266685163,-0.198157069,-0.526855293,4.422119761,-0.225830395,1.57547421
Estimate,132,8,1,6,0,0,0,0,1,9502,Adams,0.08777329,-1.067185004,-0.543211879,-0.435767147,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-1.011689856,-5.048763775
Estimate,486,31,4,0,0,0,18,5,4,9503.01,Adams,2.028431738,-0.818167281,-0.444429726,-0.63210376,-0.543977123,-0.566039976,0.286007159,0.017050587,-0.873008775,-1.546237158
Estimate,571,194,18,10,8,36,111,0,11,9503.02,Adams,2.494409049,0.946610493,0.016553658,-0.304876071,-0.322143555,1.32592926,4.485796497,-0.441810786,-0.549419585,7.65104896
Estimate,545,128,0,82,15,0,7,0,24,9503.03,Adams,2.351874813,0.232037897,-0.576139264,2.051163291,-0.128039184,-0.566039976,-0.210742117,-0.441810786,0.051531768,2.763836442
Estimate,729,141,18,29,4,11,33,7,39,9504,Adams,3.360578639,0.372787045,0.016553658,0.316856538,-0.433060339,0.012061735,0.963392536,0.200595135,0.744937175,5.554702122
Estimate,"1,266",448,186,74,61,21,22,22,62,9505,Adams,6.304458828,3.6966323,5.548354258,1.78938114,1.147503831,0.537608745,0.46664326,1.577179253,1.808158799,22.87592041
Estimate,142,19,0,0,0,3,0,0,16,9601,Asotin,0.14259415,-0.948089571,-0.576139264,-0.63210376,-0.543977123,-0.408375873,-0.526855293,-0.441810786,-0.318284449,-4.25304197
Estimate,22,74,8,0,0,0,0,47,19,9602,Asotin,-0.515256172,-0.352612408,-0.312720187,-0.63210376,-0.543977123,-0.566039976,-0.526855293,3.871486114,-0.179603368,0.242317826
Estimate,70,26,21,0,0,0,0,0,5,9603,Asotin,-0.252116043,-0.872301569,0.115335811,-0.63210376,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-0.826781748,-4.546650487
Estimate,36,33,11,4,0,0,6,0,12,9604,Asotin,-0.438506967,-0.796513566,-0.213938034,-0.501212685,-0.543977123,-0.566039976,-0.255901142,-0.441810786,-0.503192558,-4.261092838
Estimate,137,57,0,21,0,0,0,0,36,9605,Asotin,0.11518372,-0.536668986,-0.576139264,0.055074387,-0.543977123,-0.566039976,-0.526855293,-0.441810786,0.606256094,-2.414977228
Estimate,56,33,0,12,0,8,0,0,13,9606,Asotin,-0.328865247,-0.796513566,-0.576139264,-0.239430533,-0.543977123,-0.145602368,-0.526855293,-0.441810786,-0.456965531,-4.056159711
Estimate,5,14,3,0,1,0,0,1,9,9400,Ferry,-0.608451634,-1.002223859,-0.47735711,-0.63210376,-0.516247927,-0.566039976,-0.526855293,-0.350038511,-0.641873639,-5.321191711
Estimate,39,10,0,0,6,0,0,0,4,9701,Ferry,-0.422060709,-1.045531289,-0.576139264,-0.63210376,-0.377601947,-0.566039976,-0.526855293,-0.441810786,-0.873008775,-5.4611518
Estimate,2,41,0,0,0,0,10,1,30,9702,Ferry,-0.624897892,-0.709898706,-0.576139264,-0.63210376,-0.543977123,-0.566039976,-0.075265042,-0.350038511,0.328893931,-3.749466344
Estimate,83,4,0,4,0,0,0,0,0,9703,Garfield,-0.180848925,-1.110492434,-0.576139264,-0.501212685,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-1.057916883,-5.505293369
Estimate,20,22,0,0,6,0,8,0,8,9601,Lincoln,-0.526220344,-0.915608999,-0.576139264,-0.63210376,-0.377601947,-0.566039976,-0.165583092,-0.441810786,-0.688100666,-4.889208835
Estimate,32,23,0,7,6,0,0,0,10,9602,Lincoln,-0.460435312,-0.904782141,-0.576139264,-0.403044378,-0.377601947,-0.566039976,-0.526855293,-0.441810786,-0.595646612,-4.852355709
Estimate,22,20,0,2,0,8,0,0,10,9603,Lincoln,-0.515256172,-0.937262714,-0.576139264,-0.566658222,-0.543977123,-0.145602368,-0.526855293,-0.441810786,-0.595646612,-4.849208554
