label,native,foreign_born,tract,county,standardized_native,standardized_foreign_born,index
Estimate,2484,122,9501,Adams,-0.777232378,-0.423714443,-1.200946821
Estimate,1623,140,9502,Adams,-1.423574378,-0.347868591,-1.771442969
Estimate,1064,517,9503.01,Adams,-1.843208731,1.240680652,-0.60252808
Estimate,1669,765,9503.02,Adams,-1.38904275,2.285667952,0.896625202
Estimate,1841,673,9503.03,Adams,-1.259924487,1.898011373,0.638086885
Estimate,2274,870,9504,Adams,-0.934876768,2.728102091,1.793225323
Estimate,3946,1714,9505,Adams,0.320272854,6.284429838,6.604702692
Estimate,4159,161,9601,Asotin,0.480169307,-0.259381763,0.220787544
Estimate,4659,96,9602,Asotin,0.855513093,-0.533269564,0.32224353
Estimate,3537,96,9603,Asotin,0.013241637,-0.533269564,-0.520027927
Estimate,2448,69,9604,Asotin,-0.80425713,-0.647038342,-1.451295473
Estimate,3323,194,9605,Asotin,-0.147405504,-0.120331034,-0.267736538
Estimate,3805,89,9606,Asotin,0.214425906,-0.562765173,-0.348339267
Estimate,1632,19,9400,Ferry,-1.41681819,-0.857721266,-2.274539456
Estimate,2975,49,9701,Ferry,-0.408644779,-0.731311512,-1.139956291
Estimate,2925,43,9702,Ferry,-0.446179158,-0.756593462,-1.20277262
Estimate,2171,87,9703,Garfield,-1.012197588,-0.57119249,-1.583390078
Estimate,1810,42,9601,Lincoln,-1.283195802,-0.760807121,-2.044002923
Estimate,3190,55,9602,Lincoln,-0.247246951,-0.706029561,-0.953276512
Estimate,2586,42,9603,Lincoln,-0.700662245,-0.760807121,-1.461469366
Estimate,2961,46,9604,Lincoln,-0.419154406,-0.743952487,-1.163106892
Estimate,1875,98,9701,Pend Oreille,-1.23440111,-0.524842247,-1.759243356
Estimate,2773,51,9702,Pend Oreille,-0.560283669,-0.722884195,-1.283167864
Estimate,3069,169,9703,Pend Oreille,-0.338080148,-0.225672495,-0.563752643
Estimate,2646,36,9704,Pend Oreille,-0.655620991,-0.786089072,-1.441710063
Estimate,2725,146,9705,Pend Oreille,-0.596316673,-0.32258664,-0.918903313
Estimate,2708,66,2.01,Spokane,-0.609078361,-0.659679318,-1.268757679
Estimate,1325,58,2.02,Spokane,-1.647279275,-0.693388585,-2.34066786
Estimate,2460,104,3.01,Spokane,-0.79524888,-0.499560296,-1.294809175
Estimate,2519,241,3.02,Spokane,-0.750958313,0.077710914,-0.673247398
Estimate,3589,264,4,Spokane,0.05227739,0.174625059,0.226902449
Estimate,3367,155,5,Spokane,-0.114375251,-0.284663714,-0.399038965
Estimate,3190,56,6,Spokane,-0.247246951,-0.701815902,-0.949062854
Estimate,5158,86,7,Spokane,1.230106192,-0.575406148,0.654700044
Estimate,5205,76,8,Spokane,1.265388508,-0.617542733,0.647845775
Estimate,6077,95,9,Spokane,1.919988072,-0.537483222,1.38250485
Estimate,5436,82,10,Spokane,1.438797338,-0.592260782,0.846536556
Estimate,3326,118,11,Spokane,-0.145153441,-0.440569077,-0.585722519
Estimate,2354,122,12,Spokane,-0.874821762,-0.423714443,-1.298536206
Estimate,3340,84,13,Spokane,-0.134643815,-0.583833465,-0.71847728
Estimate,5301,901,14,Spokane,1.337454515,2.858725503,4.196180019
Estimate,5711,66,15,Spokane,1.64523642,-0.659679318,0.985557103
Estimate,2779,565,16,Spokane,-0.555779544,1.442936258,0.887156714
Estimate,2636,267,18,Spokane,-0.663127867,0.187266035,-0.475861832
Estimate,3615,37,19,Spokane,0.071795267,-0.781875413,-0.710080146
Estimate,3923,149,20,Spokane,0.30300704,-0.309945665,-0.006938625
Estimate,2521,85,21,Spokane,-0.749456938,-0.579619807,-1.329076744
Estimate,4725,99,23,Spokane,0.905058473,-0.520628588,0.384429885
Estimate,2891,86,24,Spokane,-0.471702536,-0.575406148,-1.047108684
Estimate,3209,59,25.01,Spokane,-0.232983887,-0.689174927,-0.922158814
Estimate,2441,151,25.02,Spokane,-0.809511943,-0.301518348,-1.111030291
Estimate,3051,154,25.03,Spokane,-0.351592524,-0.288877372,-0.640469896
Estimate,4215,642,26,Spokane,0.522207811,1.76738796,2.289595771
Estimate,2915,331,29,Spokane,-0.453686034,0.456940177,0.003254143
Estimate,2235,322,30,Spokane,-0.964153584,0.41901725,-0.545136333
Estimate,4538,466,31,Spokane,0.764679897,1.02578407,1.790463967
Estimate,2605,260,32,Spokane,-0.686399181,0.157770425,-0.528628756
Estimate,2569,102,35,Spokane,-0.713423934,-0.507987613,-1.221411547
Estimate,2214,53,36.01,Spokane,-0.979918023,-0.714456878,-1.6943749
Estimate,2215,122,36.02,Spokane,-0.979167335,-0.423714443,-1.402881778
Estimate,1608,137,38,Spokane,-1.434834692,-0.360509566,-1.795344258
Estimate,2020,133,39,Spokane,-1.125551412,-0.3773642,-1.502915612
Estimate,2358,436,40.01,Spokane,-0.871819012,0.899374316,0.027555304
Estimate,2216,85,40.02,Spokane,-0.978416647,-0.579619807,-1.558036454
Estimate,2134,87,41,Spokane,-1.039973028,-0.57119249,-1.611165518
Estimate,4507,219,42,Spokane,0.741408582,-0.014989572,0.72641901
Estimate,3214,227,43,Spokane,-0.22923045,0.018719696,-0.210510754
Estimate,4649,141,44,Spokane,0.848006218,-0.343654932,0.504351285
Estimate,3491,114,45,Spokane,-0.021289992,-0.457423711,-0.478713703
Estimate,3657,219,46.01,Spokane,0.103324145,-0.014989572,0.088334573
Estimate,2898,247,46.02,Spokane,-0.466447723,0.102992865,-0.363454857
Estimate,3171,204,47.01,Spokane,-0.261510015,-0.078194449,-0.339704464
Estimate,3449,296,47.02,Spokane,-0.05281887,0.30946213,0.25664326
Estimate,3815,268,48,Spokane,0.221932782,0.191479693,0.413412475
