label,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,car_track_van_drove_alone,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_older,car_truck_van_carpool,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,public_transportation_no_taxi,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,walked,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,taxi_motorcycle_bicycle_other,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,worked_from_home,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,tract,county,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_car_track_van_drove_alone,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_older,standardized_car_truck_van_carpool,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_public_transportation_no_taxi,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_walked,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_taxi_motorcycle_bicycle_other,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_worked_from_home,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,index
Estimate,47,99,422,175,85,154,66,699,17,48,286,130,75,99,44,143,0,28,55,38,10,10,2,0,0,0,0,0,0,0,0,99,15,23,21,7,0,20,13,25,2,0,15,0,0,8,0,82,13,0,45,0,0,17,7,9501,Adams,-0.23486273,-0.395988751,-0.785626645,-0.795443757,-0.733546518,0.255653163,-0.384145537,-0.963073577,-0.572967328,-0.585940158,-0.846383148,-0.75560768,-0.602382518,-0.053633938,-0.421633731,-0.167122533,-0.620329063,0.265371761,-0.314169509,0.283000866,-0.100374046,0.077126929,-0.311553783,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,0.317638366,0.096819483,0.138970287,-0.015965947,0.110616382,-0.411273204,2.339449077,1.479642521,-0.027996684,0.197381351,-0.225569061,0.176131309,-0.430617602,-0.338614956,0.656371197,-0.294079843,-0.510108442,0.699799312,-0.431689786,-0.142844066,-0.810400745,-0.670868129,0.136105877,-0.312571416,-10.2268321
Estimate,22,89,292,175,64,57,62,574,9,81,229,124,49,35,47,99,11,8,45,26,3,2,4,0,0,0,0,0,0,0,0,33,2,0,8,12,0,9,2,8,0,0,2,4,0,2,0,47,0,0,8,9,12,9,9,9502,Adams,-0.581698428,-0.445128197,-1.118604694,-0.795443757,-0.94529588,-0.866527671,-0.453235103,-1.182761531,-0.796058863,-0.34193984,-1.031337743,-0.796195579,-0.90554901,-0.934644714,-0.358663949,-0.54650529,0.151917322,-0.364090744,-0.446489463,-0.113850923,-0.527547314,-0.299252485,-0.147010227,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.236119744,-0.19697331,-0.26276456,-0.367660283,0.535885244,-0.411273204,0.889984321,-0.042340307,-0.586315168,-0.20174337,-0.225569061,-0.547558472,0.018402462,-0.338614956,0.006510445,-0.294079843,-0.865320941,-0.230269159,-0.431689786,-0.790665344,-0.574624376,0.070937718,-0.217190229,-0.21221954,-22.5467107
Estimate,12,25,183,53,108,77,25,283,12,0,114,15,75,42,25,192,0,25,61,38,33,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,3,0,0,0,0,9503.01,Adams,-0.720432707,-0.759620653,-1.397793982,-1.481095944,-0.501630549,-0.63515018,-1.092313587,-1.694195089,-0.712399537,-0.940849711,-1.404491749,-1.533542401,-0.602382518,-0.838284161,-0.82044235,0.2553719,-0.620329063,0.170952385,-0.234777536,0.283000866,1.30319526,1.253312597,-0.476097339,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.512998798,-0.242172201,-0.26276456,-0.584087566,-0.484760026,-0.411273204,-0.295941388,-0.319064458,-0.68484196,-0.20174337,-0.225569061,-0.380553138,-0.430617602,-0.338614956,-0.210109806,-0.294079843,-1.311873798,-0.230269159,-0.431689786,-0.87820876,-0.810400745,-0.670868129,-0.614648347,-0.66380298,-27.88047484
Estimate,45,91,484,211,97,17,103,873,45,91,442,163,64,17,51,149,0,0,16,48,33,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,9503.02,Adams,-0.262609586,-0.435300308,-0.62682173,-0.59312016,-0.612546882,-1.329282654,0.254932947,-0.657267944,0.207853041,-0.268000349,-0.340191626,-0.532374239,-0.730645265,-1.182428995,-0.27470424,-0.115388521,-0.620329063,-0.615875746,-0.83021733,0.61371069,1.30319526,-0.393347338,3.802035124,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.512998798,-0.242172201,-0.26276456,-0.584087566,-0.484760026,-0.411273204,-0.295941388,-0.319064458,-0.849053279,-0.20174337,-0.225569061,-0.658895362,-0.430617602,-0.338614956,-0.210109806,-0.294079843,-1.078448441,-0.230269159,-0.431689786,-0.475509046,-0.810400745,-0.670868129,-0.614648347,-0.66380298,-18.72563218
Estimate,57,14,380,304,37,43,45,722,57,14,329,253,10,43,16,48,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,3,51,27,0,29,9503.03,Adams,-0.096128451,-0.813674044,-0.893204169,-0.07045087,-1.217545061,-1.028491915,-0.746865758,-0.922650993,0.542490343,-0.837334425,-0.706855998,0.076444239,-1.360298749,-0.824518367,-1.009351696,-0.986244394,-0.620329063,-0.615875746,-0.406793477,-0.973696465,-0.710621571,-0.393347338,-0.476097339,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.512998798,-0.242172201,-0.26276456,-0.584087566,-0.484760026,-0.411273204,-0.295941388,-0.319064458,-0.849053279,-0.20174337,-0.225569061,-0.658895362,-0.430617602,-0.338614956,-0.210109806,-0.294079843,-0.225938442,-0.230269159,-0.431689786,-0.87820876,0.525665348,0.998195026,-0.614648347,0.791299216,-24.66830684
Estimate,24,85,539,263,23,62,38,690,0,77,366,144,7,58,38,265,21,4,130,107,3,0,0,7,0,0,0,7,0,0,0,13,3,4,6,0,0,0,0,36,0,0,31,5,0,0,0,23,0,0,6,0,13,4,0,9504,Adams,-0.553951572,-0.464783976,-0.485946401,-0.300874966,-1.358711303,-0.808683298,-0.867772498,-0.97889111,-1.047036839,-0.371515636,-0.586797752,-0.660902584,-1.395279498,-0.618031467,-0.547573295,0.884802383,0.85395949,-0.489983245,0.678230148,2.564898651,-0.527547314,-0.393347338,-0.476097339,-0.527291282,-0.352214354,-0.3470539,-0.513473811,0.178961331,-0.355028892,-0.28395955,-0.267278524,-0.403925231,-0.174373864,-0.19289763,-0.421767104,-0.484760026,-0.411273204,-0.295941388,-0.319064458,0.333268218,-0.20174337,-0.225569061,1.066826424,0.130657478,-0.338614956,-0.210109806,-0.294079843,-1.108895227,-0.230269159,-0.431689786,-0.82568271,-0.810400745,0.132754872,-0.438000295,-0.66380298,-17.23852959
Estimate,88,390,992,392,158,86,74,1563,66,259,685,328,102,75,48,426,0,131,182,31,56,0,26,7,7,0,0,0,0,0,0,26,0,0,26,0,0,0,0,9,0,0,0,9,0,0,0,149,15,0,99,24,0,11,0,9505,Adams,0.333947814,1.033969136,0.674354031,0.424117921,0.002534601,-0.531030308,-0.245966405,0.555409564,0.793468319,0.974183088,0.448299014,0.58379297,-0.287555776,-0.384012979,-0.337674022,2.272998379,-0.620329063,3.50710366,1.36629391,0.051503989,2.706764567,-0.393347338,1.662968893,-0.527291282,0.595656629,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.294851664,-0.242172201,-0.26276456,0.119301105,-0.484760026,-0.411273204,-0.295941388,-0.319064458,-0.553472904,-0.20174337,-0.225569061,-0.658895362,0.579677542,-0.338614956,-0.210109806,-0.294079843,0.169869771,0.842886769,-0.431689786,0.802624827,-0.18166376,-0.670868129,-0.128866202,-0.66380298,8.11319425
Estimate,34,38,624,313,149,237,137,1176,34,22,518,218,119,227,38,186,0,16,41,74,18,10,27,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,21,0,0,0,9,12,0,0,145,0,0,65,12,0,0,68,9601,Asotin,-0.415217293,-0.695739373,-0.268229985,-0.019869971,-0.088215126,1.215869752,0.842194257,-0.124744343,-0.098897818,-0.778182832,-0.0935855,-0.160318502,-0.089331531,1.708387614,-0.547573295,0.203637888,-0.620329063,-0.112305742,-0.499417445,1.473556232,0.387823973,0.077126929,1.745240671,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.479437701,-0.242172201,-0.26276456,-0.584087566,-0.484760026,-0.411273204,-0.295941388,0.234383843,-0.159365739,-0.20174337,-0.225569061,-0.658895362,0.579677542,1.010928498,-0.210109806,-0.294079843,0.129274057,-0.230269159,-0.431689786,0.207329598,-0.496032253,-0.670868129,-0.614648347,2.74816079,-2.191598827
Estimate,53,128,646,686,282,397,200,1803,53,128,502,445,261,277,137,121,0,0,89,0,0,0,32,47,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,8,241,21,120,31,9602,Asotin,-0.151622163,-0.253484357,-0.211879853,2.076427291,1.252864172,3.066889684,1.93035492,0.977210437,0.430944576,0.005575765,-0.145502579,1.37525699,1.566423929,2.396677283,1.530429508,-0.356813912,-0.620329063,-0.615875746,0.135718336,-0.973696465,-0.710621571,-0.393347338,2.156599561,0.152126459,-0.352214354,-0.3470539,0.944561266,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.512998798,-0.242172201,-0.26276456,-0.584087566,-0.484760026,-0.411273204,-0.295941388,-0.319064458,-0.849053279,-0.20174337,-0.225569061,-0.658895362,-0.430617602,-0.338614956,-0.210109806,-0.294079843,2.930378339,-0.230269159,-0.431689786,-0.790665344,5.503166482,0.627292103,4.684793234,0.891651091,20.39793665
Estimate,77,154,808,199,177,94,48,1291,62,124,637,173,153,94,48,113,15,0,90,0,8,0,0,0,0,0,0,0,0,0,0,117,0,12,81,8,16,0,0,30,0,18,0,12,0,0,0,6,0,0,0,6,0,0,0,9603,Asotin,0.181340107,-0.125721796,0.203062023,-0.660561359,0.194117358,-0.438479312,-0.695048584,0.077368575,0.681922552,-0.024000031,0.292547776,-0.464727741,0.30711696,-0.122462905,-0.337674022,-0.425792595,0.432734189,-0.615875746,0.148950331,-0.973696465,-0.222423551,-0.393347338,-0.476097339,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,0.468663305,-0.242172201,-0.05316377,1.607238679,0.195670154,1.447072385,-0.295941388,-0.319064458,0.136214635,-0.20174337,1.098895264,-0.658895362,0.916442589,-0.338614956,-0.210109806,-0.294079843,-1.281427012,-0.230269159,-0.431689786,-0.93073481,-0.653216499,-0.670868129,-0.614648347,-0.66380298,-8.866518931
