Label,Total,"Less_than_$10,000",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$10,000_to_$19,999",With_dial-up_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$20,000_to_$34,999",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$35,000_to_$49,999",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$50,000_to_$74,999",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$75,000_or_more",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,tract,county,standarized_total,"standardized_Less_than_$10,000",Standarized_With_dialup_Internet_subscription_alone,standarized_With_a_broadband_Internet_subscription,standardized_Without_an_Internet_subscription,"standarized_$10,000_to_$19,999",standarized_With_dial-up_Internet_subscription_alone,standarized_With_a_broadband_Internet_subscription,standarized_Without_an_Internet_subscription,"standarized_$20,000_to_$34,999",standarized_With_dialup_Internet_subscription_alone,standarized_With_a_broadband_Internet_subscription,standarized_Without_an_Internet_subscription,"standarized_$35,000_to_$49,999",standarized_With_dialup_Internet_subscription_alone,standarized_With_a_broadband_Internet_subscription,standarized_Without_an_Internet_subscription,"standarized_$50,000_to_$74,999",standardized_With_dialup_Internet_subscription_alone,standardized_With_a_broadband_Internet_subscription,standardized_Without_an_Internet_subscription,"standardized_$75,000_or_more",standarized_With_dialup_Internet_subscription_alone,standardized_With_a_broadband_Internet_subscription,standardized_Without_an_Internet_subscription,index
Estimate,"1,099",83,0,52,31,116,0,70,46,179,5,127,47,152,0,121,31,201,0,188,13,368,0,347,21,9501,Adams,-0.146968326861211,-2.45335912767658,-0.237078754538727,-0.209317898968734,0.083846892007968,-0.105327723724257,-0.18447531184215,-0.234323799450426,0.248328849854949,-0.275277756614605,1.41306110350304,-0.347751286580403,-0.03604192688251,-0.468734456859637,-0.242232847692878,-0.524126507791353,0.126515824816888,-0.559441713360641,-0.236178551825273,-0.49438966174234,-0.422037512025571,-0.576287008466301,-0.300342770402834,-0.561355608859438,-0.162649138327677,-6.9059450203107
Estimate,612,54,2,17,35,36,0,26,10,69,0,52,17,88,0,68,20,139,0,117,22,226,0,205,21,9502,Adams,-1.53133863350569,-2.50390467461601,0.517450151210613,-0.622216310701022,0.195439482825845,-0.928604752727529,-0.18447531184215,-0.795864047419127,-0.69460513449341,-1.0931879028363,-0.301727901411127,-1.01259129331059,-0.601385294268161,-0.988455933593526,-0.242232847692877,-0.989435706790744,-0.261710326641032,-1.03129910852789,-0.236178551825273,-1.07267602067448,-0.097681104043249,-0.990131981715771,-0.300342770402833,-0.978758231379221,-0.162649138327677,-16.9085633447092
Estimate,501,45,0,30,15,8,0,0,8,118,0,15,103,131,0,108,23,87,0,76,11,112,0,98,14,9503.01,Adams,-1.72480607179107,-2.51959122366618,-0.237078754538727,-0.468854043486172,-0.362523471263542,-1.21675171287867,-0.18447531184215,-1.12768328485518,-0.746990355846096,-0.728846110428456,-0.301727901411127,-1.34057902996415,1.01926569223737,-0.639268066412944,-0.242232847692877,-0.63825895282894,-0.155830467152508,-1.42705047221655,-0.236178551825273,-1.40661603076205,-0.49411671379942,-1.32237372080337,-0.300342770402833,-1.29327992581314,-0.359209087570841,-18.4553991870149
Estimate,621,0,0,0,0,62,0,52,10,102,0,60,42,61,0,48,13,201,0,201,0,195,0,154,41,9503.02,Adams,-1.51565208445552,-2.59802396891701,-0.237078754538727,-0.822766967828134,-0.780995686830582,-0.661039718301466,-0.18447531184215,-0.464044809983077,-0.69460513449341,-0.847814858969794,-0.301727901411127,-0.94167502592604,-0.130265821446785,-1.20771343159064,-0.242232847692877,-1.16502408377165,-0.508763332114253,-0.559441713360641,-0.236178551825273,-0.388506243909694,-0.89055232355559,-1.08047841953784,-0.300342770402833,-1.12867044087576,0.398950716652792,-17.4891194869281
Estimate,632,9,0,9,0,22,0,22,0,201,0,152,49,54,0,54,0,139,0,121,18,207,0,199,8,9503.03,Adams,-1.49647963561643,-2.58233741986684,-0.237078754538727,-0.716593090525545,-0.780995686830582,-1.0726782328031,-0.18447531184215,-0.846913160870827,-0.956531241256842,-0.111695727370266,-0.301727901411127,-0.126137951003673,0.0016476309432,-1.2645579681084,-0.242232847692877,-1.11234757067738,-0.967576056564521,-1.03129910852789,-0.236178551825273,-1.0400965074952,-0.241839507590948,-1.04550560489704,-0.300342770402833,-0.996394961908226,-0.527689044064981,-18.4180569827485
Estimate,876,82,0,66,16,60,0,6,54,146,0,103,43,111,0,82,29,189,0,163,26,288,0,265,23,9504,Adams,-1.07119986136747,-2.45510207757105,-0.237078754538727,-0.044158534275819,-0.334625323559072,-0.681621644026548,-0.18447531184215,-1.05110961467763,0.457869735265695,-0.520650800481115,-0.301727901411127,-0.560500088734064,-0.11142104253393,-0.801681027892284,-0.242232847692877,-0.866523842904112,0.055929251824539,-0.650768951134947,-0.236178551825273,-0.698011619112811,0.046477299504449,-0.809439106071636,-0.300342770402833,-0.802390926089172,-0.10648915282963,-12.5074534643796
Estimate,"1,694",200,0,131,69,166,0,62,104,175,0,119,56,362,0,345,17,281,0,270,11,510,0,441,69,9505,Adams,0.354533152303216,-2.24943399002442,-0.237078754538727,0.722652801798431,1.1439765047778,0.409220419402788,-0.18447531184215,-0.336422026353827,1.76750026908286,-0.30501994374994,-0.301727901411127,-0.418667553964957,0.133561083333186,1.23660163867344,-0.242232847692877,1.44246331439475,-0.367590186129555,0.049406538468067,-0.236178551825273,0.173490358432809,-0.49411671379942,-0.162442035216832,-0.300342770402833,-0.285046830571695,1.18519051362545,2.49782117676916
Estimate,"1,782",50,0,32,18,108,8,70,30,175,0,122,53,246,0,199,47,323,0,290,33,880,0,848,32,9601,Asotin,0.507912743015955,-2.51087647419386,-0.237078754538727,-0.445259848530041,-0.278829028150133,-0.187655426624585,0.904524109677639,-0.234323799450426,-0.170752920966544,-0.30501994374994,-0.301727901411127,-0.392073953695749,0.077026746594621,0.294606462093262,-0.242232847692877,0.160668162434164,0.69120840875568,0.369051870678139,-0.236178551825273,0.336387924329186,0.298754505712921,0.915886416207842,-0.300342770402833,0.911311390312471,0.146230781911581,-0.228782699508656
Estimate,"2,014",58,0,58,0,84,0,67,17,147,0,90,57,366,13,291,62,385,0,368,17,974,14,879,81,9602,Asotin,0.912277118531357,-2.49693287503816,-0.237078754538727,-0.138535314100342,-0.780995686830582,-0.434638535325566,-0.18447531184215,-0.272610634539202,-0.511256859759007,-0.513215253697281,-0.301727901411127,-0.675739023233963,0.152405862246041,1.2690842309693,1.71787580761785,0.968374696546313,1.2206077061983,0.840909265845387,-0.236178551825273,0.971688431325059,-0.277879108477872,1.18984013089411,4.02256834067615,1.00243449804566,1.52215042661373,8.72895270489001
Estimate,"1,364",92,0,23,69,215,0,194,21,287,0,214,73,214,0,190,24,352,0,346,6,204,0,189,15,9603,Asotin,-0.220640312869555,-2.43767257862642,-0.237078754538727,-0.55143372583263,1.1439765047778,0.913477599667292,-0.18447531184215,1.34819871755228,-0.406486417053633,0.527761296039426,-0.301727901411127,0.423463121226617,0.453922324851721,0.034745723726318,-0.242232847692877,0.081653392792758,-0.120537180656334,0.589759361966045,-0.236178551825273,0.792501108839043,-0.674314718234043,-1.05424880855724,-0.300342770402833,-1.0257895127899,-0.331129094821817,-2.01482933571526
