label,has_internet_subscription,dial_up_only,broadband,satellite,other_internet_service,internet_without_subscription,no_internet_access,tract,county,standardized_has_internet_subscription,standardized_dial_up_only,standardized_broadband,standardized_satellite,standardized_other_internet_service,standardized_internet_without_subscription,standardized_no_internet_access,index
Estimate,910,5,597,96,20,52,137,9501,Adams,-0.740979978,-0.118166199,-0.886925011,-0.217574054,-0.185060676,0.186658167,-0.130705028,-2.092752779
Estimate,487,2,223,121,34,9,116,9502,Adams,-1.548289288,-0.34821316,-1.630487098,0.023559981,0.282980244,-0.617730178,-0.336734324,-4.174913823
Estimate,327,0,80,132,5,11,163,9503.01,Adams,-1.853654511,-0.501577801,-1.914790248,0.129658957,-0.68653309,-0.580316766,0.124378862,-5.282834598
Estimate,515,0,340,30,8,18,88,9503.02,Adams,-1.494850374,-0.501577801,-1.397875429,-0.854167907,-0.586238607,-0.449369827,-0.611440053,-5.895519996
Estimate,557,0,436,39,16,9,66,9503.03,Adams,-1.414692003,-0.501577801,-1.207014573,-0.767359654,-0.318786653,-0.617730178,-0.827280268,-5.654441128
Estimate,685,0,488,48,0,23,168,9504,Adams,-1.170399824,-0.501577801,-1.103631609,-0.680551402,-0.853690561,-0.355836298,0.173433456,-4.492254037
Estimate,1368,0,1076,174,0,99,227,9505,Adams,0.133127974,-0.501577801,0.065391137,0.534764136,-0.853690561,1.065873335,0.752277669,1.196165889
Estimate,1569,8,1183,253,47,30,183,9601,Asotin,0.516743036,0.111880763,0.278121467,1.296747687,0.717589669,-0.224889358,0.320597239,3.016790503
Estimate,1780,27,1414,104,13,12,222,9602,Asotin,0.919443424,1.56884485,0.737380402,-0.140411163,-0.419081136,-0.561610061,0.703223075,2.807789392
Estimate,1156,0,822,47,10,16,192,9603,Asotin,-0.271480947,-0.501577801,-0.439594879,-0.690196763,-0.519375619,-0.486783238,0.408895509,-2.500113737
Estimate,805,73,463,95,12,9,180,9604,Asotin,-0.941375906,5.096231587,-1.153334957,-0.227219415,-0.45251263,-0.617730178,0.291164483,1.995222984
Estimate,1198,6,956,79,15,24,304,9605,Asotin,-0.191322576,-0.041483878,-0.173184934,-0.381545198,-0.352218147,-0.337129592,1.507718422,0.030834096
Estimate,1392,14,1041,74,57,11,203,9606,Asotin,0.178932757,0.571974685,-0.00419355,-0.429772005,1.051904612,-0.580316766,0.516815617,1.305345349
Estimate,401,5,135,196,0,29,220,9400,Ferry,-1.712423095,-0.118166199,-1.805442883,0.746962087,-0.853690561,-0.243596064,0.683601237,-3.302755478
Estimate,798,9,439,279,18,34,432,9701,Ferry,-0.954735635,0.188563083,-1.201050171,1.547527084,-0.251923664,-0.150062535,2.763516036,1.941834198
Estimate,960,24,668,142,10,48,253,9702,Ferry,-0.645553346,1.338797889,-0.745767503,0.226112571,-0.519375619,0.111831344,1.00736156,0.773406896
Estimate,801,0,513,269,14,15,170,9703,Garfield,-0.949010037,-0.501577801,-1.053928261,1.45107347,-0.385649641,-0.505489944,0.193055294,-1.751526919
Estimate,700,0,546,28,0,21,48,9601,Lincoln,-1.141771834,-0.501577801,-0.988319841,-0.87345863,-0.853690561,-0.393249709,-1.003876807,-5.755945183
Estimate,1222,21,587,361,31,3,111,9602,Lincoln,-0.145517792,1.108750927,-0.90680635,2.338446719,0.182685761,-0.729970412,-0.385788919,1.461799934
Estimate,895,12,514,196,42,26,213,9603,Lincoln,-0.769607968,0.418610044,-1.051940127,0.746962087,0.550432198,-0.299716181,0.614924805,0.209664858
Estimate,1146,10,755,216,15,8,235,9604,Lincoln,-0.290566274,0.265245403,-0.572799852,0.939869315,-0.352218147,-0.636436883,0.83076502,0.183858582
Estimate,733,6,457,75,31,40,159,9701,Pend Oreille,-1.078790257,-0.041483878,-1.16526376,-0.420126644,0.182685761,-0.037822301,0.085135187,-2.475665892
Estimate,867,8,632,81,39,78,248,9702,Pend Oreille,-0.823046882,0.111880763,-0.817340324,-0.362254475,0.450137715,0.673032515,0.958306965,0.190716277
Estimate,939,7,653,180,94,79,355,9703,Pend Oreille,-0.685632531,0.035198442,-0.775589512,0.592636304,2.2888699,0.691739221,2.008075284,4.155297108
Estimate,955,0,699,63,118,71,169,9704,Pend Oreille,-0.655096009,-0.501577801,-0.684135351,-0.535870981,3.091225762,0.542085576,0.183244375,1.439875571
Estimate,890,23,703,138,45,29,186,9705,Pend Oreille,-0.779150631,1.262115568,-0.676182816,0.187531125,0.650726681,-0.243596064,0.350029996,0.751473859
Estimate,1179,0,996,14,7,7,109,2.01,Spokane,-0.227584696,-0.501577801,-0.093659577,-1.00849369,-0.619670101,-0.655143589,-0.405410757,-3.51154021
Estimate,515,0,427,47,0,9,92,2.02,Spokane,-1.494850374,-0.501577801,-1.224907778,-0.690196763,-0.853690561,-0.617730178,-0.572196377,-5.955149831
Estimate,975,0,792,43,28,27,93,3.01,Spokane,-0.616925356,-0.501577801,-0.499238897,-0.728778209,0.082391278,-0.281009475,-0.562385458,-3.107523917
Estimate,878,0,763,22,3,66,91,3.02,Spokane,-0.802053023,-0.501577801,-0.55689478,-0.931330798,-0.753396078,0.448552047,-0.582007296,-3.678707729
Estimate,1451,0,1292,86,0,42,145,4,Spokane,0.291536184,-0.501577801,0.494828064,-0.314027668,-0.853690561,-0.00040889,-0.052217677,-0.935558349
Estimate,1344,0,1186,78,4,9,94,5,Spokane,0.08732319,-0.501577801,0.284085868,-0.391190559,-0.719964584,-0.617730178,-0.552574539,-2.411628603
Estimate,1224,0,987,51,0,22,40,6,Spokane,-0.141700727,-0.501577801,-0.111552782,-0.651615317,-0.853690561,-0.374543004,-1.082364158,-3.71704435
Estimate,1974,0,1775,82,10,80,177,7,Spokane,1.289698758,-0.501577801,1.455096748,-0.352609114,-0.519375619,0.710445927,0.261731726,2.343410626
Estimate,1770,9,1566,67,26,50,135,8,Spokane,0.900358098,0.188563083,1.039576758,-0.497289535,0.01552829,0.149244756,-0.150326866,1.645654584
Estimate,2071,11,1829,79,0,13,284,9,Spokane,1.474826425,0.341927724,1.56245598,-0.381545198,-0.853690561,-0.542903355,1.311500044,2.912571058
Estimate,2014,0,1616,72,21,0,295,10,Spokane,1.366040064,-0.501577801,1.138983454,-0.449062728,-0.151629182,-0.786090529,1.419420152,2.036083431
Estimate,1349,0,1246,62,26,0,62,11,Spokane,0.096865854,-0.501577801,0.403373904,-0.545516342,0.01552829,-0.786090529,-0.866523943,-2.183940568
Estimate,906,0,797,40,0,18,65,12,Spokane,-0.748614109,-0.501577801,-0.489298227,-0.757714293,-0.853690561,-0.449369827,-0.837091186,-4.637356003
Estimate,1361,0,1262,84,10,30,130,13,Spokane,0.119768245,-0.501577801,0.435184046,-0.333318391,-0.519375619,-0.224889358,-0.19938146,-1.223590337
Estimate,2226,11,1952,30,0,12,177,14,Spokane,1.770648985,0.341927724,1.806996452,-0.854167907,-0.853690561,-0.561610061,0.261731726,1.911836358
Estimate,1928,0,1761,124,22,0,467,15,Spokane,1.201906256,-0.501577801,1.427262873,0.052496065,-0.118197687,-0.786090529,3.106898196,4.382697374
Estimate,1105,0,849,31,9,18,231,16,Spokane,-0.368816112,-0.501577801,-0.385915263,-0.844522546,-0.552807113,-0.449369827,0.791521345,-2.311487316
Estimate,1018,5,858,53,8,106,251,18,Spokane,-0.534858452,-0.118166199,-0.368022058,-0.632324595,-0.586238607,1.196820275,0.987739722,-0.055049914
Estimate,1321,5,1157,35,36,24,132,19,Spokane,0.04342694,-0.118166199,0.226429985,-0.8059411,0.349843232,-0.337129592,-0.179759623,-0.821296357
Estimate,1515,18,1272,55,18,92,100,20,Spokane,0.413682273,0.878703966,0.455065386,-0.613033872,-0.251923664,0.934926395,-0.493709026,1.323711458
Estimate,1061,29,938,28,6,20,44,21,Spokane,-0.452791549,1.722209491,-0.208971344,-0.87345863,-0.653101596,-0.411956415,-1.043120483,-1.921190525
Estimate,1852,0,1485,122,6,60,270,23,Spokane,1.056857775,-0.501577801,0.878537911,0.033205343,-0.653101596,0.336311813,1.17414718,2.324380625
Estimate,915,0,706,11,0,30,207,24,Spokane,-0.731437315,-0.501577801,-0.670218414,-1.037429774,-0.853690561,-0.224889358,0.556059292,-3.46318393
Estimate,1049,0,861,15,0,0,62,25.01,Spokane,-0.47569394,-0.501577801,-0.362057656,-0.998848328,-0.853690561,-0.786090529,-0.866523943,-4.844482758
Estimate,727,0,597,22,0,155,132,25.02,Spokane,-1.090241453,-0.501577801,-0.886925011,-0.931330798,-0.853690561,2.113448854,-0.179759623,-2.330076392
Estimate,168,0,126,17,42,0,29,25.03,Spokane,-2.157111202,-0.501577801,-1.823336088,-0.979557605,0.550432198,-0.786090529,-1.190284266,-6.887525293
Estimate,1960,0,1682,161,44,0,123,26,Spokane,1.262979301,-0.501577801,1.270200293,0.409374437,0.617295186,-0.786090529,-0.268057892,2.004122996
Estimate,1167,0,954,48,9,16,44,29,Spokane,-0.250487088,-0.501577801,-0.177161201,-0.680551402,-0.552807113,-0.486783238,-1.043120483,-3.692488325
Estimate,778,11,679,48,0,51,137,30,Spokane,-0.992906288,0.341927724,-0.72389803,-0.680551402,-0.853690561,0.167951462,-0.130705028,-2.871872123
Estimate,2042,14,1760,96,101,47,95,31,Spokane,1.419478978,0.571974685,1.425274739,-0.217574054,2.52289036,0.093124639,-0.542763621,5.272405725
Estimate,1349,27,1162,93,14,145,80,32,Spokane,0.096865854,1.56884485,0.236370654,-0.246510138,-0.385649641,1.926381797,-0.689927404,2.506375972
Estimate,1332,14,1002,54,25,100,406,35,Spokane,0.064420799,0.571974685,-0.081730773,-0.622679233,-0.017903205,1.084580041,2.508432146,3.507094459
Estimate,1093,0,875,35,23,40,85,36.01,Spokane,-0.391718504,-0.501577801,-0.334223781,-0.8059411,-0.084766193,-0.037822301,-0.640872809,-2.796922489
Estimate,1491,0,1238,28,0,53,155,36.02,Spokane,0.36787749,-0.501577801,0.387468832,-0.87345863,-0.853690561,0.205364873,0.045891511,-1.222124286
Estimate,806,0,685,16,0,24,64,38,Spokane,-0.939467373,-0.501577801,-0.711969226,-0.989202967,-0.853690561,-0.337129592,-0.846902105,-5.179939626
Estimate,841,12,677,133,30,53,129,39,Spokane,-0.872668731,0.418610044,-0.727874298,0.139304318,0.149254267,0.205364873,-0.209192379,-0.897201906
Estimate,1289,0,1000,56,74,0,37,40.01,Spokane,-0.017646105,-0.501577801,-0.085707041,-0.60338851,1.620240014,-0.786090529,-1.111796915,-1.485966886
Estimate,1250,0,1119,0,32,7,19,40.02,Spokane,-0.092078878,-0.501577801,0.150880896,-1.143528749,0.216117255,-0.655143589,-1.288393454,-3.313724321
Estimate,965,0,824,19,0,0,107,41,Spokane,-0.636010683,-0.501577801,-0.435618611,-0.960266883,-0.853690561,-0.786090529,-0.425032594,-4.598287661
Estimate,1820,0,1582,52,24,0,116,42,Spokane,0.99578473,-0.501577801,1.071386901,-0.641969956,-0.051334699,-0.786090529,-0.336734324,-0.250535678
Estimate,1385,10,1287,38,0,39,92,43,Spokane,0.165573029,0.265245403,0.484887394,-0.777005016,-0.853690561,-0.056529007,-0.572196377,-1.343715134
Estimate,1846,0,1606,27,62,56,227,44,Spokane,1.045406579,-0.501577801,1.119102115,-0.883103991,1.219062083,0.26148499,0.752277669,3.012651645
Estimate,1423,0,1322,29,7,35,44,45,Spokane,0.23809727,-0.501577801,0.554472082,-0.863813268,-0.619670101,-0.13135583,-1.043120483,-2.366968131
Estimate,1629,7,1448,67,98,94,401,46.01,Spokane,0.631254995,0.035198442,0.804976956,-0.497289535,2.422595877,0.972339807,2.459377551,6.828454092
Estimate,1091,11,907,72,43,9,130,46.02,Spokane,-0.395535569,0.341927724,-0.270603496,-0.449062728,0.583863692,-0.617730178,-0.19938146,-1.006522015
Estimate,1036,0,829,87,71,41,59,47.01,Spokane,-0.500504865,-0.501577801,-0.425677942,-0.304382307,1.519945532,-0.019115595,-0.8959567,-1.127269677
Estimate,1550,0,1282,51,83,14,133,47.02,Spokane,0.480480916,-0.501577801,0.474946725,-0.651615317,1.921123463,-0.524196649,-0.169948704,1.029212632
Estimate,1695,12,1428,98,59,196,166,48,Spokane,0.757218149,0.418610044,0.765214277,-0.198283331,1.1187676,2.880423788,0.153811619,5.895762146
Estimate,2242,13,1963,213,113,13,60,49,Spokane,1.801185507,0.495292364,1.828865925,0.910933231,2.924068291,-0.542903355,-0.886145781,6.531296182
Estimate,1629,0,1331,33,54,108,263,50,Spokane,0.631254995,-0.501577801,0.572365287,-0.825231823,0.951610129,1.234233686,1.105470748,3.168125222
Estimate,1306,0,987,223,40,18,157,101.01,Spokane,0.01479895,-0.501577801,-0.111552782,1.007386845,0.483569209,-0.449369827,0.065513349,0.508767944
Estimate,929,14,624,176,57,18,98,101.02,Spokane,-0.704717858,0.571974685,-0.833245395,0.554054859,1.051904612,-0.449369827,-0.513330864,-0.322729788
Estimate,1531,0,1073,534,0,76,251,102.01,Spokane,0.444218795,-0.501577801,0.059426735,4.007094243,-0.853690561,0.635619104,0.987739722,4.778830238
Estimate,1395,0,1210,223,17,18,36,102.03,Spokane,0.184658355,-0.501577801,0.331801082,1.007386845,-0.285355159,-0.449369827,-1.121607833,-0.834064337
Estimate,937,20,360,421,95,2,35,102.04,Spokane,-0.689449597,1.032068607,-1.358112751,2.917168404,2.322301394,-0.748677118,-1.131418752,2.343880187
Estimate,1683,17,1464,186,82,0,304,103.01,Spokane,0.734315758,0.802021646,0.836787098,0.650508473,1.887691968,-0.786090529,1.507718422,5.632952836
