Label,With_cash_public_assistance_or_Food_Stamps,No_cash_public_assistance_or_Food_Stamps,tract,county,standardize_With_cash_public_assistance_or_Food_Stamps,standardize_No_cash_public_assistance_or_Food_Stamps,index
Estimate,157,942,9501,Adams,-0.425370976,-0.596891702,-1.022262678
Estimate,103,509,9502,Adams,-0.710007757,-1.428225989,-2.138233746
Estimate,52,449,9503.01,Adams,-0.978831383,-1.543422426,-2.52225381
Estimate,161,460,9503.02,Adams,-0.40428677,-1.522303079,-1.926589849
Estimate,122,510,9503.03,Adams,-0.609857778,-1.426306049,-2.036163827
Estimate,215,661,9504,Adams,-0.119649989,-1.136395016,-1.256045004
Estimate,391,"1,303",9505,Adams,0.808055075,0.09620686,0.904261936
Estimate,83,"1,699",9601,Asotin,-0.815428787,0.856503345,0.041074558
Estimate,146,"1,868",9602,Asotin,-0.483352542,1.180973309,0.697620767
Estimate,448,916,9603,Asotin,1.108505011,-0.646810158,0.461694853
Estimate,274,720,9604,Asotin,0.19134205,-1.023118519,-0.831776469
Estimate,345,"1,181",9605,Asotin,0.565586706,-0.138025895,0.427560812
Estimate,368,"1,238",9606,Asotin,0.686820891,-0.02858928,0.658231611
Estimate,169,481,9400,Ferry,-0.362118358,-1.481984327,-1.844102684
Estimate,159,"1,105",9701,Ferry,-0.414828873,-0.283941382,-0.698770254
Estimate,226,"1,035",9702,Ferry,-0.061668422,-0.418337225,-0.480005647
Estimate,84,902,9703,Garfield,-0.810157735,-0.673689327,-1.483847062
Estimate,61,708,9601,Lincoln,-0.93139192,-1.046157807,-1.977549726
Estimate,120,"1,216",9602,Lincoln,-0.620399881,-0.070827973,-0.691227855
Estimate,97,"1,037",9603,Lincoln,-0.741634066,-0.414497344,-1.156131409
Estimate,165,"1,224",9604,Lincoln,-0.383202564,-0.055468448,-0.438671012
Estimate,141,791,9701,Pend Oreille,-0.5097078,-0.886802735,-1.396510535
Estimate,163,"1,030",9702,Pend Oreille,-0.393744667,-0.427936928,-0.821681595
Estimate,347,"1,026",9703,Pend Oreille,0.576128809,-0.43561669,0.140512119
Estimate,191,"1,004",9704,Pend Oreille,-0.246155225,-0.477855384,-0.724010609
