Label,With_Social_Security_income,No_Social_Security_income,tract,county,Standardized_With_Social_Security_income,Standardized_No_Social_Security_income,Index
Estimate,511,588,9501,Adams,0.006143834,-0.912427462,-0.906283628
Estimate,191,421,9502,Adams,-1.326385407,-1.300086408,-2.626471816
Estimate,172,329,9503.01,Adams,-1.405504331,-1.513647025,-2.919151356
Estimate,169,452,9503.02,Adams,-1.417996793,-1.228125765,-2.646122558
Estimate,186,446,9503.03,Adams,-1.347206177,-1.242053632,-2.589259809
Estimate,165,711,9504,Adams,-1.434653408,-0.626906202,-2.06155961
Estimate,284,"1,410",9505,Adams,-0.939119097,0.995690226,0.056571129
Estimate,869,913,9601,Asotin,1.496910922,-0.158001369,1.338909553
Estimate,962,"1,052",9602,Asotin,1.884177233,0.164660868,2.0488381
Estimate,413,951,9603,Asotin,-0.401943246,-0.069791549,-0.471734795
Estimate,456,538,9604,Asotin,-0.22288463,-1.028493015,-1.251377644
Estimate,612,914,9605,Asotin,0.426723375,-0.155680058,0.271043317
Estimate,802,804,9606,Asotin,1.217912612,-0.411024274,0.806888338
Estimate,309,341,9400,Ferry,-0.83501525,-1.485791293,-2.320806542
Estimate,686,578,9701,Ferry,0.734870762,-0.935640572,-0.20076981
Estimate,712,549,9702,Ferry,0.843138763,-1.002958593,-0.15981983
Estimate,417,569,9703,Garfield,-0.385286631,-0.956532372,-1.341819003
Estimate,271,498,9601,Lincoln,-0.993253097,-1.121345457,-2.114598554
Estimate,555,781,9602,Lincoln,0.189366604,-0.464414428,-0.275047824
Estimate,532,602,9603,Lincoln,0.093591065,-0.879929107,-0.786338042
Estimate,616,773,9604,Lincoln,0.443379991,-0.482984917,-0.039604926
Estimate,499,433,9701,Pend Oreille,-0.043826013,-1.272230676,-1.316056688
Estimate,554,639,9702,Pend Oreille,0.18520245,-0.794040598,-0.608838148
Estimate,610,763,9703,Pend Oreille,0.418395068,-0.506198027,-0.08780296
Estimate,572,623,9704,Pend Oreille,0.26015722,-0.831181575,-0.571024355
Estimate,583,522,9705,Pend Oreille,0.305962913,-1.065633992,-0.759671079
Estimate,520,775,2.01,Spokane,0.043621218,-0.478342295,-0.434721076
Estimate,167,449,2.02,Spokane,-1.4263251,-1.235089699,-2.661414799
Estimate,328,767,3.01,Spokane,-0.755896326,-0.496912783,-1.252809109
Estimate,305,730,3.02,Spokane,-0.851671865,-0.582801292,-1.434473157
Estimate,371,"1,267",4,Spokane,-0.576837709,0.663742745,0.086905035
Estimate,360,"1,087",5,Spokane,-0.622643402,0.245906755,-0.376736647
Estimate,301,985,6,Spokane,-0.868328481,0.009133027,-0.859195454
Estimate,622,"1,609",7,Spokane,0.468364914,1.457631126,1.92599604
Estimate,875,"1,080",8,Spokane,1.521895845,0.229657577,1.751553423
Estimate,673,"1,695",9,Spokane,0.680736762,1.657263876,2.338000638
Estimate,675,"1,634",10,Spokane,0.68906507,1.515663902,2.204728972
Estimate,455,956,11,Spokane,-0.227048784,-0.058184994,-0.285233777
Estimate,294,695,12,Spokane,-0.897477558,-0.664047179,-1.561524737
Estimate,396,"1,125",13,Spokane,-0.472733862,0.334116575,-0.138617288
Estimate,554,"1,861",14,Spokane,0.18520245,2.042601512,2.227803962
Estimate,836,"1,559",15,Spokane,1.359493844,1.341565573,2.701059417
Estimate,403,951,16,Spokane,-0.443584785,-0.069791549,-0.513376334
Estimate,621,754,18,Spokane,0.46420076,-0.527089827,-0.062889067
Estimate,384,"1,093",19,Spokane,-0.522703709,0.259834621,-0.262869088
Estimate,534,"1,173",20,Spokane,0.101919373,0.445539506,0.547458878
Estimate,257,868,21,Spokane,-1.051551251,-0.262460366,-1.314011618
