Label,Tract,County,Total households,Has one or more types of computing devices:,Desktop or laptop,Desktop or laptop with no other type of computing device,Smartphone,Smartphone with no other type of computing device,Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription:,Dial-up with no other type of Internet subscription,Broadband of any type,Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband such as cable, fiber optic or DSL",Satellite Internet service,Without an Internet subscription,"Less than $20,000:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$20,000 to $74,999:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$75,000 or more:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription
Estimate,9501,Adams,"1,099","1,023",754,88,867,153,604,20,17,0,76,910,5,905,743,194,597,96,189,199,0,122,77,532,5,436,91,368,0,347,21
Estimate,9502,Adams,612,548,448,21,503,68,327,4,17,0,64,487,2,485,420,135,223,121,125,90,2,43,45,296,0,237,59,226,0,205,21
Estimate,9503.01,Adams,501,318,242,17,301,76,190,0,3,0,183,327,0,327,267,96,80,132,174,53,0,30,23,336,0,199,137,112,0,98,14
Estimate,9503.02,Adams,621,566,305,0,554,132,377,0,8,0,55,515,0,515,510,170,340,30,106,62,0,52,10,364,0,309,55,195,0,154,41
Estimate,9503.03,Adams,632,608,396,6,581,97,305,0,31,0,24,557,0,557,543,80,436,39,75,31,0,31,0,394,0,327,67,207,0,199,8
Estimate,9504,Adams,876,713,455,46,639,187,429,28,10,0,163,685,0,685,576,185,488,48,191,142,0,72,70,446,0,348,98,288,0,265,23
Estimate,9505,Adams,"1,694","1,519",807,25,"1,483",461,790,0,17,0,175,"1,368",0,"1,368","1,266",209,"1,076",174,326,366,0,193,173,818,0,734,84,510,0,441,69
Estimate,9601,Asotin,"1,782","1,664","1,497",150,"1,401",81,"1,121",50,99,0,118,"1,569",8,"1,561","1,264",185,"1,183",253,213,158,8,102,48,744,0,611,133,880,0,848,32
Estimate,9602,Asotin,"2,014","1,872","1,679",81,"1,679",101,"1,463",0,14,0,142,"1,780",27,"1,753","1,541",275,"1,414",104,234,142,0,125,17,898,13,749,136,974,14,879,81
Estimate,9603,Asotin,"1,364","1,279",977,59,"1,193",207,787,0,34,0,85,"1,156",0,"1,156","1,057",291,822,47,208,307,0,217,90,853,0,750,103,204,0,189,15
Estimate,9604,Asotin,994,941,750,109,715,111,581,16,20,0,53,805,73,732,662,214,463,95,189,266,0,150,116,530,73,410,47,198,0,172,26
Estimate,9605,Asotin,"1,526","1,345","1,157",96,"1,163",141,737,39,15,0,181,"1,198",6,"1,192",956,163,956,79,328,221,0,120,101,869,6,649,214,436,0,423,13
Estimate,9606,Asotin,"1,606","1,542","1,347",163,"1,333",84,915,37,22,0,64,"1,392",14,"1,378","1,292",285,"1,041",74,214,174,0,102,72,865,0,791,74,567,14,485,68
Estimate,9400,Ferry,650,523,395,44,431,42,368,22,0,0,127,401,5,396,257,70,135,196,249,156,0,62,94,333,5,218,110,161,0,116,45
Estimate,9701,Ferry,"1,264","1,097",811,171,804,190,567,11,0,0,167,798,9,789,579,93,439,279,466,227,0,112,115,588,9,325,254,449,0,352,97
Estimate,9702,Ferry,"1,261","1,063",876,158,785,124,561,20,56,0,198,960,24,936,710,122,668,142,301,335,0,180,155,550,18,417,115,376,6,339,31
Estimate,9703,Garfield,986,897,776,71,774,77,549,3,15,0,89,801,0,801,672,66,513,269,185,91,0,78,13,553,0,429,124,342,0,294,48
Estimate,9601,Lincoln,769,733,609,50,655,64,445,3,10,0,36,700,0,700,551,134,546,28,69,87,0,70,17,466,0,417,49,216,0,213,3
Estimate,9602,Lincoln,"1,336","1,283","1,118",132,"1,054",57,762,38,19,0,53,"1,222",21,"1,201",883,240,587,361,114,103,9,79,15,652,7,563,82,581,5,559,17
Estimate,9603,Lincoln,"1,134","1,064",895,113,920,96,696,4,30,0,70,895,12,883,697,169,514,196,239,149,0,62,87,474,4,404,66,511,8,417,86
Estimate,9604,Lincoln,"1,389","1,256","1,077",158,"1,041",103,729,10,15,0,133,"1,146",10,"1,136",765,170,755,216,243,235,2,131,102,729,4,618,107,425,4,387,34
Estimate,9701,Pend Oreille,932,872,758,123,642,48,479,6,32,0,60,733,6,727,450,101,457,75,199,120,0,35,85,429,6,350,73,383,0,342,41
Estimate,9702,Pend Oreille,"1,193","1,115",885,60,"1,015",147,702,0,2,0,78,867,8,859,570,142,632,81,326,152,8,51,93,644,0,438,206,397,0,370,27
Estimate,9703,Pend Oreille,"1,373","1,219","1,022",106,"1,029",151,648,0,49,0,154,939,7,932,466,131,653,180,434,252,0,127,125,621,7,389,225,500,0,416,84
Estimate,9704,Pend Oreille,"1,195","1,118",946,38,"1,038",89,764,0,35,0,77,955,0,955,694,221,699,63,240,193,0,108,85,675,0,531,144,327,0,316,11
Estimate,9705,Pend Oreille,"1,105","1,041",931,117,876,84,743,7,52,0,64,890,23,867,599,53,703,138,215,84,9,53,22,488,0,409,79,533,14,405,114
Estimate,2.01,Spokane,"1,295","1,179",860,42,"1,056",183,724,20,23,0,116,"1,179",0,"1,179","1,081",162,996,14,116,329,0,246,83,712,0,679,33,254,0,254,0
