Label,Tract,County,Total population in households,Under 18 years,18 to 64 years,65 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Household population 25 years and over,Less than high school graduate or equivalency,"High school graduate (includes equivalency), some college or associate's degree",Bachelor's degree or higher,Civilian population 16 years and over,In labor force,Employed,Unemployed,Not in labor force
Estimate,9501,Adams,"2,188",560,"1,296",332,"1,924",63,18,14,0,97,72,184,"1,841","1,434",103,987,344,"1,679",996,966,30,683
Estimate,9502,Adams,"1,553",440,929,184,"1,065",0,31,2,0,367,88,491,982,916,170,524,222,"1,154",706,675,31,448
Estimate,9503.01,Adams,986,374,469,143,431,0,160,0,0,395,0,581,382,519,179,293,47,660,324,323,1,336
Estimate,9503.02,Adams,"2,000",765,"1,074",161,641,0,0,0,0,"1,307",52,"1,859",141,"1,031",507,431,93,"1,393",907,817,90,486
Estimate,9503.03,Adams,"2,285",956,"1,108",221,"1,246",0,0,0,85,933,21,"1,579",621,"1,193",329,667,197,"1,450",859,840,19,591
Estimate,9504,Adams,"2,367",993,"1,178",196,"1,376",0,4,76,0,724,187,"1,758",519,"1,234",344,660,230,"1,469","1,034",978,56,435
Estimate,9505,Adams,"4,374","1,664","2,454",256,"2,896",19,0,17,0,"1,093",349,"3,138","1,219","2,065",697,"1,164",204,"2,792","2,075","1,908",167,717
Estimate,9601,Asotin,"3,883",889,"1,875","1,119","3,631",0,0,12,63,33,144,71,"3,599","2,799",185,"1,736",878,"3,102","1,586","1,485",101,"1,516"
Estimate,9602,Asotin,"4,280",747,"2,561",972,"3,997",67,0,0,0,47,169,131,"3,941","3,279",205,"1,970","1,104","3,631","2,322","2,267",55,"1,309"
Estimate,9603,Asotin,"3,190",796,"2,120",274,"2,944",0,109,15,0,49,73,397,"2,748","2,042",207,"1,479",356,"2,460","1,632","1,496",136,828
Estimate,9604,Asotin,"2,027",439,"1,237",351,"1,754",19,0,17,0,6,231,178,"1,611","1,339",216,916,207,"1,622",930,806,124,692
Estimate,9605,Asotin,"3,010",696,"1,935",379,"2,534",0,71,189,0,30,186,152,"2,445","1,926",153,"1,380",393,"2,367","1,535","1,431",104,832
Estimate,9606,Asotin,"3,469",811,"1,921",737,"3,401",0,0,0,0,34,34,0,"3,401","2,538",214,"1,733",591,"2,813","1,618","1,573",45,"1,195"
Estimate,9400,Ferry,"1,082",256,591,235,338,3,604,2,0,0,135,58,321,735,52,538,145,875,467,431,36,408
Estimate,9701,Ferry,"1,837",263,"1,108",466,"1,629",0,82,20,0,0,106,205,"1,424","1,477",63,842,572,"1,611",687,678,9,924
Estimate,9702,Ferry,"2,186",297,"1,233",656,"1,981",0,0,0,2,0,203,61,"1,920","1,800",139,"1,219",442,"1,907",888,805,83,"1,019"
Estimate,9703,Garfield,"1,881",438,"1,069",374,"1,736",0,0,42,0,0,103,31,"1,708","1,353",69,918,366,"1,522",877,818,59,645
Estimate,9601,Lincoln,"1,707",406,994,307,"1,581",0,0,26,10,35,55,137,"1,489","1,071",60,679,332,"1,359",715,698,17,644
Estimate,9602,Lincoln,"3,029",825,"1,550",654,"2,960",0,20,0,0,18,31,48,"2,927","2,097",184,"1,344",569,"2,302","1,307","1,232",75,995
Estimate,9603,Lincoln,"2,097",420,"1,200",477,"1,861",24,87,21,18,5,81,26,"1,847","1,533",99,"1,066",368,"1,751","1,016",975,41,735
Estimate,9604,Lincoln,"2,617",509,"1,472",636,"2,408",24,69,7,1,1,107,93,"2,345","1,925",104,"1,288",533,"2,150","1,203","1,175",28,947
Estimate,9701,Pend Oreille,"1,579",256,767,556,"1,399",0,53,0,0,2,125,47,"1,356","1,203",171,780,252,"1,330",514,471,43,816
Estimate,9702,Pend Oreille,"2,032",310,"1,190",532,"1,679",0,171,61,0,0,121,56,"1,679","1,533",69,"1,075",389,"1,745",807,763,44,938
Estimate,9703,Pend Oreille,"2,269",380,"1,501",388,"2,132",0,0,0,3,15,119,35,"2,100","1,632",93,"1,267",272,"1,940","1,083","1,073",10,857
Estimate,9704,Pend Oreille,"2,255",427,"1,194",634,"1,984",0,9,6,0,41,215,56,"1,977","1,691",157,"1,131",403,"1,924",982,879,103,942
Estimate,9705,Pend Oreille,"2,254",464,"1,192",598,"2,102",0,0,51,0,95,6,101,"2,096","1,657",76,"1,024",557,"1,913",974,923,51,939
Estimate,2.01,Spokane,"2,551",494,"1,799",258,"2,306",66,0,19,0,75,85,167,"2,244","1,853",134,"1,543",176,"2,108","1,406","1,285",121,702
Estimate,2.02,Spokane,"1,269",298,899,72,945,10,23,0,17,172,102,263,928,740,55,580,105,979,652,601,51,327
Estimate,3.01,Spokane,"2,397",565,"1,571",261,"1,824",148,152,0,0,46,227,127,"1,824","1,612",160,"1,292",160,"1,901","1,213","1,154",59,688
Estimate,3.02,Spokane,"2,381",772,"1,404",205,"1,947",178,0,147,0,22,87,0,"1,947","1,450",289,"1,019",142,"1,624","1,102","1,059",43,522
Estimate,4,Spokane,"3,431",859,"2,259",313,"2,575",48,66,52,85,22,583,303,"2,515","2,214",140,"1,782",292,"2,642","1,915","1,680",235,727
Estimate,5,Spokane,"3,357",938,"2,001",418,"2,553",212,102,86,20,44,340,163,"2,469","2,211",149,"1,639",423,"2,468","1,773","1,686",87,695
Estimate,6,Spokane,"3,143",716,"2,117",310,"2,754",75,40,62,0,72,140,134,"2,692","2,190",122,"1,540",528,"2,425","1,815","1,712",103,610
Estimate,7,Spokane,"4,839","1,000","3,327",512,"4,319",9,10,15,0,217,269,361,"4,189","3,244",147,"2,267",830,"3,999","2,941","2,641",300,"1,058"
Estimate,8,Spokane,"4,834","1,088","2,676","1,070","4,409",91,95,36,10,26,167,290,"4,166","3,454",103,"1,942","1,409","3,866","2,297","2,199",98,"1,569"
Estimate,9,Spokane,"5,502","1,499","3,387",616,"5,212",38,8,0,0,0,244,124,"5,126","3,694",224,"2,420","1,050","4,148","2,770","2,662",108,"1,378"
Estimate,10,Spokane,"5,104","1,419","2,963",722,"4,852",39,0,0,0,28,185,209,"4,671","3,591",325,"2,031","1,235","3,832","2,546","2,489",57,"1,286"
Estimate,11,Spokane,"3,261",869,"1,977",415,"2,478",52,12,122,28,135,434,374,"2,472","2,269",46,"1,323",900,"2,473","1,700","1,649",51,773
Estimate,12,Spokane,"2,354",547,"1,584",223,"1,947",14,54,66,89,16,168,157,"1,876","1,526",49,"1,164",313,"1,860","1,287","1,213",74,573
Estimate,13,Spokane,"3,206",605,"2,331",270,"2,761",18,58,45,0,45,279,210,"2,688","2,259",138,"1,692",429,"2,634","1,931","1,865",66,703
Estimate,14,Spokane,"5,919","1,695","3,848",376,"4,309",262,208,571,0,171,398,605,"4,057","3,758",392,"2,568",798,"4,368","3,065","2,760",305,"1,303"
Estimate,15,Spokane,"5,132","1,375","3,338",419,"4,468",143,115,6,0,58,342,272,"4,468","3,361",351,"2,487",523,"3,974","2,688","2,573",115,"1,286"
Estimate,16,Spokane,"2,994",923,"1,933",138,"2,313",117,82,0,52,118,312,505,"2,053","1,773",231,"1,371",171,"2,139","1,341","1,306",35,798
Estimate,18,Spokane,"2,290",537,"1,489",264,"1,861",52,0,7,0,125,245,143,"1,861","1,577",131,"1,042",404,"1,810","1,209","1,206",3,601
Estimate,19,Spokane,"3,341",893,"2,109",339,"3,080",32,83,15,0,8,123,100,"2,988","2,237",142,"1,403",692,"2,498","1,755","1,544",211,743
Estimate,20,Spokane,"3,626",893,"2,413",320,"3,002",53,196,16,73,36,250,356,"2,727","2,402",213,"1,788",401,"2,764","1,780","1,621",159,984
Estimate,21,Spokane,"2,457",425,"1,834",198,"2,102",18,39,23,59,32,184,173,"2,050","1,803",129,"1,328",346,"2,066","1,537","1,373",164,529
Estimate,23,Spokane,"4,079",574,"2,849",656,"3,280",157,282,62,33,32,233,252,"3,170","3,038",264,"1,727","1,047","3,581","2,193","2,135",58,"1,388"
