tract,county,GEOID,has_computer,with_internet,work_from_home,broadband,median_income,median_age,total_population
9601," Asotin County",53003960100,1664.0,1569.0,145.0,1561.0,73942.0,50.1,4320.0
9602," Asotin County",53003960200,1872.0,1780.0,421.0,1753.0,72988.0,53.9,4755.0
9603," Asotin County",53003960300,1279.0,1156.0,6.0,1156.0,38077.0,34.5,3633.0
9604," Asotin County",53003960400,941.0,805.0,29.0,732.0,38777.0,38.9,2517.0
9605," Asotin County",53003960500,1345.0,1198.0,26.0,1192.0,42639.0,36.8,3517.0
9606," Asotin County",53003960600,1542.0,1392.0,115.0,1378.0,53947.0,48.1,3894.0
2.01," Spokane County",53063000201,1179.0,1179.0,0.0,1179.0,36981.0,37.2,2774.0
2.02," Spokane County",53063000202,570.0,515.0,15.0,515.0,40476.0,29.2,1383.0
3.01," Spokane County",53063000301,1026.0,975.0,130.0,975.0,35778.0,35.4,2564.0
3.02," Spokane County",53063000302,946.0,878.0,12.0,878.0,41271.0,31.7,2760.0
4," Spokane County",53063000400,1488.0,1451.0,173.0,1451.0,43889.0,34.2,3853.0
5," Spokane County",53063000500,1368.0,1344.0,70.0,1344.0,53932.0,37.3,3522.0
6," Spokane County",53063000600,1267.0,1224.0,100.0,1224.0,65545.0,31.5,3246.0
7," Spokane County",53063000700,2134.0,1974.0,79.0,1974.0,53867.0,33.7,5244.0
8," Spokane County",53063000800,1837.0,1770.0,205.0,1761.0,73271.0,44.6,5281.0
9," Spokane County",53063000900,2177.0,2071.0,299.0,2060.0,63149.0,38.8,6172.0
10," Spokane County",53063001000,2127.0,2014.0,50.0,2014.0,61536.0,42.3,5518.0
11," Spokane County",53063001100,1311.0,1349.0,161.0,1349.0,68102.0,34.7,3444.0
12," Spokane County",53063001200,933.0,906.0,162.0,906.0,49828.0,33.1,2476.0
13," Spokane County",53063001300,1420.0,1361.0,96.0,1361.0,46209.0,36.6,3424.0
14," Spokane County",53063001400,2321.0,2226.0,87.0,2215.0,40786.0,31.4,6202.0
15," Spokane County",53063001500,2096.0,1928.0,128.0,1928.0,49783.0,36.6,5777.0
16," Spokane County",53063001600,1175.0,1105.0,49.0,1105.0,36096.0,31.8,3344.0
18," Spokane County",53063001800,1087.0,1018.0,123.0,1013.0,41358.0,42.1,2903.0
19," Spokane County",53063001900,1379.0,1321.0,152.0,1316.0,49425.0,33.5,3652.0
20," Spokane County",53063002000,1600.0,1515.0,73.0,1497.0,33374.0,34.8,4072.0
21," Spokane County",53063002100,1081.0,1061.0,105.0,1032.0,63531.0,32.6,2606.0
23," Spokane County",53063002300,1913.0,1852.0,161.0,1852.0,48367.0,43.8,4824.0
24," Spokane County",53063002400,984.0,915.0,163.0,915.0,26975.0,34.9,2977.0
