"tract","county","dataset","estimate_estimate_total","estimate_estimate_total_has_a_computer","estimate_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","estimate_estimate_total_has_a_computer_with_a_broadband_internet_subscription","estimate_estimate_total_has_a_computer_without_an_internet_subscription","estimate_estimate_total_no_computer","moe_estimate_total","moe_estimate_total_has_a_computer","moe_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","moe_estimate_total_has_a_computer_with_a_broadband_internet_subscription","moe_estimate_total_has_a_computer_without_an_internet_subscription","moe_estimate_total_no_computer"
9501,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",1099,1023,5,899,119,76,100,99,7,90,41,29
9502,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",612,548,2,485,61,64,97,96,3,94,24,32
9503.01,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",501,318,0,283,35,183,92,77,13,85,32,102
9503.02,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",621,566,0,515,51,55,123,124,13,133,40,48
9503.03,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",632,608,0,557,51,24,122,119,13,124,44,28
9504,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",876,713,0,661,52,163,111,115,13,123,44,84
9505,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",1694,1519,0,1352,167,175,159,178,18,207,106,96
9601,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",1782,1664,8,1551,105,118,199,191,13,196,46,55
9602,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",2014,1872,27,1753,92,142,147,151,32,160,61,82
9603,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",1364,1279,0,1156,123,85,145,142,13,149,70,47
9604,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",994,941,73,728,140,53,133,136,98,95,62,36
9605,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",1526,1345,6,1192,147,181,126,130,10,137,99,77
9606,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",1606,1542,14,1378,150,64,157,167,21,189,99,45
