"tract","county","median_income","mean_income","internet_with_subscription","dialup","broadband","satellite","other","internet_without_subscription","no_internet","total_native","total_foreign_born","not_citizen","naturalized_citizen","computer","no_computer","work_from_home","desktop_laptop","only_desktop_laptop","with_smartphone","only_smartphone","with_tablet","only_tablet","with_other","only_other","X65_older","median_age","moe_median_income","moe_mean_income","moe_internet_with_subscription","moe_dialup","moe_broadband","moe_satellite","moe_other","moe_no_subscription","moe_no_internet","moe_total_native","moe_total_foreign_born","moe_not_citizen","moe_naturalized_citizen","moe_computer","moe_no_computer","moe_work_from_home","moe_desktop_laptop","moe_only_desktop_laptop","moe_with_smartphone","moe_only_smartphone","moe_with_tablet","moe_only_tablet","moe_with_other","moe_only_other","moe_65_over","moe_median_age"
9501,"adams",52589,63888,910,5,597,96,20,52,137,2484,122,28,94,1023,76,82,754,88,867,153,604,20,17,0,505,42.6,6933,7004,91,7,91,32,27,35,31,277,52,27,43,99,29,51,106,28,105,47,103,15,14,13,78,4.9
127.01,"spokane",48841,71366,1491,7,1306,66,26,101,254,3291,444,268,176,1561,285,44,1390,207,1314,128,956,5,42,0,824,43.5,8085,14512,206,11,214,39,31,66,111,321,284,270,85,212,110,37,215,84,208,80,201,9,33,13,168,2.4
113.01,"spokane",92749,100700,1465,0,1132,167,0,0,127,3586,188,55,133,1465,127,48,1446,17,1415,0,1119,0,28,0,1084,46.8,14182,15036,265,13,291,89,13,13,78,594,126,56,130,265,78,55,267,27,263,13,271,13,45,13,455,5.3
105.07,"spokane",82422,113194,1525,0,1459,73,0,31,102,3937,123,38,85,1590,68,154,1498,75,1475,46,1141,17,24,0,1002,53,16395,15881,192,13,191,48,13,37,75,505,73,45,55,192,70,73,204,78,180,73,139,27,28,13,218,2.6
49,"spokane",93162,134076,2242,13,1963,213,113,13,60,5383,325,88,237,2255,60,299,2148,142,2076,12,1592,12,0,0,1354,42.9,13426,20658,234,21,258,118,88,21,54,866,194,84,148,234,54,143,220,123,201,19,212,19,18,18,226,6.7
9502,"adams",59886,61202,487,2,223,121,34,9,116,1623,140,132,8,548,64,47,448,21,503,68,327,4,17,0,228,40.5,7900,5547,94,3,54,46,20,7,40,329,131,132,7,96,32,28,97,12,94,34,53,5,14,13,54,6.3
127.02,"spokane",72740,81203,826,0,744,36,26,13,60,2776,136,112,24,857,42,150,820,21,821,18,677,0,29,0,440,32.4,11087,6365,141,13,143,19,25,16,33,540,154,151,19,139,33,89,143,15,137,15,133,13,19,13,69,4.9
113.02,"spokane",81210,85567,1899,1,1561,40,2,79,37,4762,447,86,361,1996,19,80,1688,52,1846,135,1435,65,43,0,640,32.4,10627,12779,307,4,280,42,4,122,42,922,234,68,215,332,28,66,278,46,336,130,287,53,45,18,136,4.2
105.08,"spokane",128227,138265,1253,0,1072,115,0,14,55,4177,71,14,57,1313,9,430,1244,42,1257,55,1034,0,0,0,555,40.1,26568,18021,222,13,201,66,13,24,67,733,51,22,46,219,17,307,216,40,221,86,185,13,13,13,137,6.2
50,"spokane",59135,112579,1629,0,1331,33,54,108,263,4174,221,118,103,1782,218,121,1549,183,1514,94,1098,15,33,0,899,39.7,8091,28931,242,13,241,33,54,84,139,690,151,119,82,233,118,116,225,91,238,73,216,24,30,13,233,3.5
