tract,county,GEOID,has_computer,with_internet,work_from_home,broadband,median_income,median_age,total_population,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms
9601.0," Asotin County",53003960100,1664.0,1569.0,145.0,1561.0,73942.0,50.1,4320.0,12.0,58.0,110.327408906883,41.7821012145749,0.0517044534412955
9602.0," Asotin County",53003960200,1872.0,1780.0,421.0,1753.0,72988.0,53.9,4755.0,13.0,60.0769230769231,145.784802768166,22.8873079584775,0.0246262975778547
9603.0," Asotin County",53003960300,1279.0,1156.0,6.0,1156.0,38077.0,34.5,3633.0,11.0,60.0,173.40786407767,27.0620194174757,0.0299805825242718
9604.0," Asotin County",53003960400,941.0,805.0,29.0,732.0,38777.0,38.9,2517.0,8.0,62.5,127.600456896552,23.5382931034483,0.0221637931034483
9605.0," Asotin County",53003960500,1345.0,1198.0,26.0,1192.0,42639.0,36.8,3517.0,8.0,62.5,192.429947826087,21.685652173913,0.0216608695652174
9606.0," Asotin County",53003960600,1542.0,1392.0,115.0,1378.0,53947.0,48.1,3894.0,9.0,58.8888888888889,151.055206185567,23.5212319587629,0.0261855670103093
2.01," Spokane County",53063000201,1179.0,1179.0,0.0,1179.0,36981.0,37.2,2774.0,7.0,62.7142857142857,268.822450704225,22.4661971830986,0.0144366197183099
2.02," Spokane County",53063000202,570.0,515.0,15.0,515.0,40476.0,29.2,1383.0,8.0,61.125,304.695,73.5263235294118,0.0101764705882353
3.01," Spokane County",53063000301,1026.0,975.0,130.0,975.0,35778.0,35.4,2564.0,8.0,61.125,267.851379310345,23.1526724137931,0.0142241379310345
3.02," Spokane County",53063000302,946.0,878.0,12.0,878.0,41271.0,31.7,2760.0,8.0,61.125,287.044822222222,48.7061851851852,0.0126740740740741
4.0," Spokane County",53063000400,1488.0,1451.0,173.0,1451.0,43889.0,34.2,3853.0,9.0,57.6666666666667,260.232245535714,44.6226741071429,0.0123035714285714
5.0," Spokane County",53063000500,1368.0,1344.0,70.0,1344.0,53932.0,37.3,3522.0,9.0,57.6666666666667,246.0845875,57.6012125,0.0118875
6.0," Spokane County",53063000600,1267.0,1224.0,100.0,1224.0,65545.0,31.5,3246.0,8.0,61.125,274.087779661017,32.761656779661,0.0157076271186441
7.0," Spokane County",53063000700,2134.0,1974.0,79.0,1974.0,53867.0,33.7,5244.0,8.0,61.125,320.686944223108,62.2503147410359,0.0135258964143426
8.0," Spokane County",53063000800,1837.0,1770.0,205.0,1761.0,73271.0,44.6,5281.0,8.0,61.125,259.059032397408,70.1117796976242,0.0180453563714903
9.0," Spokane County",53063000900,2177.0,2071.0,299.0,2060.0,63149.0,38.8,6172.0,8.0,61.125,278.534296195652,68.795027173913,0.0156929347826087
10.0," Spokane County",53063001000,2127.0,2014.0,50.0,2014.0,61536.0,42.3,5518.0,8.0,61.125,264.380339901478,70.466618226601,0.0127832512315271
11.0," Spokane County",53063001100,1311.0,1349.0,161.0,1349.0,68102.0,34.7,3444.0,8.0,61.125,280.185668789809,67.477127388535,0.0130891719745223
12.0," Spokane County",53063001200,933.0,906.0,162.0,906.0,49828.0,33.1,2476.0,8.0,61.125,240.838968944099,41.9755279503106,0.0128695652173913
13.0," Spokane County",53063001300,1420.0,1361.0,96.0,1361.0,46209.0,36.6,3424.0,9.0,57.6666666666667,268.635861538462,28.0627923076923,0.0125538461538462
14.0," Spokane County",53063001400,2321.0,2226.0,87.0,2215.0,40786.0,31.4,6202.0,9.0,57.6666666666667,294.357275303644,73.0917004048583,0.0115668016194332
15.0," Spokane County",53063001500,2096.0,1928.0,128.0,1928.0,49783.0,36.6,5777.0,8.0,61.125,262.531079365079,98.8584338624339,0.0124867724867725
16.0," Spokane County",53063001600,1175.0,1105.0,49.0,1105.0,36096.0,31.8,3344.0,8.0,61.125,289.637380952381,87.2321142857143,0.0129238095238095
18.0," Spokane County",53063001800,1087.0,1018.0,123.0,1013.0,41358.0,42.1,2903.0,8.0,61.125,250.66475,65.7410642857143,0.0122714285714286
19.0," Spokane County",53063001900,1379.0,1321.0,152.0,1316.0,49425.0,33.5,3652.0,8.0,61.125,245.447686567164,64.7450373134328,0.0184477611940299
20.0," Spokane County",53063002000,1600.0,1515.0,73.0,1497.0,33374.0,34.8,4072.0,8.0,61.125,264.667534351145,90.5602213740458,0.0114045801526718
21.0," Spokane County",53063002100,1081.0,1061.0,105.0,1032.0,63531.0,32.6,2606.0,8.0,61.125,256.564538071066,72.8823705583756,0.0111827411167513
23.0," Spokane County",53063002300,1913.0,1852.0,161.0,1852.0,48367.0,43.8,4824.0,8.0,61.125,260.977993311037,61.5538093645485,0.0120903010033445
24.0," Spokane County",53063002400,984.0,915.0,163.0,915.0,26975.0,34.9,2977.0,8.0,61.125,200.958527950311,48.7642670807453,0.0167391304347826
25.01," Spokane County",53063002501,1096.0,1049.0,105.0,1049.0,44527.0,22.6,3268.0,8.0,61.125,274.263518072289,90.2264819277109,0.019289156626506
25.02," Spokane County",53063002502,828.0,727.0,16.0,727.0,49167.0,28.7,2592.0,8.0,61.125,237.629916666667,76.3932291666667,0.0139583333333333
25.03," Spokane County",53063002503,186.0,168.0,84.0,168.0,-666666666.0,19.7,3205.0,8.0,61.125,254.434033333333,40.7227,0.0117833333333333
26.0," Spokane County",53063002600,2024.0,1960.0,43.0,1960.0,37711.0,34.6,4857.0,8.0,61.125,200.293990654206,18.6947196261682,0.0143271028037383
29.0," Spokane County",53063002900,1177.0,1167.0,100.0,1167.0,63977.0,34.9,3246.0,8.0,61.125,297.147971014493,27.6603594202899,0.013831884057971
30.0," Spokane County",53063003000,853.0,778.0,72.0,767.0,43219.0,30.5,2557.0,9.0,60.7777777777778,311.439276190476,25.3243952380952,0.0129809523809524
31.0," Spokane County",53063003100,2066.0,2042.0,100.0,2028.0,52803.0,34.6,5004.0,8.0,61.125,299.081198275862,69.8927155172414,0.0125747126436782
32.0," Spokane County",53063003200,1416.0,1349.0,142.0,1322.0,43668.0,43.2,2865.0,9.0,58.7777777777778,246.388242105263,34.2112578947368,0.0128947368421053
35.0," Spokane County",53063003500,1462.0,1332.0,19.0,1318.0,14280.0,50.7,2671.0,10.0,55.9,204.076460784314,38.8275833333333,0.0123676470588235
36.01," Spokane County",53063003601,1138.0,1093.0,9.0,1093.0,28578.0,27.0,2267.0,8.0,61.125,267.650204188482,35.1261465968586,0.0121727748691099
36.02," Spokane County",53063003602,1533.0,1491.0,128.0,1491.0,27073.0,32.6,2337.0,8.0,61.125,236.669827586207,25.1263793103448,0.0134568965517241
38.0," Spokane County",53063003800,854.0,806.0,38.0,806.0,51159.0,36.0,1745.0,8.0,61.125,232.840551401869,14.3519439252336,0.0128598130841121
39.0," Spokane County",53063003900,951.0,841.0,81.0,829.0,48250.0,53.3,2153.0,8.0,61.125,295.456692090396,26.0906214689266,0.0131186440677966
40.01," Spokane County",53063004001,1312.0,1289.0,200.0,1289.0,52575.0,29.8,2794.0,8.0,61.125,238.755933333333,69.9535407407407,0.0132888888888889
40.02," Spokane County",53063004002,1257.0,1250.0,64.0,1250.0,38045.0,31.3,2301.0,8.0,61.125,233.663199376947,63.7494205607477,0.0134641744548287
41.0," Spokane County",53063004100,1030.0,965.0,158.0,965.0,65217.0,44.8,2221.0,8.0,61.125,250.027679611651,28.2376165048544,0.0137961165048544
42.0," Spokane County",53063004200,1865.0,1820.0,323.0,1820.0,96071.0,43.2,4726.0,8.0,61.125,310.873706199461,67.1584474393531,0.0119487870619946
43.0," Spokane County",53063004300,1423.0,1385.0,147.0,1375.0,89917.0,48.0,3441.0,8.0,61.125,269.860329004329,30.7569350649351,0.0128744588744589
44.0," Spokane County",53063004400,2038.0,1846.0,137.0,1846.0,57904.0,39.4,4790.0,8.0,61.125,311.408134453782,37.7587927170868,0.0118011204481793
45.0," Spokane County",53063004500,1486.0,1423.0,202.0,1423.0,91250.0,44.6,3605.0,9.0,58.7777777777778,294.59177,69.2099125,0.01304
46.01," Spokane County",53063004601,1744.0,1629.0,83.0,1622.0,42979.0,52.6,3876.0,8.0,61.125,246.701181538462,22.6198215384615,0.0145384615384615
46.02," Spokane County",53063004602,1156.0,1091.0,264.0,1080.0,85643.0,35.6,3145.0,8.0,61.125,226.044125,34.649375,0.0126375
47.01," Spokane County",53063004701,1077.0,1036.0,210.0,1036.0,79318.0,32.0,3375.0,7.0,54.1428571428571,261.612118110236,20.0726299212598,0.0144724409448819
47.02," Spokane County",53063004702,1566.0,1550.0,153.0,1550.0,66685.0,40.9,3745.0,9.0,61.0,257.599643037975,18.4666810126582,0.0126126582278481
48.0," Spokane County",53063004800,1981.0,1695.0,190.0,1683.0,51467.0,44.3,4083.0,8.0,54.875,271.535189655172,19.3884885057471,0.0130862068965517
49.0," Spokane County",53063004900,2255.0,2242.0,299.0,2229.0,93162.0,42.9,5708.0,9.0,61.0,275.031858527132,27.639507751938,0.012781007751938
50.0," Spokane County",53063005000,1782.0,1629.0,121.0,1629.0,59135.0,39.7,4395.0,8.0,61.125,237.042424302789,20.5530039840637,0.0197768924302789
101.01," Spokane County",53063010101,1334.0,1306.0,199.0,1306.0,55852.0,50.8,3618.0,9.0,61.0,109.389606299213,17.7399156355456,0.0357379077615298
101.02," Spokane County",53063010102,980.0,929.0,135.0,915.0,89401.0,50.7,2820.0,5.0,67.6,91.0664026845638,8.83357550335571,0.0392785234899329
102.01," Spokane County",53063010201,1723.0,1531.0,313.0,1531.0,70407.0,43.7,4332.0,8.0,61.125,55.0139133522727,6.83800710227273,0.0528082386363636
102.03," Spokane County",53063010203,1449.0,1395.0,292.0,1395.0,108194.0,42.5,4404.0,8.0,61.125,148.432377777778,11.8906777777778,0.0286259259259259
102.04," Spokane County",53063010204,939.0,937.0,143.0,917.0,79417.0,46.0,3134.0,8.0,61.125,36.8408192488263,8.92951643192488,0.0535
103.01," Spokane County",53063010301,1833.0,1683.0,123.0,1666.0,52959.0,35.6,4807.0,8.0,61.125,286.958032751092,22.8455021834061,0.0265065502183406
103.03," Spokane County",53063010303,1210.0,1192.0,179.0,1192.0,75635.0,45.8,3572.0,11.0,57.1818181818182,31.7220490998363,5.98401636661211,0.0686153846153846
103.04," Spokane County",53063010304,2074.0,1928.0,143.0,1900.0,54171.0,43.9,5700.0,10.0,59.9,46.8591424802111,7.36162137203166,0.117781002638522
103.05," Spokane County",53063010305,2604.0,2512.0,340.0,2512.0,100705.0,39.7,7606.0,9.0,61.0,139.121456692913,12.2178503937008,0.0674
104.01," Spokane County",53063010401,1636.0,1583.0,60.0,1583.0,55490.0,33.5,7675.0,10.0,58.9,258.711844884488,28.0375280528053,0.0221749174917492
104.03," Spokane County",53063010403,1148.0,1130.0,72.0,1130.0,83542.0,43.3,3351.0,9.0,62.1111111111111,63.881,8.55056368563686,0.0504336043360434
104.04," Spokane County",53063010404,1157.0,1048.0,174.0,1003.0,76063.0,51.3,2999.0,8.0,61.125,42.0673973880597,6.0406473880597,0.0500988805970149
105.04," Spokane County",53063010504,1307.0,1288.0,64.0,1281.0,76339.0,48.9,3367.0,7.0,62.7142857142857,235.789990950226,16.5440995475113,0.0250588235294118
