"GEOID","tract","work_from_home","desktop_or_laptop","smartphone_only","broadband","satellite","no_internet_access","sixty_five_and_older","median_income","mean_d_mbps","mean_u_mbps","mean_lat_ms","lowest_cost"
"53001950500","9505","149","807","461","1076","174","227","365","48542","191.539782945736","34.8328630490956","25.7777777777778","30"
"53063011702","117.02","118","2471","453","2073","87","340","827","37020","273.870095092025","26.0411012269939","15.920245398773","43"
"53063013101","131.01","348","2843","393","2563","138","432","1049","56166","270.776810249307","21.8779501385042","12.2548476454294","43"
"53063011203","112.03","102","1850","315","1974","66","439","1021","38458","213.854445652174","37.447597826087","16.0108695652174","43"
"53063002600","26","43","1418","311","1682","161","123","336","37711","200.293990654206","18.6947196261682","14.3271028037383","43"
"53063004800","48","190","1641","304","1428","98","166","1030","51467","271.535189655172","19.3884885057471","13.0862068965517","43"
"53063011104","111.04","37","776","301","940","35","160","423","33828","239.40338961039","34.3257272727273","16.3376623376623","43"
"53063010301","103.01","123","1452","297","1464","186","304","813","52959","286.958032751092","22.8455021834061","26.5065502183406","43"
"53063002000","20","73","1203","278","1272","55","100","423","33374","264.667534351145","90.5602213740458","11.4045801526718","43"
"53063012000","120","40","1405","276","1478","77","136","751","50679","263.083823095823","16.7320417690418","13.4643734643735","43"
"53063012300","123","78","1773","275","1685","209","324","921","51847","238.473749430524","29.61730523918","15.5170842824601","43"
"53063001500","15","128","1666","261","1761","124","467","777","49783","262.531079365079","98.8584338624339","12.4867724867725","43"
"53063010304","103.04","143","1717","258","1170","413","289","1071","54171","46.8591424802111","7.36162137203166","117.781002638522","43"
"53063013900","139","69","1779","248","1640","299","82","748","63594","159.135356495468","10.3148851963746","64.0392749244713","30"
"53063010401","104.01","60","1300","241","1316","75","134","616","55490","258.711844884488","28.0375280528053","22.1749174917492","30"
"53063001600","16","49","762","239","849","31","231","358","36096","289.637380952381","87.2321142857143","12.9238095238095","43"
"53063011800","118","182","1765","235","1529","183","504","1224","39885","252.842942028986","19.287231884058","12.731884057971","43"
"53063014400","144","136","1304","225","1350","78","123","543","56613","222.272860465116","28.8882403100775","11.8992248062015","43"
"53065950101","9501.01","43","1228","215","722","411","403","1180","42037","106.840028688525","10.6452213114754","44.7172131147541","49"
"53063013700","137","105","992","208","760","194","134","418","59778","161.591202839757","22.5866470588235","28.4381338742394","30"
"53003960300","9603","6","977","207","822","47","192","396","38077","173.40786407767","27.0620194174757","29.9805825242718","30"
"53063003500","35","19","1099","207","1002","54","406","488","14280","204.076460784314","38.8275833333333","12.3676470588235","30"
"53065950500","9505","8","727","206","707","120","177","832","43717","201.386823529412","14.1555210084034","29.8655462184874","35"
