"NAME","GEOID","has_computer","with_internet","sixtyfive_and_older","median_income","number_providers","mean_lowest_cost","mean_d_mbps","mean_u_mbps","mean_lat_ms"
"Census Tract 9601, Asotin County, Washington","53003960100","1664","1569","1337","73942","12","58","110.327408906883","41.7821012145749","51.7044534412955"
"Census Tract 9602, Asotin County, Washington","53003960200","1872","1780","1352","72988","13","60.0769230769231","145.784802768166","22.8873079584775","24.6262975778547"
"Census Tract 9603, Asotin County, Washington","53003960300","1279","1156","396","38077","11","60","173.40786407767","27.0620194174757","29.9805825242718"
"Census Tract 9604, Asotin County, Washington","53003960400","941","805","647","38777","8","62.5","127.600456896552","23.5382931034483","22.1637931034483"
"Census Tract 9605, Asotin County, Washington","53003960500","1345","1198","635","42639","8","62.5","192.429947826087","21.685652173913","21.6608695652174"
"Census Tract 9606, Asotin County, Washington","53003960600","1542","1392","909","53947","9","58.8888888888889","151.055206185567","23.5212319587629","26.1855670103093"
"Census Tract 2.01, Spokane County, Washington","53063000201","1179","1179","334","36981","7","62.7142857142857","268.822450704225","22.4661971830986","14.4366197183099"
"Census Tract 2.02, Spokane County, Washington","53063000202","570","515","97","40476","8","61.125","304.695","73.5263235294118","10.1764705882353"
"Census Tract 3.01, Spokane County, Washington","53063000301","1026","975","302","35778","8","61.125","267.851379310345","23.1526724137931","14.2241379310345"
"Census Tract 3.02, Spokane County, Washington","53063000302","946","878","313","41271","8","61.125","287.044822222222","48.7061851851852","12.6740740740741"
"Census Tract 4, Spokane County, Washington","53063000400","1488","1451","507","43889","9","57.6666666666667","260.232245535714","44.6226741071429","12.3035714285714"
"Census Tract 5, Spokane County, Washington","53063000500","1368","1344","471","53932","9","57.6666666666667","246.0845875","57.6012125","11.8875"
"Census Tract 6, Spokane County, Washington","53063000600","1267","1224","339","65545","8","61.125","274.087779661017","32.761656779661","15.7076271186441"
"Census Tract 7, Spokane County, Washington","53063000700","2134","1974","649","53867","8","61.125","320.686944223108","62.2503147410359","13.5258964143426"
"Census Tract 8, Spokane County, Washington","53063000800","1837","1770","1370","73271","8","61.125","259.059032397408","70.1117796976242","18.0453563714903"
"Census Tract 9, Spokane County, Washington","53063000900","2177","2071","920","63149","8","61.125","278.534296195652","68.795027173913","15.6929347826087"
"Census Tract 10, Spokane County, Washington","53063001000","2127","2014","890","61536","8","61.125","264.380339901478","70.466618226601","12.7832512315271"
"Census Tract 11, Spokane County, Washington","53063001100","1311","1349","526","68102","8","61.125","280.185668789809","67.477127388535","13.0891719745223"
"Census Tract 12, Spokane County, Washington","53063001200","933","906","296","49828","8","61.125","240.838968944099","41.9755279503106","12.8695652173913"
"Census Tract 13, Spokane County, Washington","53063001300","1420","1361","388","46209","9","57.6666666666667","268.635861538462","28.0627923076923","12.5538461538462"
"Census Tract 14, Spokane County, Washington","53063001400","2321","2226","529","40786","9","57.6666666666667","294.357275303644","73.0917004048583","11.5668016194332"
"Census Tract 15, Spokane County, Washington","53063001500","2096","1928","777","49783","8","61.125","262.531079365079","98.8584338624339","12.4867724867725"
"Census Tract 16, Spokane County, Washington","53063001600","1175","1105","358","36096","8","61.125","289.637380952381","87.2321142857143","12.9238095238095"
"Census Tract 18, Spokane County, Washington","53063001800","1087","1018","618","41358","8","61.125","250.66475","65.7410642857143","12.2714285714286"
"Census Tract 19, Spokane County, Washington","53063001900","1379","1321","398","49425","8","61.125","245.447686567164","64.7450373134328","18.4477611940299"
"Census Tract 20, Spokane County, Washington","53063002000","1600","1515","423","33374","8","61.125","264.667534351145","90.5602213740458","11.4045801526718"
"Census Tract 21, Spokane County, Washington","53063002100","1081","1061","281","63531","8","61.125","256.564538071066","72.8823705583756","11.1827411167513"
"Census Tract 23, Spokane County, Washington","53063002300","1913","1852","869","48367","8","61.125","260.977993311037","61.5538093645485","12.0903010033445"
"Census Tract 24, Spokane County, Washington","53063002400","984","915","409","26975","8","61.125","200.958527950311","48.7642670807453","16.7391304347826"
"Census Tract 25.01, Spokane County, Washington","53063002501","1096","1049","294","44527","8","61.125","274.263518072289","90.2264819277109","19.289156626506"
"Census Tract 25.02, Spokane County, Washington","53063002502","828","727","288","49167","8","61.125","237.629916666667","76.3932291666667","13.9583333333333"
"Census Tract 25.03, Spokane County, Washington","53063002503","186","168","0","-666666666","8","61.125","254.434033333333","40.7227","11.7833333333333"
"Census Tract 26, Spokane County, Washington","53063002600","2024","1960","336","37711","8","61.125","200.293990654206","18.6947196261682","14.3271028037383"
"Census Tract 29, Spokane County, Washington","53063002900","1177","1167","403","63977","8","61.125","297.147971014493","27.6603594202899","13.831884057971"
"Census Tract 30, Spokane County, Washington","53063003000","853","778","329","43219","9","60.7777777777778","311.439276190476","25.3243952380952","12.9809523809524"
"Census Tract 31, Spokane County, Washington","53063003100","2066","2042","535","52803","8","61.125","299.081198275862","69.8927155172414","12.5747126436782"
"Census Tract 32, Spokane County, Washington","53063003200","1416","1349","732","43668","9","58.7777777777778","246.388242105263","34.2112578947368","12.8947368421053"
"Census Tract 35, Spokane County, Washington","53063003500","1462","1332","488","14280","10","55.9","204.076460784314","38.8275833333333","12.3676470588235"
"Census Tract 36.01, Spokane County, Washington","53063003601","1138","1093","185","28578","8","61.125","267.650204188482","35.1261465968586","12.1727748691099"
"Census Tract 36.02, Spokane County, Washington","53063003602","1533","1491","315","27073","8","61.125","236.669827586207","25.1263793103448","13.4568965517241"
"Census Tract 38, Spokane County, Washington","53063003800","854","806","324","51159","8","61.125","232.840551401869","14.3519439252336","12.8598130841121"
"Census Tract 39, Spokane County, Washington","53063003900","951","841","693","48250","8","61.125","295.456692090396","26.0906214689266","13.1186440677966"
"Census Tract 40.01, Spokane County, Washington","53063004001","1312","1289","304","52575","8","61.125","238.755933333333","69.9535407407407","13.2888888888889"
"Census Tract 40.02, Spokane County, Washington","53063004002","1257","1250","185","38045","8","61.125","233.663199376947","63.7494205607477","13.4641744548287"
"Census Tract 41, Spokane County, Washington","53063004100","1030","965","598","65217","8","61.125","250.027679611651","28.2376165048544","13.7961165048544"
"Census Tract 42, Spokane County, Washington","53063004200","1865","1820","888","96071","8","61.125","310.873706199461","67.1584474393531","11.9487870619946"
"Census Tract 43, Spokane County, Washington","53063004300","1423","1385","968","89917","8","61.125","269.860329004329","30.7569350649351","12.8744588744589"
"Census Tract 44, Spokane County, Washington","53063004400","2038","1846","1015","57904","8","61.125","311.408134453782","37.7587927170868","11.8011204481793"
"Census Tract 45, Spokane County, Washington","53063004500","1486","1423","745","91250","9","58.7777777777778","294.59177","69.2099125","13.04"
"Census Tract 46.01, Spokane County, Washington","53063004601","1744","1629","1349","42979","8","61.125","246.701181538462","22.6198215384615","14.5384615384615"
"Census Tract 46.02, Spokane County, Washington","53063004602","1156","1091","382","85643","8","61.125","226.044125","34.649375","12.6375"
"Census Tract 47.01, Spokane County, Washington","53063004701","1077","1036","305","79318","7","54.1428571428571","261.612118110236","20.0726299212598","14.4724409448819"
"Census Tract 47.02, Spokane County, Washington","53063004702","1566","1550","871","66685","9","61","257.599643037975","18.4666810126582","12.6126582278481"
"Census Tract 48, Spokane County, Washington","53063004800","1981","1695","1030","51467","8","54.875","271.535189655172","19.3884885057471","13.0862068965517"
"Census Tract 49, Spokane County, Washington","53063004900","2255","2242","1354","93162","9","61","275.031858527132","27.639507751938","12.781007751938"
"Census Tract 50, Spokane County, Washington","53063005000","1782","1629","899","59135","8","61.125","237.042424302789","20.5530039840637","19.7768924302789"
"Census Tract 101.01, Spokane County, Washington","53063010101","1334","1306","903","55852","9","61","109.389606299213","17.7399156355456","35.7379077615298"
"Census Tract 101.02, Spokane County, Washington","53063010102","980","929","542","89401","5","67.6","91.0664026845638","8.83357550335571","39.2785234899329"
"Census Tract 102.01, Spokane County, Washington","53063010201","1723","1531","780","70407","8","61.125","55.0139133522727","6.83800710227273","52.8082386363636"
"Census Tract 102.03, Spokane County, Washington","53063010203","1449","1395","599","108194","8","61.125","148.432377777778","11.8906777777778","28.6259259259259"
"Census Tract 102.04, Spokane County, Washington","53063010204","939","937","600","79417","8","61.125","36.8408192488263","8.92951643192488","53.5"
"Census Tract 103.01, Spokane County, Washington","53063010301","1833","1683","813","52959","8","61.125","286.958032751092","22.8455021834061","26.5065502183406"
"Census Tract 103.03, Spokane County, Washington","53063010303","1210","1192","712","75635","11","57.1818181818182","31.7220490998363","5.98401636661211","68.6153846153846"
"Census Tract 103.04, Spokane County, Washington","53063010304","2074","1928","1071","54171","10","59.9","46.8591424802111","7.36162137203166","117.781002638522"
"Census Tract 103.05, Spokane County, Washington","53063010305","2604","2512","1132","100705","9","61","139.121456692913","12.2178503937008","67.4"
"Census Tract 104.01, Spokane County, Washington","53063010401","1636","1583","616","55490","10","58.9","258.711844884488","28.0375280528053","22.1749174917492"
"Census Tract 104.03, Spokane County, Washington","53063010403","1148","1130","636","83542","9","62.1111111111111","63.881","8.55056368563686","50.4336043360434"
"Census Tract 104.04, Spokane County, Washington","53063010404","1157","1048","729","76063","8","61.125","42.0673973880597","6.0406473880597","50.0988805970149"
"Census Tract 105.04, Spokane County, Washington","53063010504","1307","1288","714","76339","7","62.7142857142857","235.789990950226","16.5440995475113","25.0588235294118"
"Census Tract 105.05, Spokane County, Washington","53063010505","1241","1212","545","88681","8","61.125","238.498242524917","21.5205681063123","17.5182724252492"
"Census Tract 105.06, Spokane County, Washington","53063010506","2264","2187","1385","70208","8.59116022099447","58.6349088622219","256.119757746479","19.8465887323944","17.3887323943662"
"Census Tract 105.07, Spokane County, Washington","53063010507","1590","1525","1002","82422","8","61.125","282.853989304813","25.8690481283422","14.879679144385"
"Census Tract 105.08, Spokane County, Washington","53063010508","1313","1253","555","128227","8","61.125","169.773487179487","25.8605846153846","42.574358974359"
"Census Tract 106.01, Spokane County, Washington","53063010601","1291","1285","801","74837","8","61.125","212.634708222812","29.8372838196286","18.2758620689655"
"Census Tract 106.03, Spokane County, Washington","53063010603","1884","1850","1072","84962","8","61.125","232.294329545455","58.8188227272727","17.1022727272727"
"Census Tract 106.04, Spokane County, Washington","53063010604","1273","1259","698","102115","8","61.125","265.259904220779","91.8594577922078","16.3733766233766"
"Census Tract 107.01, Spokane County, Washington","53063010701","1447","1390","453","89963","8","61.125","265.0661","31.875219047619","14.3404761904762"
"Census Tract 107.02, Spokane County, Washington","53063010702","1135","1124","320","111625","7","62.7142857142857","314.392377622378","81.241682983683","15.3216783216783"
"Census Tract 108, Spokane County, Washington","53063010800","823","750","347","47083","8","61.125","239.413307692308","41.1929053254438","12.491124260355"
"Census Tract 109.01, Spokane County, Washington","53063010901","803","759","467","62660","8","61.125","207.667455882353","21.8293823529412","20.2647058823529"
"Census Tract 109.02, Spokane County, Washington","53063010902","685","685","338","78693","8","61.125","281.142738461538","27.9972256410256","14.6051282051282"
"Census Tract 110, Spokane County, Washington","53063011000","1388","1319","538","61121","8","61.125","281.218058823529","29.4893088235294","20.4558823529412"
"Census Tract 111.02, Spokane County, Washington","53063011102","1627","1604","555","50243","8","61.125","212.395767346939","46.2240612244898","16.3755102040816"
"Census Tract 111.03, Spokane County, Washington","53063011103","1422","1385","1144","25202","8","61.125","224.060611650485","22.8064563106796","15.3851132686084"
"Census Tract 111.04, Spokane County, Washington","53063011104","1164","1119","423","33828","8","61.125","239.40338961039","34.3257272727273","16.3376623376623"
"Census Tract 112.02, Spokane County, Washington","53063011202","1527","1450","701","60685","8","61.125","93.4159551020408","10.6797632653061","40.0061224489796"
"Census Tract 112.03, Spokane County, Washington","53063011203","2321","2125","1021","38458","8","61.125","213.854445652174","37.447597826087","16.0108695652174"
"Census Tract 112.04, Spokane County, Washington","53063011204","880","865","631","51417","7","62.7142857142857","249.67563963964","42.1568873873874","17.5720720720721"
"Census Tract 113.01, Spokane County, Washington","53063011301","1465","1465","1084","92749","8","61.125","297.812130555556","20.2834222222222","15.225"
"Census Tract 113.02, Spokane County, Washington","53063011302","1996","1899","640","81210","8","61.125","293.640988188976","28.5805374015748","15.1023622047244"
"Census Tract 114, Spokane County, Washington","53063011400","1987","2006","853","57411","9","61","276.346718232044","20.6664696132597","14.9944751381215"
"Census Tract 115, Spokane County, Washington","53063011500","603","585","202","77583","7","54.1428571428571","229.140131687243","28.7768600823045","13.0946502057613"
"Census Tract 116, Spokane County, Washington","53063011600","713","683","248","53875","7","54.1428571428571","316.728035460993","24.7503687943262","14.177304964539"
"Census Tract 117.01, Spokane County, Washington","53063011701","1004","943","458","55735","7","54.1428571428571","332.027016949153","25.8374124293785","12.7344632768362"
"Census Tract 117.02, Spokane County, Washington","53063011702","3083","2725","827","37020","7","54.1428571428571","273.870095092025","26.0411012269939","15.920245398773"
"Census Tract 118, Spokane County, Washington","53063011800","2470","1983","1224","39885","6","54.8333333333333","252.842942028986","19.287231884058","12.731884057971"
"Census Tract 119, Spokane County, Washington","53063011900","1873","1801","817","53038","7","54.1428571428571","263.828249452954","23.8445623632385","13.0437636761488"
"Census Tract 120, Spokane County, Washington","53063012000","1762","1697","751","50679","8","53.625","263.083823095823","16.7320417690418","13.4643734643735"
"Census Tract 121, Spokane County, Washington","53063012100","1008","956","377","49646","7","54.1428571428571","258.654218487395","20.1078907563025","11.3949579831933"
"Census Tract 122, Spokane County, Washington","53063012200","846","772","269","53889","8","61.125","189.040409340659","24.6042445054945","18.2554945054945"
