"","estimate","moe","variable","dataset"
"1",23725,1599,"estimate_total","period_of_naturalization"
"2",10794,1263,"estimate_total_not_a_u.s._citizen","period_of_naturalization"
"3",12931,980,"estimate_total_naturalized_citizens","period_of_naturalization"
"4",2128,456,"estimate_total_naturalized_citizens_naturalized_2015_or_later","period_of_naturalization"
"5",2407,456,"estimate_total_naturalized_citizens_naturalized_2010_to_2014","period_of_naturalization"
"6",2613,709,"estimate_total_naturalized_citizens_naturalized_2005_to_2009","period_of_naturalization"
"7",1280,269,"estimate_total_naturalized_citizens_naturalized_2000_to_2004","period_of_naturalization"
"8",1102,228,"estimate_total_naturalized_citizens_naturalized_1995_to_1999","period_of_naturalization"
"9",514,150,"estimate_total_naturalized_citizens_naturalized_1990_to_1994","period_of_naturalization"
"10",2887,420,"estimate_total_naturalized_citizens_naturalized_before_1990","period_of_naturalization"
"11",420894,2534,"estimate_total","nativity_in_the_united_states"
"12",397169,2572,"estimate_total_native","nativity_in_the_united_states"
"13",23725,1599,"estimate_total_foreign-born","nativity_in_the_united_states"
"14",193835,2790,"estimate_total","means_of_transportation_to_work_by_age"
"15",6454,475,"estimate_total_16_to_19_years","means_of_transportation_to_work_by_age"
"16",19577,888,"estimate_total_20_to_24_years","means_of_transportation_to_work_by_age"
"17",91281,1674,"estimate_total_25_to_44_years","means_of_transportation_to_work_by_age"
"18",36109,1180,"estimate_total_45_to_54_years","means_of_transportation_to_work_by_age"
"19",17186,976,"estimate_total_55_to_59_years","means_of_transportation_to_work_by_age"
"20",14203,926,"estimate_total_60_to_64_years","means_of_transportation_to_work_by_age"
"21",9025,568,"estimate_total_65_years_and_over","means_of_transportation_to_work_by_age"
"22",146890,2787,"estimate_total_car,_truck,_or_van_-_drove_alone","means_of_transportation_to_work_by_age"
"23",4012,413,"estimate_total_car,_truck,_or_van_-_drove_alone_16_to_19_years","means_of_transportation_to_work_by_age"
"24",14094,937,"estimate_total_car,_truck,_or_van_-_drove_alone_20_to_24_years","means_of_transportation_to_work_by_age"
"25",69253,1874,"estimate_total_car,_truck,_or_van_-_drove_alone_25_to_44_years","means_of_transportation_to_work_by_age"
"26",27848,1259,"estimate_total_car,_truck,_or_van_-_drove_alone_45_to_54_years","means_of_transportation_to_work_by_age"
"27",13946,964,"estimate_total_car,_truck,_or_van_-_drove_alone_55_to_59_years","means_of_transportation_to_work_by_age"
"28",11190,859,"estimate_total_car,_truck,_or_van_-_drove_alone_60_to_64_years","means_of_transportation_to_work_by_age"
"29",6547,449,"estimate_total_car,_truck,_or_van_-_drove_alone_65_years_and_over","means_of_transportation_to_work_by_age"
"30",18958,1160,"estimate_total_car,_truck,_or_van_-_carpooled","means_of_transportation_to_work_by_age"
"31",1038,248,"estimate_total_car,_truck,_or_van_-_carpooled_16_to_19_years","means_of_transportation_to_work_by_age"
"32",2300,391,"estimate_total_car,_truck,_or_van_-_carpooled_20_to_24_years","means_of_transportation_to_work_by_age"
"33",9620,838,"estimate_total_car,_truck,_or_van_-_carpooled_25_to_44_years","means_of_transportation_to_work_by_age"
"34",3285,446,"estimate_total_car,_truck,_or_van_-_carpooled_45_to_54_years","means_of_transportation_to_work_by_age"
"35",1258,249,"estimate_total_car,_truck,_or_van_-_carpooled_55_to_59_years","means_of_transportation_to_work_by_age"
"36",903,447,"estimate_total_car,_truck,_or_van_-_carpooled_60_to_64_years","means_of_transportation_to_work_by_age"
"37",554,193,"estimate_total_car,_truck,_or_van_-_carpooled_65_years_and_over","means_of_transportation_to_work_by_age"
"38",5419,577,"estimate_total_public_transportation_(excluding_taxicab)","means_of_transportation_to_work_by_age"
"39",319,105,"estimate_total_public_transportation_(excluding_taxicab)_16_to_19_years","means_of_transportation_to_work_by_age"
"40",886,278,"estimate_total_public_transportation_(excluding_taxicab)_20_to_24_years","means_of_transportation_to_work_by_age"
"41",2500,446,"estimate_total_public_transportation_(excluding_taxicab)_25_to_44_years","means_of_transportation_to_work_by_age"
"42",836,191,"estimate_total_public_transportation_(excluding_taxicab)_45_to_54_years","means_of_transportation_to_work_by_age"
