"","GEOID","NAME","variable","estimate","moe"
"1","53001950100","Census Tract 9501, Adams County, Washington","B28003_001",1099,100
"2","53001950100","Census Tract 9501, Adams County, Washington","B28003_002",1023,99
"3","53001950100","Census Tract 9501, Adams County, Washington","B28003_003",5,7
"4","53001950100","Census Tract 9501, Adams County, Washington","B28003_004",899,90
"5","53001950100","Census Tract 9501, Adams County, Washington","B28003_005",119,41
"6","53001950100","Census Tract 9501, Adams County, Washington","B28003_006",76,29
"7","53001950200","Census Tract 9502, Adams County, Washington","B28003_001",612,97
"8","53001950200","Census Tract 9502, Adams County, Washington","B28003_002",548,96
"9","53001950200","Census Tract 9502, Adams County, Washington","B28003_003",2,3
"10","53001950200","Census Tract 9502, Adams County, Washington","B28003_004",485,94
"11","53001950200","Census Tract 9502, Adams County, Washington","B28003_005",61,24
"12","53001950200","Census Tract 9502, Adams County, Washington","B28003_006",64,32
"13","53001950301","Census Tract 9503.01, Adams County, Washington","B28003_001",501,92
"14","53001950301","Census Tract 9503.01, Adams County, Washington","B28003_002",318,77
"15","53001950301","Census Tract 9503.01, Adams County, Washington","B28003_003",0,13
"16","53001950301","Census Tract 9503.01, Adams County, Washington","B28003_004",283,85
"17","53001950301","Census Tract 9503.01, Adams County, Washington","B28003_005",35,32
"18","53001950301","Census Tract 9503.01, Adams County, Washington","B28003_006",183,102
"19","53001950302","Census Tract 9503.02, Adams County, Washington","B28003_001",621,123
"20","53001950302","Census Tract 9503.02, Adams County, Washington","B28003_002",566,124
"21","53001950302","Census Tract 9503.02, Adams County, Washington","B28003_003",0,13
"22","53001950302","Census Tract 9503.02, Adams County, Washington","B28003_004",515,133
"23","53001950302","Census Tract 9503.02, Adams County, Washington","B28003_005",51,40
"24","53001950302","Census Tract 9503.02, Adams County, Washington","B28003_006",55,48
"25","53001950303","Census Tract 9503.03, Adams County, Washington","B28003_001",632,122
"26","53001950303","Census Tract 9503.03, Adams County, Washington","B28003_002",608,119
"27","53001950303","Census Tract 9503.03, Adams County, Washington","B28003_003",0,13
"28","53001950303","Census Tract 9503.03, Adams County, Washington","B28003_004",557,124
"29","53001950303","Census Tract 9503.03, Adams County, Washington","B28003_005",51,44
"30","53001950303","Census Tract 9503.03, Adams County, Washington","B28003_006",24,28
"31","53001950400","Census Tract 9504, Adams County, Washington","B28003_001",876,111
"32","53001950400","Census Tract 9504, Adams County, Washington","B28003_002",713,115
"33","53001950400","Census Tract 9504, Adams County, Washington","B28003_003",0,13
"34","53001950400","Census Tract 9504, Adams County, Washington","B28003_004",661,123
"35","53001950400","Census Tract 9504, Adams County, Washington","B28003_005",52,44
"36","53001950400","Census Tract 9504, Adams County, Washington","B28003_006",163,84
"37","53001950500","Census Tract 9505, Adams County, Washington","B28003_001",1694,159
"38","53001950500","Census Tract 9505, Adams County, Washington","B28003_002",1519,178
"39","53001950500","Census Tract 9505, Adams County, Washington","B28003_003",0,18
"40","53001950500","Census Tract 9505, Adams County, Washington","B28003_004",1352,207
"41","53001950500","Census Tract 9505, Adams County, Washington","B28003_005",167,106
"42","53001950500","Census Tract 9505, Adams County, Washington","B28003_006",175,96
"43","53003960100","Census Tract 9601, Asotin County, Washington","B28003_001",1782,199
"44","53003960100","Census Tract 9601, Asotin County, Washington","B28003_002",1664,191
"45","53003960100","Census Tract 9601, Asotin County, Washington","B28003_003",8,13
"46","53003960100","Census Tract 9601, Asotin County, Washington","B28003_004",1551,196
"47","53003960100","Census Tract 9601, Asotin County, Washington","B28003_005",105,46
"48","53003960100","Census Tract 9601, Asotin County, Washington","B28003_006",118,55
"49","53003960200","Census Tract 9602, Asotin County, Washington","B28003_001",2014,147
"50","53003960200","Census Tract 9602, Asotin County, Washington","B28003_002",1872,151
"51","53003960200","Census Tract 9602, Asotin County, Washington","B28003_003",27,32
"52","53003960200","Census Tract 9602, Asotin County, Washington","B28003_004",1753,160
"53","53003960200","Census Tract 9602, Asotin County, Washington","B28003_005",92,61
"54","53003960200","Census Tract 9602, Asotin County, Washington","B28003_006",142,82
"55","53003960300","Census Tract 9603, Asotin County, Washington","B28003_001",1364,145
"56","53003960300","Census Tract 9603, Asotin County, Washington","B28003_002",1279,142
"57","53003960300","Census Tract 9603, Asotin County, Washington","B28003_003",0,13
"58","53003960300","Census Tract 9603, Asotin County, Washington","B28003_004",1156,149
"59","53003960300","Census Tract 9603, Asotin County, Washington","B28003_005",123,70
"60","53003960300","Census Tract 9603, Asotin County, Washington","B28003_006",85,47
"61","53003960400","Census Tract 9604, Asotin County, Washington","B28003_001",994,133
"62","53003960400","Census Tract 9604, Asotin County, Washington","B28003_002",941,136
"63","53003960400","Census Tract 9604, Asotin County, Washington","B28003_003",73,98
"64","53003960400","Census Tract 9604, Asotin County, Washington","B28003_004",728,95
"65","53003960400","Census Tract 9604, Asotin County, Washington","B28003_005",140,62
"66","53003960400","Census Tract 9604, Asotin County, Washington","B28003_006",53,36
"67","53003960500","Census Tract 9605, Asotin County, Washington","B28003_001",1526,126
"68","53003960500","Census Tract 9605, Asotin County, Washington","B28003_002",1345,130
"69","53003960500","Census Tract 9605, Asotin County, Washington","B28003_003",6,10
"70","53003960500","Census Tract 9605, Asotin County, Washington","B28003_004",1192,137
"71","53003960500","Census Tract 9605, Asotin County, Washington","B28003_005",147,99
"72","53003960500","Census Tract 9605, Asotin County, Washington","B28003_006",181,77
"73","53003960600","Census Tract 9606, Asotin County, Washington","B28003_001",1606,157
"74","53003960600","Census Tract 9606, Asotin County, Washington","B28003_002",1542,167
"75","53003960600","Census Tract 9606, Asotin County, Washington","B28003_003",14,21
"76","53003960600","Census Tract 9606, Asotin County, Washington","B28003_004",1378,189
"77","53003960600","Census Tract 9606, Asotin County, Washington","B28003_005",150,99
"78","53003960600","Census Tract 9606, Asotin County, Washington","B28003_006",64,45
"79","53005010100","Census Tract 101, Benton County, Washington","B28003_001",1932,197
"80","53005010100","Census Tract 101, Benton County, Washington","B28003_002",1901,200
"81","53005010100","Census Tract 101, Benton County, Washington","B28003_003",10,15
"82","53005010100","Census Tract 101, Benton County, Washington","B28003_004",1825,227
"83","53005010100","Census Tract 101, Benton County, Washington","B28003_005",66,73
"84","53005010100","Census Tract 101, Benton County, Washington","B28003_006",31,22
"85","53005010201","Census Tract 102.01, Benton County, Washington","B28003_001",2134,204
"86","53005010201","Census Tract 102.01, Benton County, Washington","B28003_002",2117,202
