"","x"
"1",8.40184848369452
"2",3.70301878558989
"3",3.00655930890187
"4",1.41136257501199
"5",1.08956960431843
"6",1.06648018504318
"7",0.989651651777138
"8",0.871026766933709
"9",0.736310339085695
"10",0.6995175566412
"11",0.578276943449519
"12",0.554674469294774
"13",0.468108245688124
"14",0.430860687954243
"15",0.361167448657281
"16",0.2012670350504
"17",0.167442601449337
"18",0.132407914727375
"19",0.0783352184829697
"20",0.0296337188417841
"21",0.0155859691979281
"22",0.00579687518026133
"23",0.00109761502837384
"24",2.85263774823447e-30
"25",1.14505667531449e-30
