"","PC1","PC2","PC3","PC4"
"median_income",-0.0654378716146581,0.451689773718696,-0.0530483670871146,-0.11546258359456
"mean_income",-0.0589211786856135,0.439486946383511,-0.0720829990530931,-0.0962951999465945
"internet_with_subscription",-0.336686176294666,0.0122142709330972,0.0318857326275737,0.0736715130346765
"dialup",-0.0325184642185206,-0.130400754876309,-0.224470222267622,-0.348334853506156
"broadband",-0.317555627104444,0.0312528452283224,0.103118128165968,0.20580560225982
"satellite",-0.0725496807621776,0.0436692437417764,-0.242454495648589,-0.55587292028596
"other",-0.111002191709987,0.0734510575672353,-0.137651627131148,-0.355440641520334
"internet_without_subscription",-0.104955144753905,-0.227179657510917,0.119509269222778,-0.0208396496505549
"no_internet",-0.126805587916998,-0.347503444267441,-0.263660812863292,-0.0460716563237304
"total_native",-0.3105777273841,0.0376922841565038,-0.00730364054628386,0.0287569427123263
"total_foreign_born",-0.112037438886813,-0.131299998475489,0.462036636018813,-0.263931895455577
"not_citizen",-0.0669298805963391,-0.181540606614224,0.433199586830703,-0.249169127002741
"naturalized_citizen",-0.155476068287056,0.0215294506253472,0.330573285101975,-0.185456312700478
"computer",-0.33877747109716,-0.0249152883322411,0.0239378371853363,0.0566590433461666
"no_computer",-0.103878510540757,-0.344429980995207,-0.21167625081274,0.0200017115555931
"work_from_home",-0.17071715032775,0.266778720123905,-0.0356704689764782,-0.0243497337756399
"desktop_laptop",-0.333829542797935,0.0553779390406361,0.0249291041304001,0.0696649452579921
"only_desktop_laptop",-0.148595544974754,-0.136885906393659,-0.296706625756527,0.0962304064812516
"with_smartphone",-0.333765648035553,-0.00459437539054473,0.0741498437065717,0.0510785594834342
"only_smartphone",-0.104942246774726,-0.328739469145351,0.0166092244284682,-0.0677782349553091
"with_tablet",-0.328478056034105,0.10020933784185,0.036658932388195,0.0547646591423035
"only_tablet",-0.0480685347753279,-0.13114931863318,-0.147077199155353,0.157726221082093
"with_other",-0.108272413411133,0.0646606028638419,-0.0798353696624485,0.04397328665531
"only_other",-0.0273260276096383,-0.0217621610730667,-0.100122403932117,-0.384496317177777
"X65_older",-0.247644033957103,0.0270102711241825,-0.278376037600309,0.0158633489484069
