tract,county,median_income,mean_income,moe_median_income,moe_mean_income
9501,adams,52589,63888,6933,7004
127.01,spokane,48841,71366,8085,14512
113.01,spokane,92749,100700,14182,15036
105.07,spokane,82422,113194,16395,15881
49,spokane,93162,134076,13426,20658
9502,adams,59886,61202,7900,5547
127.02,spokane,72740,81203,11087,6365
113.02,spokane,81210,85567,10627,12779
105.08,spokane,128227,138265,26568,18021
50,spokane,59135,112579,8091,28931
9503.01,adams,39928,53032,14422,12380
128.01,spokane,55551,68054,3660,6866
114,spokane,57411,89068,15287,21496
106.01,spokane,74837,91071,9685,11865
101.01,spokane,55852,90468,12506,16000
9503.02,adams,58884,70361,7649,16089
128.02,spokane,66430,79733,9082,7437
115,spokane,77583,95771,29259,21166
106.03,spokane,84962,108332,9977,25539
101.02,spokane,89401,104983,21152,14631
2.01,spokane,36981,51277,4835,8566
9503.03,adams,50915,74863,19781,14447
129.01,spokane,57846,57501,7344,4871
116,spokane,53875,71846,7997,12027
106.04,spokane,102115,117085,25801,19539
102.01,spokane,70407,84246,10501,11059
9400,ferry,39375,55929,6334,6651
2.02,spokane,40476,44917,5469,7680
9504,adams,63750,69882,25949,12726
129.02,spokane,69663,85284,7634,10449
117.01,spokane,55735,72636,12613,25026
107.01,spokane,89963,116521,24984,16407
102.03,spokane,108194,128147,21696,14638
9701,ferry,36959,62146,10209,8047
3.01,spokane,35778,42111,7231,6295
9505,adams,48542,65116,4808,15037
130.01,spokane,116818,119762,20339,20686
9606,asotin,53947,69600,12825,11675
117.02,spokane,37020,47004,9147,4912
1,whitman,12473,28106,5082,6361
107.02,spokane,111625,119507,51850,16706
102.04,spokane,79417,112051,20953,22399
9702,ferry,44283,68345,5658,14753
3.02,spokane,41271,63836,9958,42348
9601,asotin,73942,103660,15326,15234
130.02,spokane,50394,53316,6546,5806
118,spokane,39885,49682,8039,7523
2.01,whitman,57083,71188,24227,9235
108,spokane,47083,78537,15994,37854
103.01,spokane,52959,64882,4132,12121
4,spokane,43889,48951,13697,5463
9602,asotin,72988,96387,16827,18644
130.03,spokane,86474,113202,23559,18622
119,spokane,53038,63538,12793,6916
2.02,whitman,46484,68729,8903,11358
109.01,spokane,62660,62583,14906,9713
103.03,spokane,75635,90989,12958,12153
5,spokane,53932,68649,6311,14686
9603,asotin,38077,46905,3216,5339
131.01,spokane,56166,81197,14922,14475
120,spokane,50679,60373,6904,10099
3,whitman,82103,102330,17143,11616
109.02,spokane,78693,91047,12366,11078
103.04,spokane,54171,67425,12151,10557
6,spokane,65545,75441,7654,9433
9604,asotin,38777,47096,3537,5926
131.02,spokane,83320,95452,14575,15320
121,spokane,49646,59621,7872,7400
4,whitman,50859,76081,15900,11118
110,spokane,61121,68341,14557,6819
103.05,spokane,100705,104291,19850,13123
7,spokane,53867,69125,8377,9124
9605,asotin,42639,54163,4581,5600
132.01,spokane,64830,84839,8337,15021
122,spokane,53889,61092,9872,6074
5,whitman,21696,32224,14400,7304
111.02,spokane,50243,61338,9875,6295
104.01,spokane,55490,62569,6151,6048
8,spokane,73271,84057,11600,6140
132.03,spokane,84509,125937,15278,43353
123,spokane,51847,63688,10892,9921
6.01,whitman,17294,30924,2792,11988
