"estimate","moe","variable","dataset"
171599,1280,"estimate_households_total","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
6.1,0.5,"estimate_households_total_less_than_$10,000","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
4.4,0.5,"estimate_households_total_$10,000_to_$14,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
8.9,0.6,"estimate_households_total_$15,000_to_$24,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
10,0.6,"estimate_households_total_$25,000_to_$34,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
14.3,0.7,"estimate_households_total_$35,000_to_$49,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
18.8,0.6,"estimate_households_total_$50,000_to_$74,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
13.3,0.7,"estimate_households_total_$75,000_to_$99,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
14,0.6,"estimate_households_total_$100,000_to_$149,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
5.4,0.4,"estimate_households_total_$150,000_to_$199,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
4.7,0.4,"estimate_households_total_$200,000_or_more","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
57724,906,"estimate_households_median_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
77059,1361,"estimate_households_mean_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
31,NA,"estimate_households_percent_allocated_household_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
NA,NA,"estimate_households_percent_allocated_family_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
NA,NA,"estimate_households_percent_allocated_nonfamily_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
103872,1609,"estimate_families_total","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
3.5,0.5,"estimate_families_total_less_than_$10,000","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
2.1,0.4,"estimate_families_total_$10,000_to_$14,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
5.1,0.5,"estimate_families_total_$15,000_to_$24,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
7.5,0.6,"estimate_families_total_$25,000_to_$34,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
12.6,0.7,"estimate_families_total_$35,000_to_$49,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
19.5,0.8,"estimate_families_total_$50,000_to_$74,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
16.4,0.9,"estimate_families_total_$75,000_to_$99,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
19.2,1,"estimate_families_total_$100,000_to_$149,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
7.6,0.7,"estimate_families_total_$150,000_to_$199,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
6.5,0.6,"estimate_families_total_$200,000_or_more","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
74412,1445,"estimate_families_median_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
93420,1986,"estimate_families_mean_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
NA,NA,"estimate_families_percent_allocated_household_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
29.3,NA,"estimate_families_percent_allocated_family_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
