provider_id,company,lowest_per_month,source
77236,"First Step Internet, LLC",40,https://www.fsr.com/high-speed-wireless-internet-service-pricing/
79497,Viasat Inc,70,https://buy.viasat.com/en-US/r/pln
81097,HughesNet,65,https://www.hughesnet.com/get-started
81199,Space Exploration Technologies Corp.,110,https://www.starlink.com/orders/?processorToken=34360db1-77ec-4fcb-a4ef-123da5c9101f
78962,"Frontier Communications Northwest, LLC, dba Ziply Fiber",20,https://ziplyfiber.com/
86844,T-Mobile,50,https://www.t-mobile.com/home-internet
78350,Charter Communications Inc,50,https://www.spectrum.com/internet/plans
76067,Colfax Highline Cable Co.,40,https://www.colfaxcable.com/internet.html
75896,CenturyLink,50,https://www.centurylink.com/internet/
78774,Wired or Wireless Inc.,43,https://wow-tel.com/pricing-plans/
77036,"StarTouch, Inc.",50,https://www.broadbandsearch.net/provider/startouch-broadband
78709,Comcast,51,https://www.xfinity.com/learn/deals/internet?offerId=9626100970
79155,"Blackfoot Communications, Inc. DBA Blackfoot Communications",58,https://www.blackfoot.com/residential/broadband-internet/
79078,Wave,40,https://www.buytvinternetphone.com/wave/internet
84932,United States Cellular Corporation,30,https://www.uscellular.com/high-speed-internet-provider
78688,LocalTel Communications,46,https://www.localtel.com/Prices-Bundles.php
81190,King Street L.P.,50,https://www.broadbandsearch.net/provider/king-street-wireless
79653,EVHoldings 1 LLC,49,https://www.dnb.com/business-directory/company-profiles.ev_holdings_1_llc.5b0c5f17fd7c1d66e2054ea5467b604d.html
79058,Vyve Broadband,60,https://vyvebroadband.com/internet/
76068,St. John Cable Co.,38,https://broadbandnow.com/St-John-Cable
76279,Cable ONE,65,https://www.sparklight.com/internet
76160,Inland Networks,55,https://inlandnetworks.com/wp-content/uploads/2020/05/CleElum_FiberPrint.pdf
76763,TDS TELECOM,71,https://shop.hellotds.com/packages/best-deals/internet-pkg-170.html
76826,Emerge Technologies Powered By Inland Cellular,30,https://emerge.inlandcellular.com/palouse-internet/
86804,Verizon Wireless,50,https://www.verizon.com/5g/home/
77236,"First Step Internet, LLC (10x10 Custom Plan Not Available)",75,https://www.fsr.com/high-speed-wireless-internet-service-pricing/
78572,"PocketiNet Communications, Inc.",45,https://broadbandnow.com/PocketiNet-Communications
77684,CougarWireless,60,https://cougarwireless.com/plan-types
79467,NeuBeam,50,https://www.neubeam.com/washington-residential
81890,Red-Spectrum Communications,60,https://www.red-spectrum.com/
81327,Davis Communications Inc,70,https://daviscomm.net/services/
80680,NCI Datacom,35,https://ncidata.com/services/residential-services/county/ferry-county-wireless-internet/
80564,Washington Broadband Inc.,40,https://wabroadband.com/services/
76826,Inland Cellular,45,https://inlandcellular.com/fuel-plan/
79750,Adept Internet Solutions,49,https://synkro.us/residential
76351,Concept Cable,70,http://www.conceptcable.com/cablebroadband
82887,Wired or Wireless,43,https://wow-tel.com/pricing-plans/
78068,Rural Telephone,60,https://www.rtci.net/services/washington/internet
76880,TVAssociationOfRepublic,35,http://www.rcabletv.com/internet.htm
