"","tract","county","estimate","moe","variable","dataset"
"1",9501,"adams",1099,100,"estimate_total","internet_subscriptions_in_household"
"2",9502,"adams",612,97,"estimate_total","internet_subscriptions_in_household"
"3",9503.01,"adams",501,92,"estimate_total","internet_subscriptions_in_household"
"4",9503.02,"adams",621,123,"estimate_total","internet_subscriptions_in_household"
"5",9503.03,"adams",632,122,"estimate_total","internet_subscriptions_in_household"
"6",9504,"adams",876,111,"estimate_total","internet_subscriptions_in_household"
"7",9601,"lincoln",769,82,"estimate_total","internet_subscriptions_in_household"
"8",9505,"adams",1694,159,"estimate_total","internet_subscriptions_in_household"
"9",9602,"lincoln",1336,139,"estimate_total","internet_subscriptions_in_household"
"10",9601,"asotin",1782,199,"estimate_total","internet_subscriptions_in_household"
"11",9603,"lincoln",1134,100,"estimate_total","internet_subscriptions_in_household"
"12",9602,"asotin",2014,147,"estimate_total","internet_subscriptions_in_household"
"13",9604,"lincoln",1389,135,"estimate_total","internet_subscriptions_in_household"
"14",9603,"asotin",1364,145,"estimate_total","internet_subscriptions_in_household"
"15",9604,"asotin",994,133,"estimate_total","internet_subscriptions_in_household"
"16",9605,"asotin",1526,126,"estimate_total","internet_subscriptions_in_household"
"17",9606,"asotin",1606,157,"estimate_total","internet_subscriptions_in_household"
"18",9703,"garfield",986,86,"estimate_total","internet_subscriptions_in_household"
"19",9400,"ferry",650,79,"estimate_total","internet_subscriptions_in_household"
"20",9701,"ferry",1264,132,"estimate_total","internet_subscriptions_in_household"
"21",9702,"ferry",1261,149,"estimate_total","internet_subscriptions_in_household"
"22",105.06,"spokane",2401,217,"estimate_total","internet_subscriptions_in_household"
"23",132.01,"spokane",2696,194,"estimate_total","internet_subscriptions_in_household"
"24",105.07,"spokane",1658,183,"estimate_total","internet_subscriptions_in_household"
"25",132.03,"spokane",1061,227,"estimate_total","internet_subscriptions_in_household"
"26",105.08,"spokane",1322,216,"estimate_total","internet_subscriptions_in_household"
"27",132.04,"spokane",1602,246,"estimate_total","internet_subscriptions_in_household"
"28",106.01,"spokane",1372,122,"estimate_total","internet_subscriptions_in_household"
"29",132.05,"spokane",1211,222,"estimate_total","internet_subscriptions_in_household"
"30",106.03,"spokane",1910,275,"estimate_total","internet_subscriptions_in_household"
"31",133,"spokane",1208,177,"estimate_total","internet_subscriptions_in_household"
"32",106.04,"spokane",1342,183,"estimate_total","internet_subscriptions_in_household"
"33",134.01,"spokane",2019,242,"estimate_total","internet_subscriptions_in_household"
"34",107.01,"spokane",1462,161,"estimate_total","internet_subscriptions_in_household"
"35",135.01,"spokane",651,101,"estimate_total","internet_subscriptions_in_household"
"36",107.02,"spokane",1162,136,"estimate_total","internet_subscriptions_in_household"
"37",135.02,"spokane",893,165,"estimate_total","internet_subscriptions_in_household"
"38",108,"spokane",971,141,"estimate_total","internet_subscriptions_in_household"
"39",135.03,"spokane",2211,301,"estimate_total","internet_subscriptions_in_household"
"40",109.01,"spokane",813,128,"estimate_total","internet_subscriptions_in_household"
"41",136,"spokane",1962,218,"estimate_total","internet_subscriptions_in_household"
