"tract","county","estimate_estimate_total","estimate_estimate_total_native","estimate_estimate_total_foreign-born","moe_estimate_total","moe_estimate_total_native","moe_estimate_total_foreign-born"
9501,"adams",2606,2484,122,281,277,52
9502,"adams",1763,1623,140,433,329,131
9503.01,"adams",1581,1064,517,328,205,222
9503.02,"adams",2434,1669,765,544,388,254
9503.03,"adams",2514,1841,673,530,405,268
9504,"adams",3144,2274,870,389,370,291
9505,"adams",5660,3946,1714,474,466,363
9601,"asotin",4320,4159,161,510,483,123
9602,"asotin",4755,4659,96,510,514,82
9603,"asotin",3633,3537,96,335,334,57
9604,"asotin",2517,2448,69,386,381,40
9605,"asotin",3517,3323,194,268,256,84
9606,"asotin",3894,3805,89,430,419,91
9601,"lincoln",1852,1810,42,227,225,25
9602,"lincoln",3245,3190,55,300,305,36
9603,"lincoln",2628,2586,42,230,231,26
9604,"lincoln",3007,2961,46,222,223,29
9400,"ferry",1651,1632,19,154,152,14
9701,"ferry",3024,2975,49,241,245,34
9702,"ferry",2968,2925,43,259,260,29
9703,"garfield",2258,2171,87,NA,46,46
9511,"stevens",3598,3566,32,561,561,25
20,"spokane",4072,3923,149,489,479,85
9513.01,"stevens",2889,2822,67,596,594,51
21,"spokane",2606,2521,85,384,378,65
9513.02,"stevens",1420,1415,5,289,289,9
23,"spokane",4824,4725,99,785,783,74
9514.01,"stevens",3832,3753,79,560,578,77
24,"spokane",2977,2891,86,430,409,72
9514.02,"stevens",4426,4092,334,498,481,160
25.01,"spokane",3268,3209,59,802,801,44
25.02,"spokane",2592,2441,151,686,660,101
25.03,"spokane",3205,3051,154,442,414,72
26,"spokane",4857,4215,642,710,672,377
29,"spokane",3246,2915,331,525,499,167
30,"spokane",2557,2235,322,297,270,109
31,"spokane",5004,4538,466,514,590,249
32,"spokane",2865,2605,260,436,418,143
35,"spokane",2671,2569,102,271,264,62
36.01,"spokane",2267,2214,53,451,448,51
36.02,"spokane",2337,2215,122,411,384,117
38,"spokane",1745,1608,137,220,197,59
39,"spokane",2153,2020,133,334,311,98
40.01,"spokane",2794,2358,436,619,668,257
40.02,"spokane",2301,2216,85,370,345,86
41,"spokane",2221,2134,87,275,264,78
42,"spokane",4726,4507,219,511,494,93
43,"spokane",3441,3214,227,337,313,91
44,"spokane",4790,4649,141,702,723,96
45,"spokane",3605,3491,114,475,462,62
46.01,"spokane",3876,3657,219,374,374,116
46.02,"spokane",3145,2898,247,356,373,150
47.01,"spokane",3375,3171,204,866,864,161
47.02,"spokane",3745,3449,296,308,323,217
48,"spokane",4083,3815,268,389,401,134
49,"spokane",5708,5383,325,908,866,194
50,"spokane",4395,4174,221,684,690,151
101.01,"spokane",3618,3495,123,729,748,93
101.02,"spokane",2820,2802,18,622,622,31
102.01,"spokane",4332,4270,62,897,898,47
102.03,"spokane",4404,4222,182,511,443,161
102.04,"spokane",3134,3134,0,565,565,13
103.01,"spokane",4807,4714,93,273,284,70
103.03,"spokane",3572,3365,207,484,485,150
103.04,"spokane",5700,5619,81,694,696,63
103.05,"spokane",7606,7437,169,1338,1332,92
104.01,"spokane",7675,7020,655,301,340,213
104.03,"spokane",3351,2969,382,527,486,272
104.04,"spokane",2999,2954,45,397,402,48
105.04,"spokane",3367,3295,72,359,354,55
105.05,"spokane",3680,3512,168,567,583,118
105.06,"spokane",5294,5019,275,752,687,160
105.07,"spokane",4060,3937,123,503,505,73
105.08,"spokane",4248,4177,71,723,733,51
106.01,"spokane",3959,3794,165,564,552,94
106.03,"spokane",4275,4100,175,588,589,91
106.04,"spokane",3465,3351,114,448,440,105
107.01,"spokane",4036,3659,377,482,489,237
107.02,"spokane",3686,3320,366,509,503,178
108,"spokane",2313,2264,49,329,332,32
109.01,"spokane",2232,2153,79,497,494,41
109.02,"spokane",3385,3058,327,383,405,158
