"estimate","moe","variable","dataset"
23725,1599,"estimate_total","period_of_naturalization"
10794,1263,"estimate_total_not_a_u.s._citizen","period_of_naturalization"
12931,980,"estimate_total_naturalized_citizens","period_of_naturalization"
2128,456,"estimate_total_naturalized_citizens_naturalized_2015_or_later","period_of_naturalization"
2407,456,"estimate_total_naturalized_citizens_naturalized_2010_to_2014","period_of_naturalization"
2613,709,"estimate_total_naturalized_citizens_naturalized_2005_to_2009","period_of_naturalization"
1280,269,"estimate_total_naturalized_citizens_naturalized_2000_to_2004","period_of_naturalization"
1102,228,"estimate_total_naturalized_citizens_naturalized_1995_to_1999","period_of_naturalization"
514,150,"estimate_total_naturalized_citizens_naturalized_1990_to_1994","period_of_naturalization"
2887,420,"estimate_total_naturalized_citizens_naturalized_before_1990","period_of_naturalization"
