label,income_below_poverty_level_last_year,under_6,6_to_11,12_to_17,18_to_59,60_to_74,75_to_84,85_and_over,income_at_or_above_poverty_level_last_year,under_6,6_to_11,12_to_17,18_to_59,60_to_74,75_to_84,85_and_above,tract,county,standardized_income_below_poverty_level_last_year,standardized_under_6,standardized_6_to_11,standardized_12_to_17,standardized_18_to_59,standardized_60_to_74,standardized_75_to_84,standardized_85_and_over,standardized_income_at_or_above_poverty_level_last_year,standardized_under_6,standardized_6_to_11,standardized_12_to_17,standardized_18_to_59,standardized_60_to_74,standardized_75_to_84,standardized_85_and_above,index
Estimate,288,11,6,33,180,44,14,0,2221,119,235,194,997,505,97,74,9501,Adams,-0.520563792,-0.56199958,-0.627665077,-0.078090709,-0.370289344,-0.272052562,0.026557363,-0.352615696,-0.664957726,-0.645377863,0.043400194,-0.26092182,-0.880472151,-0.230095119,-0.604083252,0.275467302,-5.723759833
Estimate,293,46,16,41,149,29,5,7,1470,76,123,152,823,243,45,8,9502,Adams,-0.508650832,-0.023619785,-0.45326072,0.106900874,-0.464713376,-0.577236167,-0.520192351,-0.047206158,-1.228491439,-0.955969167,-0.697875118,-0.545543606,-1.116264906,-1.106496501,-1.10204377,-0.811108162,-10.05177118
Estimate,369,30,14,125,135,52,13,0,1190,143,100,131,444,297,55,20,9503.01,Adams,-0.327573844,-0.269736263,-0.488141592,2.049312492,-0.507356488,-0.109287972,-0.034192605,-0.352615696,-1.438597218,-0.472024577,-0.850101298,-0.6878545,-1.629859467,-0.925864155,-1.006282132,-0.613548987,-7.663724301
Estimate,517,78,56,109,266,8,0,0,1917,94,279,224,1038,235,40,7,9503.02,Adams,0.025049765,0.468613171,0.244356705,1.679329327,-0.108338803,-1.004493214,-0.823942192,-0.352615696,-0.893072572,-0.825954202,0.334615495,-0.057620544,-0.82491179,-1.133256848,-1.149924589,-0.827571426,-5.249737414
Estimate,794,159,164,179,242,50,0,0,1694,139,129,229,937,138,122,0,9503.03,Adams,0.685027734,1.714577841,2.127923752,3.298005675,-0.181441279,-0.14997912,-0.823942192,-0.352615696,-1.060406817,-0.500916792,-0.65816394,-0.023736998,-0.961779998,-1.457726062,-0.364679156,-0.942814278,0.347332674
Estimate,759,150,160,98,330,21,0,0,2314,253,304,298,1128,252,41,38,9504,Adams,0.601637016,1.576137322,2.058162009,1.4249659,0.086601135,-0.740000756,-0.823942192,-0.352615696,-0.595172593,0.322511315,0.500078734,0.443855937,-0.702950021,-1.07639111,-1.140348425,-0.317210224,1.265318353
Estimate,1552,332,310,186,640,50,34,0,4089,554,520,320,2236,339,120,0,9505,Adams,2.491032431,4.375712259,4.674227353,3.45987331,1.030841459,-0.14997912,1.241556727,-0.352615696,0.736747968,2.496650441,1.92968112,0.59294354,0.798534873,-0.785372331,-0.383831484,-0.942814278,21.21318857
Estimate,243,0,0,22,191,21,9,0,4077,209,323,414,1432,1195,404,100,9601,Asotin,-0.627780429,-0.731204659,-0.73230769,-0.332454135,-0.336784042,-0.740000756,-0.277192478,-0.352615696,0.727743434,0.004696958,0.625830796,1.229954204,-0.290990266,2.077984855,2.335799039,0.703512181,3.284191314
Estimate,214,12,24,12,83,54,29,0,4530,83,278,338,1951,1387,444,49,9602,Asotin,-0.696875596,-0.546617301,-0.313737235,-0.563693614,-0.665745187,-0.068596825,0.937806886,-0.352615696,1.067664569,-0.905407792,0.327996965,0.714924305,0.412322603,2.720233196,2.718845591,-0.136114313,4.650390557
Estimate,844,63,69,121,463,116,12,0,2691,198,179,185,1585,440,56,48,9603,Asotin,0.804157332,0.237878973,0.471082368,1.956816701,0.491710694,1.192828743,-0.094942573,-0.352615696,-0.312280169,-0.074756631,-0.327237462,-0.321912203,-0.083655259,-0.447522943,-0.996705968,-0.152577578,1.990268328
Estimate,684,40,47,99,376,84,34,4,1802,74,172,75,818,370,277,16,9604,Asotin,0.42294262,-0.115913464,0.087392784,1.448089848,0.226714216,0.541770386,1.241556727,-0.17809596,-0.979366016,-0.970415274,-0.373567169,-1.067350215,-1.123040559,-0.681675984,1.119626235,-0.679402045,-1.080733871
Estimate,577,63,7,29,352,82,44,0,2865,329,149,159,1552,440,141,95,9605,Asotin,0.168005281,0.237878973,-0.610224641,-0.1705865,0.153611739,0.501079238,1.849056409,-0.352615696,-0.181714436,0.871463387,-0.525793349,-0.498106642,-0.128374574,-0.447522943,-0.182732044,0.621195858,1.304620061
Estimate,373,0,6,11,191,106,59,0,3506,275,236,299,1648,652,283,113,9606,Asotin,-0.318043476,-0.731204659,-0.627665077,-0.586817562,-0.336784042,0.989373007,2.760305932,-0.352615696,0.299277722,0.481418494,0.050018723,0.450632646,0.00171798,0.261626267,1.177083217,0.917534621,4.435858097
