label,one_or_more_computing_devices,desktop_or_laptop,desktop_or_laptop_only,smartphone,smartphone_only,tablet_or_portable_computer,tablet_or_portable_computer_only,other,other_only,no_computer,tract,county,standardized_one_or_more_computing_devices,standardized_desktop_or_laptop,standardized_desktop_or_laptop_only,standardized_smartphone,standardized_smartphone_only,standardized_tablet_or_portable_computer,standardized_tablet_or_portable_computer_only,standardized_other,standardized_other_only,standardized_no_computer,index
Estimate,1023,754,88,867,153,604,20,17,0,76,9501,Adams,-0.665790469,-0.83408038,0.078368005,#REF!,0.547053259,-0.764806505,0.295900736,-0.465561616,-0.152548567,-0.333236131,#REF!
Estimate,548,448,21,503,68,327,4,17,0,64,9502,Adams,-1.531491368,-1.404810406,-1.169515251,#REF!,-0.463205965,-1.436185958,-0.583690487,-0.465561616,-0.152548567,-0.485406342,#REF!
Estimate,318,242,17,301,76,190,0,3,0,183,9503.01,Adams,-1.950672856,-1.789027351,-1.244015744,#REF!,-0.368122744,-1.768240056,-0.803588293,-1.032466969,-0.152548567,1.023614915,#REF!
Estimate,566,305,0,554,132,377,0,8,0,55,9503.02,Adams,-1.498685861,-1.67152411,-1.560642838,#REF!,0.297459803,-1.314998331,-0.803588293,-0.830000771,-0.152548567,-0.599534,#REF!
Estimate,608,396,6,581,97,305,0,31,0,24,9503.03,Adams,-1.422139676,-1.501797207,-1.448892099,#REF!,-0.118529288,-1.489508514,-0.803588293,0.101343736,-0.152548567,-0.992640377,#REF!
Estimate,713,455,46,639,187,429,28,10,0,163,9504,Adams,-1.230774214,-1.39175449,-0.70388717,#REF!,0.951156948,-1.188963199,0.735696348,-0.749014293,-0.152548567,0.769997897,#REF!
Estimate,1519,807,25,1483,461,790,0,17,0,175,9505,Adams,0.238183523,-0.735228447,-1.095014758,#REF!,4.207757267,-0.313988532,-0.803588293,-0.465561616,-0.152548567,0.922168107,#REF!
Estimate,1664,1497,150,1401,81,1121,50,99,0,118,9601,Asotin,0.502450113,0.551711807,1.233125644,#REF!,-0.30869573,0.488273558,1.94513428,2.854884019,-0.152548567,0.199359607,#REF!
Estimate,1872,1679,81,1679,101,1463,0,14,0,142,9602,Asotin,0.88153598,0.891165613,-0.052007858,#REF!,-0.070987678,1.317196926,-0.803588293,-0.587041335,-0.152548567,0.503700028,#REF!
Estimate,1279,977,59,1193,207,787,0,34,0,85,9603,Asotin,-0.199223248,-0.418156211,-0.461760569,#REF!,1.188865,-0.32125979,-0.803588293,0.222823454,-0.152548567,-0.219108473,#REF!
Estimate,941,750,109,715,111,581,16,20,0,53,9604,Asotin,-0.815237782,-0.841540903,0.469495592,#REF!,0.047866348,-0.820552813,0.07600293,-0.344081898,-0.152548567,-0.624895701,#REF!
Estimate,1345,1157,96,1163,141,737,39,15,0,181,9605,Asotin,-0.078936386,-0.082432666,0.227368991,#REF!,0.404428427,-0.442447417,1.340415314,-0.546548095,-0.152548567,0.998253213,#REF!
Estimate,1542,1347,163,1333,84,915,37,22,0,64,9606,Asotin,0.280101671,0.271942186,1.475252246,#REF!,-0.273039523,-0.011019465,1.230466411,-0.263095419,-0.152548567,-0.485406342,#REF!
Estimate,523,395,44,431,42,368,22,0,0,127,9400,Ferry,-1.577054573,-1.503662338,-0.741137417,#REF!,-0.772226433,-1.336812104,0.405849639,-1.153946687,-0.152548567,0.313487265,#REF!
Estimate,1097,811,171,804,190,567,11,0,0,167,9701,Ferry,-0.530923382,-0.727767924,1.624253232,#REF!,0.986813156,-0.854485349,-0.198869327,-1.153946687,-0.152548567,0.8207213,#REF!
Estimate,1063,876,158,785,124,561,20,56,0,198,9702,Ferry,-0.592889341,-0.606534422,1.38212663,#REF!,0.202376582,-0.869027864,0.295900736,1.113674722,-0.152548567,1.213827678,#REF!
Estimate,897,776,71,774,77,549,3,15,0,89,9703,Garfield,-0.895429023,-0.793047502,-0.23825909,#REF!,-0.356237341,-0.898112894,-0.638664939,-0.546548095,-0.152548567,-0.168385069,#REF!
Estimate,733,609,50,655,64,445,3,10,0,36,9601,Lincoln,-1.19432365,-1.104524346,-0.629386678,#REF!,-0.510747575,-1.150183158,-0.638664939,-0.749014293,-0.152548567,-0.840470166,#REF!
Estimate,1283,1118,132,1054,57,762,38,19,0,53,9602,Lincoln,-0.191933135,-0.155172768,0.897873426,#REF!,-0.593945394,-0.381853604,1.285440862,-0.384575138,-0.152548567,-0.624895701,#REF!
Estimate,1064,895,113,920,96,696,4,30,0,70,9603,Lincoln,-0.591066812,-0.571096937,0.543996085,#REF!,-0.130414691,-0.541821271,-0.583690487,0.060850496,-0.152548567,-0.409321236,#REF!
