label,has_computer,dial_up_only,broadband,no_internet_subcription,no_computer,tract,county,standardized_has_computer,standardized_dial_up_only,standardized_broadband,standardized_no_internet_subcription,standardized_no_computer,index
Estimate,1023,5,899,119,76,9501,Adams,-0.665790469,-0.106688747,-0.739048579,0.267916681,-0.333236131,-1.576847245
Estimate,548,2,485,61,64,9502,Adams,-1.531491368,-0.337287654,-1.531830355,-0.437883184,-0.485406342,-4.323898902
Estimate,318,0,283,35,183,9503.01,Adams,-1.950672856,-0.491020258,-1.918646583,-0.754276226,1.023614915,-4.09100101
Estimate,566,0,515,51,55,9503.02,Adams,-1.498685861,-0.491020258,-1.4743824,-0.559572815,-0.599534,-4.623195333
Estimate,608,0,557,51,24,9503.03,Adams,-1.422139676,-0.491020258,-1.393955263,-0.559572815,-0.992640377,-4.85932839
Estimate,713,0,661,52,163,9504,Adams,-1.230774214,-0.491020258,-1.194802354,-0.547403852,0.769997897,-2.694002781
Estimate,1519,0,1352,167,175,9505,Adams,0.238183523,-0.491020258,0.128415537,0.852026914,0.922168107,1.649773824
Estimate,1664,8,1551,105,118,9601,Asotin,0.502450113,0.123910159,0.509486971,0.097551197,0.199359607,1.432758046
Estimate,1872,27,1753,92,142,9602,Asotin,0.88153598,1.5843699,0.896303199,-0.060645325,0.503700028,3.805263783
Estimate,1279,0,1156,123,85,9603,Asotin,-0.199223248,-0.491020258,-0.2469111,0.316592534,-0.219108473,-0.839670544
Estimate,941,73,728,140,53,9604,Asotin,-0.815237782,5.120219799,-1.066501921,0.523464908,-0.624895701,3.137049303
Estimate,1345,6,1192,147,181,9605,Asotin,-0.078936386,-0.029822445,-0.177973555,0.608647651,0.998253213,1.320168478
Estimate,1542,14,1378,150,64,9606,Asotin,0.280101671,0.585107972,0.178203765,0.64515454,-0.485406342,1.203161607
Estimate,523,5,396,122,127,9400,Ferry,-1.577054573,-0.106688747,-1.702259287,0.304423571,0.313487265,-2.768091772
Estimate,1097,9,789,299,167,9701,Ferry,-0.530923382,0.200776461,-0.94969108,2.458330055,0.8207213,1.999213355
Estimate,1063,24,925,114,198,9702,Ferry,-0.592889341,1.353770994,-0.689260352,0.207071865,1.213827678,1.492520845
Estimate,897,0,801,96,89,9703,Garfield,-0.895429023,-0.491020258,-0.926711898,-0.011969472,-0.168385069,-2.493515721
Estimate,733,0,700,33,36,9601,Lincoln,-1.19432365,-0.491020258,-1.120120012,-0.778614153,-0.840470166,-4.424548239
Estimate,1283,21,1193,69,53,9602,Lincoln,-0.191933135,1.123172087,-0.176058623,-0.340531478,-0.624895701,-0.21024685
Estimate,1064,12,872,180,70,9603,Lincoln,-0.591066812,0.431375368,-0.790751738,1.010223436,-0.409321236,-0.349540984
Estimate,1256,10,1136,110,133,9604,Lincoln,-0.241141396,0.277642764,-0.285209737,0.158396013,0.38957237,0.299260013
