label,less_than_9th_grade,9th_to_12th_no_diploma,high_school_grad_equivalent,some_college_no_degree,associates_degree,bachelors_degree,graduate_or_professional_degree,tract,county,standardized_less_than_9th_grade,standardized_9th_to_12th_no_diploma,standardized_high_school_grad_equivalent,standardized_some_college_no_degree,standardized_associates_degree,standardized_bachelors_degree,standardized_graduate_or_professional_degree,index
Estimate,56,151,676,429,235,312,116,9501,Adams,0.366673871,0.132004481,-0.087653914,-0.86375634,-0.569644126,-0.592970358,-0.686692495,-2.302038882
Estimate,6,173,344,326,110,184,44,9502,Adams,-0.973208684,0.372262185,-1.046167453,-1.089648386,-1.270176859,-0.988452767,-0.998892223,-5.994284186
Estimate,43,59,186,158,52,34,20,9503.01,Adams,0.018304406,-0.872709554,-1.502327511,-1.458093663,-1.595224047,-1.451908714,-1.102958799,-7.964917882
Estimate,79,155,474,148,66,0,101,9503.02,Adams,0.983019846,0.1756877,-0.670845887,-1.48002493,-1.516764381,-1.556958729,-0.751734105,-4.817620486
Estimate,93,44,438,169,50,102,74,9503.03,Adams,1.358186961,-1.036521625,-0.77478109,-1.43396927,-1.606432571,-1.241808684,-0.868809003,-5.604135283
Estimate,119,118,395,322,60,180,101,9504,Adams,2.054925889,-0.228382075,-0.898925916,-1.098420892,-1.550389952,-1.000811592,-0.751734105,-3.473738643
Estimate,132,273,1022,438,90,112,131,9505,Adams,2.403295353,1.464342659,0.91127887,-0.844018201,-1.382262096,-1.210911621,-0.621650885,0.720074079
Estimate,30,192,678,922,460,524,408,9601,Asotin,-0.330065058,0.579757475,-0.081879736,0.217455099,0.691314795,0.062047381,0.579450846,1.718080801
Estimate,2,223,1104,930,506,737,484,9602,Asotin,-1.080399288,0.918302422,1.148020166,0.235000112,0.94911084,0.720154826,0.908995003,3.799184082
Estimate,13,360,810,983,145,390,28,9603,Asotin,-0.785625126,2.414452671,0.299216008,0.351235825,-1.074027694,-0.351973265,-1.06826994,-0.214991522
Estimate,37,332,638,524,202,147,94,9604,Asotin,-0.1424815,2.108670138,-0.197363295,-0.655409309,-0.754584767,-1.1027719,-0.782086856,-1.52602749
Estimate,14,278,828,814,339,265,131,9605,Asotin,-0.758827475,1.518946683,0.351183609,-0.01940258,0.013199109,-0.738186555,-0.621650885,-0.254738094
Estimate,161,168,862,834,372,438,177,9606,Asotin,3.180427235,0.317658162,0.449344635,0.024459954,0.19813975,-0.203667362,-0.422189948,3.544172425
Estimate,48,90,477,367,117,107,68,9400,Ferry,0.152292662,-0.534164608,-0.66218462,-0.999730193,-1.230947026,-1.226360153,-0.894825647,-5.395919584
Estimate,36,215,916,645,136,357,227,9701,Ferry,-0.169279151,0.830935984,0.605247439,-0.390040984,-1.124466051,-0.453933574,-0.205384581,-0.906920917
Estimate,77,214,917,602,243,331,167,9702,Ferry,0.929424543,0.82001518,0.608134528,-0.48434543,-0.524810031,-0.534265938,-0.465551021,0.348601832
Estimate,18,72,535,466,189,297,146,9703,Garfield,-0.651636871,-0.730739093,-0.49473346,-0.782610654,-0.827440172,-0.639315953,-0.556609275,-4.683085477
Estimate,15,100,423,436,100,219,131,9601,Lincoln,-0.732029824,-0.42495656,-0.818087425,-0.848404454,-1.326219478,-0.880313046,-0.621650885,-5.651661671
Estimate,36,129,592,748,283,406,188,9602,Lincoln,-0.169279151,-0.108253223,-0.330169388,-0.164148939,-0.300639556,-0.302537964,-0.374492767,-1.749520988
Estimate,15,115,693,582,240,275,162,9603,Lincoln,-0.732029824,-0.261144489,-0.038573402,-0.528207963,-0.541622816,-0.707289492,-0.487231558,-3.296099543
Estimate,64,140,607,797,273,422,178,9604,Lincoln,0.581055079,0.011875629,-0.286863054,-0.056685733,-0.356682175,-0.253102663,-0.41785384,-0.778256756
Estimate,84,154,529,352,217,209,94,9701,Pend Oreille,1.117008101,0.164766895,-0.512055993,-1.032627093,-0.670520839,-0.911210109,-0.782086856,-2.626725894
Estimate,10,163,777,614,276,290,136,9702,Pend Oreille,-0.866018079,0.263054138,0.203942072,-0.45802791,-0.339869389,-0.660943897,-0.599970348,-2.457833414
Estimate,9,181,1129,777,165,248,101,9703,Pend Oreille,-0.89281573,0.459628623,1.22019739,-0.100548266,-0.961942456,-0.790711562,-0.751734105,-1.817926106
