Label,Less_than_$100,$100_to_$199,$200_to_$299,$300_to_$399,$400_to_$499,$500_to_$599,$600_to_$699,$700_to_$799,$800_to_$899,$900_to_$999,"$1,000_to_$1,499","$1,500_to_$1,999","$2,000_to_$2,499","$2,500_to_$2,999","$3,000_or_more",No_cash_rent,tract,county,Standardize_Less_than_$100,Standardize_$100_to_$199,Standardize_$200_to_$299,Standardize_$300_to_$399,Standardize_$400_to_$499,Standardize_$500_to_$599,Standardize_$600_to_$699,Standardize_$700_to_$799,Standardize_$800_to_$899,Standardize_$900_to_$999,"Standardize_$1,000_to_$1,499","Standardize_$1,500_to_$1,999","Standardize_$2,000_to_$2,499","Standardize_$2,500_to_$2,999","Standardize_$3,000_or_more",Standardize_No_cash_rent,index
Estimate,7,25,43,78,101,130,116,100,62,89,174,52,25,0,18,79,9501,Adams,0.138788154,0.170972557,-0.169347917,-0.029051167,0.260800664,0.453278835,0.144381529,-0.010523986,-0.429391761,-0.124807393,-0.903119703,-0.936952293,-0.604344296,-0.634537169,-0.245948782,2.325227655,-0.594575073
Estimate,3,17,56,56,57,43,49,40,22,29,135,33,1,0,1,70,9502,Adams,-0.212744472,-0.119403108,0.07586127,-0.398010146,-0.600194394,-0.900943782,-0.709579842,-0.841843148,-0.854716213,-0.735768241,-1.074280288,-1.060987439,-0.878122547,-0.634537169,-0.618645647,1.960776766,-7.6031384
Estimate,44,0,8,34,14,41,36,70,17,63,99,29,13,0,0,33,9503.01,Adams,3.390464951,-0.736451396,-0.829526496,-0.766969126,-1.441621383,-0.932075337,-0.875273839,-0.426183567,-0.907881769,-0.389557094,-1.232274674,-1.087100101,-0.741233421,-0.634537169,-0.640568991,0.462478664,-7.788310749
Estimate,12,6,55,23,117,64,6,93,82,0,55,56,35,0,0,17,9503.02,Adams,0.578203938,-0.518669647,0.056999025,-0.951448615,0.573889776,-0.574062461,-1.257644602,-0.107511221,-0.216729536,-1.031065983,-1.425378924,-0.91083963,-0.490270024,-0.634537169,-0.640568991,-0.185434029,-7.735068096
Estimate,0,0,50,117,172,76,35,6,3,9,23,102,16,5,10,8,9503.03,Adams,-0.476393942,-0.736451396,-0.037312201,0.625012479,1.650133598,-0.387273135,-0.888019532,-1.312924006,-1.056745327,-0.939421856,-1.565818379,-0.610544012,-0.70701114,-0.533703284,-0.421335542,-0.549884918,-7.947692592
Estimate,0,0,65,74,22,74,75,24,132,26,234,109,22,8,0,11,9504,Adams,-0.476393942,-0.736451396,0.245621476,-0.096134617,-1.285076827,-0.418404689,-0.378191848,-1.063528257,0.314926028,-0.766316283,-0.639795725,-0.564846853,-0.638566577,-0.473202953,-0.640568991,-0.428401289,-8.045332744
Estimate,0,0,68,147,155,95,101,156,89,62,537,165,47,16,0,56,9505,Adams,-0.476393942,-0.736451396,0.302208212,1.12813836,1.317476417,-0.091523368,-0.046803853,0.765373899,-0.142297757,-0.399739775,0.68999036,-0.19926958,-0.353380899,-0.311868737,-0.640568991,1.393853159,2.198742109
Estimate,0,30,86,131,137,148,214,123,60,10,345,123,104,230,30,11,9601,Asotin,-0.476393942,0.352457347,0.641728624,0.859804557,0.965251166,0.733462824,1.393459354,0.30814836,-0.450657984,-0.929239176,-0.152646367,-0.473452535,0.296842448,4.003821541,0.017131357,-0.428401289,6.661316287
Estimate,33,29,49,146,196,227,121,77,33,15,456,429,23,109,0,71,9602,Asotin,2.423750227,0.316160389,-0.056174446,1.111367497,2.119767266,1.963159224,0.208109989,-0.329196331,-0.737751988,-0.878325772,0.33450299,1.524166139,-0.62715915,1.563641524,-0.640568991,2.001271309,10.29671988
Estimate,0,49,88,126,105,88,149,177,55,82,338,42,13,13,22,17,9603,Asotin,-0.476393942,1.042099551,0.679453114,0.775950243,0.339072942,-0.200483808,0.564989368,1.056335605,-0.50382354,-0.196086159,-0.183367498,-1.002233949,-0.741233421,-0.372369068,-0.158255403,-0.185434029,0.438220007
Estimate,17,23,50,153,82,67,37,71,92,99,224,43,14,0,0,22,9604,Asotin,1.017619721,0.098378641,-0.037312201,1.228763536,-0.110992657,-0.527365129,-0.862528147,-0.412328247,-0.110398423,-0.022980586,-0.683683055,-0.995705783,-0.729825994,-0.634537169,-0.640568991,0.017038688,-3.406425797
Estimate,0,38,74,111,108,85,155,151,193,177,308,61,8,0,24,33,9605,Asotin,-0.476393942,0.642833012,0.415381682,0.524387303,0.39777715,-0.24718114,0.64146352,0.696097302,0.963545816,0.771268516,-0.315029487,-0.878198802,-0.798270557,-0.634537169,-0.114408713,0.462478664,2.051213156
