Label,Tract,County,"Full-time, year-round civilian employed population 16 years and over","Management, business, science, and arts occupations:","Management, business, and financial occupations:",Management occupations,Business and financial operations occupations,"Computer, engineering, and science occupations:",Computer and mathematical occupations,Architecture and engineering occupations,"Life, physical, and social science occupations","Education, legal, community service, arts, and media occupations:",Community and social service occupations,Legal occupations,"Educational instruction, and library occupations","Arts, design, entertainment, sports, and media occupations",Healthcare practitioners and technical occupations:,Health diagnosing and treating practitioners and other technical occupations,Health technologists and technicians,Service occupations:,Healthcare support occupations,Protective service occupations:,"Firefighting and prevention, and other protective service workers including supervisors",Law enforcement workers including supervisors,Food preparation and serving related occupations,Building and grounds cleaning and maintenance occupations,Personal care and service occupations,Sales and office occupations:,Sales and related occupations,Office and administrative support occupations,"Natural resources, construction, and maintenance occupations:","Farming, fishing, and forestry occupations",Construction and extraction occupations,"Installation, maintenance, and repair occupations","Production, transportation, and material moving occupations:",Production occupations,Transportation occupations,Material moving occupations
Estimate,9501,Adams,713,262,170,154,16,8,4,4,0,74,8,0,66,0,10,7,3,121,66,14,8,6,6,19,16,126,69,57,98,37,15,46,106,53,46,7
Estimate,9502,Adams,564,132,89,88,1,11,1,8,2,29,2,11,16,0,3,2,1,122,13,29,2,27,7,73,0,78,36,42,152,6,118,28,80,8,41,31
Estimate,9503.01,Adams,384,76,10,10,0,59,56,0,3,1,0,0,1,0,6,6,0,49,0,44,0,44,0,5,0,36,1,35,196,167,0,29,27,0,10,17
Estimate,9503.02,Adams,659,82,49,38,11,0,0,0,0,33,8,0,25,0,0,0,0,89,14,8,0,8,0,17,50,70,32,38,168,131,29,8,250,86,72,92
Estimate,9503.03,Adams,731,180,42,42,0,26,10,0,16,75,0,0,75,0,37,30,7,105,82,16,0,16,7,0,0,84,18,66,182,168,14,0,180,180,0,0
Estimate,9504,Adams,764,229,118,68,50,7,0,0,7,67,25,0,42,0,37,28,9,69,19,7,7,0,0,38,5,163,61,102,186,118,34,34,117,28,16,73
Estimate,9505,Adams,"1,713",335,195,134,61,0,0,0,0,125,0,0,125,0,15,15,0,264,90,22,0,22,0,136,16,195,95,100,440,339,53,48,479,227,92,160
Estimate,9601,Asotin,"1,273",676,259,187,72,84,0,64,20,188,23,27,92,46,145,109,36,101,34,33,21,12,14,20,0,203,64,139,179,18,76,85,114,87,9,18
Estimate,9602,Asotin,"1,847",795,311,205,106,126,104,22,0,194,25,0,169,0,164,84,80,180,45,57,19,38,0,78,0,369,77,292,247,0,168,79,256,93,47,116
Estimate,9603,Asotin,"1,120",218,86,64,22,13,13,0,0,99,46,0,53,0,20,11,9,299,113,13,6,7,92,31,50,206,144,62,219,12,143,64,178,96,15,67
