"","estimate","moe","variable","dataset"
"1",193835,2790,"estimate_total","means_of_transportation_to_work_by_age"
"2",6454,475,"estimate_total_16_to_19_years","means_of_transportation_to_work_by_age"
"3",19577,888,"estimate_total_20_to_24_years","means_of_transportation_to_work_by_age"
"4",91281,1674,"estimate_total_25_to_44_years","means_of_transportation_to_work_by_age"
"5",36109,1180,"estimate_total_45_to_54_years","means_of_transportation_to_work_by_age"
"6",17186,976,"estimate_total_55_to_59_years","means_of_transportation_to_work_by_age"
"7",14203,926,"estimate_total_60_to_64_years","means_of_transportation_to_work_by_age"
"8",9025,568,"estimate_total_65_years_and_over","means_of_transportation_to_work_by_age"
"9",146890,2787,"estimate_total_car,_truck,_or_van_-_drove_alone","means_of_transportation_to_work_by_age"
"10",4012,413,"estimate_total_car,_truck,_or_van_-_drove_alone_16_to_19_years","means_of_transportation_to_work_by_age"
"11",14094,937,"estimate_total_car,_truck,_or_van_-_drove_alone_20_to_24_years","means_of_transportation_to_work_by_age"
"12",69253,1874,"estimate_total_car,_truck,_or_van_-_drove_alone_25_to_44_years","means_of_transportation_to_work_by_age"
"13",27848,1259,"estimate_total_car,_truck,_or_van_-_drove_alone_45_to_54_years","means_of_transportation_to_work_by_age"
"14",13946,964,"estimate_total_car,_truck,_or_van_-_drove_alone_55_to_59_years","means_of_transportation_to_work_by_age"
"15",11190,859,"estimate_total_car,_truck,_or_van_-_drove_alone_60_to_64_years","means_of_transportation_to_work_by_age"
"16",6547,449,"estimate_total_car,_truck,_or_van_-_drove_alone_65_years_and_over","means_of_transportation_to_work_by_age"
"17",18958,1160,"estimate_total_car,_truck,_or_van_-_carpooled","means_of_transportation_to_work_by_age"
"18",1038,248,"estimate_total_car,_truck,_or_van_-_carpooled_16_to_19_years","means_of_transportation_to_work_by_age"
"19",2300,391,"estimate_total_car,_truck,_or_van_-_carpooled_20_to_24_years","means_of_transportation_to_work_by_age"
"20",9620,838,"estimate_total_car,_truck,_or_van_-_carpooled_25_to_44_years","means_of_transportation_to_work_by_age"
"21",3285,446,"estimate_total_car,_truck,_or_van_-_carpooled_45_to_54_years","means_of_transportation_to_work_by_age"
"22",1258,249,"estimate_total_car,_truck,_or_van_-_carpooled_55_to_59_years","means_of_transportation_to_work_by_age"
"23",903,447,"estimate_total_car,_truck,_or_van_-_carpooled_60_to_64_years","means_of_transportation_to_work_by_age"
"24",554,193,"estimate_total_car,_truck,_or_van_-_carpooled_65_years_and_over","means_of_transportation_to_work_by_age"
"25",5419,577,"estimate_total_public_transportation_(excluding_taxicab)","means_of_transportation_to_work_by_age"
"26",319,105,"estimate_total_public_transportation_(excluding_taxicab)_16_to_19_years","means_of_transportation_to_work_by_age"
"27",886,278,"estimate_total_public_transportation_(excluding_taxicab)_20_to_24_years","means_of_transportation_to_work_by_age"
"28",2500,446,"estimate_total_public_transportation_(excluding_taxicab)_25_to_44_years","means_of_transportation_to_work_by_age"
"29",836,191,"estimate_total_public_transportation_(excluding_taxicab)_45_to_54_years","means_of_transportation_to_work_by_age"
"30",241,83,"estimate_total_public_transportation_(excluding_taxicab)_55_to_59_years","means_of_transportation_to_work_by_age"
"31",377,167,"estimate_total_public_transportation_(excluding_taxicab)_60_to_64_years","means_of_transportation_to_work_by_age"
"32",260,119,"estimate_total_public_transportation_(excluding_taxicab)_65_years_and_over","means_of_transportation_to_work_by_age"
"33",5007,700,"estimate_total_walked","means_of_transportation_to_work_by_age"
"34",857,169,"estimate_total_walked_16_to_19_years","means_of_transportation_to_work_by_age"
"35",1059,246,"estimate_total_walked_20_to_24_years","means_of_transportation_to_work_by_age"
"36",1966,457,"estimate_total_walked_25_to_44_years","means_of_transportation_to_work_by_age"
"37",412,147,"estimate_total_walked_45_to_54_years","means_of_transportation_to_work_by_age"
"38",268,96,"estimate_total_walked_55_to_59_years","means_of_transportation_to_work_by_age"
"39",239,154,"estimate_total_walked_60_to_64_years","means_of_transportation_to_work_by_age"
"40",206,102,"estimate_total_walked_65_years_and_over","means_of_transportation_to_work_by_age"
"41",2850,523,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means","means_of_transportation_to_work_by_age"
"42",88,59,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_16_to_19_years","means_of_transportation_to_work_by_age"
"43",357,252,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_20_to_24_years","means_of_transportation_to_work_by_age"
"44",1320,286,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_25_to_44_years","means_of_transportation_to_work_by_age"
"45",421,164,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_45_to_54_years","means_of_transportation_to_work_by_age"
"46",246,168,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_55_to_59_years","means_of_transportation_to_work_by_age"
"47",268,143,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_60_to_64_years","means_of_transportation_to_work_by_age"
"48",150,72,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_65_years_and_over","means_of_transportation_to_work_by_age"
"49",14711,1088,"estimate_total_worked_from_home","means_of_transportation_to_work_by_age"
"50",140,65,"estimate_total_worked_from_home_16_to_19_years","means_of_transportation_to_work_by_age"
"51",881,240,"estimate_total_worked_from_home_20_to_24_years","means_of_transportation_to_work_by_age"
"52",6622,855,"estimate_total_worked_from_home_25_to_44_years","means_of_transportation_to_work_by_age"
"53",3307,440,"estimate_total_worked_from_home_45_to_54_years","means_of_transportation_to_work_by_age"
"54",1227,271,"estimate_total_worked_from_home_55_to_59_years","means_of_transportation_to_work_by_age"
