"","tract","county","dataset","estimate_estimate_total","estimate_estimate_total_has_one_or_more_types_of_computing_devices","estimate_estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop","estimate_estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop_desktop_or_laptop_with_no_other_type_of_computing_device","estimate_estimate_total_has_one_or_more_types_of_computing_devices_smartphone","estimate_estimate_total_has_one_or_more_types_of_computing_devices_smartphone_smartphone_with_no_other_type_of_computing_device","estimate_estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer","estimate_estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer_tablet_or_other_portable_wireless_computer_with_no_other_type_of_computing_device","estimate_estimate_total_has_one_or_more_types_of_computing_devices_other_computer","estimate_estimate_total_has_one_or_more_types_of_computing_devices_other_computer_other_computer_with_no_other_type_of_computing_device","estimate_estimate_total_no_computer","moe_estimate_total","moe_estimate_total_has_one_or_more_types_of_computing_devices","moe_estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop","moe_estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop_desktop_or_laptop_with_no_other_type_of_computing_device","moe_estimate_total_has_one_or_more_types_of_computing_devices_smartphone","moe_estimate_total_has_one_or_more_types_of_computing_devices_smartphone_smartphone_with_no_other_type_of_computing_device","moe_estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer","moe_estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer_tablet_or_other_portable_wireless_computer_with_no_other_type_of_computing_device","moe_estimate_total_has_one_or_more_types_of_computing_devices_other_computer","moe_estimate_total_has_one_or_more_types_of_computing_devices_other_computer_other_computer_with_no_other_type_of_computing_device","moe_estimate_total_no_computer"
"1",9501,"adams","types_of_computers_in_household",1099,1023,754,88,867,153,604,20,17,0,76,100,99,106,28,105,47,103,15,14,13,29
"2",102.01,"spokane","types_of_computers_in_household",1858,1723,1538,93,1574,114,922,0,65,0,135,412,408,425,56,407,81,143,13,62,13,85
"3",9502,"adams","types_of_computers_in_household",612,548,448,21,503,68,327,4,17,0,64,97,96,97,12,94,34,53,5,14,13,32
"4",102.03,"spokane","types_of_computers_in_household",1449,1449,1396,22,1427,36,1182,0,32,0,0,99,99,118,33,100,56,120,13,41,13,13
"5",9503.01,"adams","types_of_computers_in_household",501,318,242,17,301,76,190,0,3,0,183,92,77,72,22,81,49,77,13,6,13,102
"6",102.04,"spokane","types_of_computers_in_household",974,939,822,79,787,97,640,0,47,0,35,125,127,104,77,149,113,133,13,58,13,38
"7",9503.02,"adams","types_of_computers_in_household",621,566,305,0,554,132,377,0,8,0,55,123,124,104,13,123,114,91,13,13,13,48
"8",103.01,"spokane","types_of_computers_in_household",1987,1833,1452,104,1667,297,1124,0,15,0,154,195,183,158,61,183,142,135,13,16,13,79
"9",9503.03,"adams","types_of_computers_in_household",632,608,396,6,581,97,305,0,31,0,24,122,119,104,11,122,89,115,13,36,13,28
"10",103.03,"spokane","types_of_computers_in_household",1236,1210,1091,64,1082,57,779,27,23,0,26,153,163,178,40,163,46,142,42,24,13,40
"11",9504,"adams","types_of_computers_in_household",876,713,455,46,639,187,429,28,10,0,163,111,115,108,29,116,89,110,28,11,13,84
"12",103.04,"spokane","types_of_computers_in_household",2257,2074,1717,114,1873,258,1299,29,0,0,183,212,216,274,72,220,158,253,37,18,18,126
"13",9505,"adams","types_of_computers_in_household",1694,1519,807,25,1483,461,790,0,17,0,175,159,178,144,29,177,194,190,18,29,18,96
"14",103.05,"spokane","types_of_computers_in_household",2644,2604,2517,113,2427,17,2204,0,54,0,40,516,515,519,142,507,27,504,18,52,18,41
"15",9601,"asotin","types_of_computers_in_household",1782,1664,1497,150,1401,81,1121,50,99,0,118,199,191,190,65,183,44,205,36,85,13,55
"16",104.01,"spokane","types_of_computers_in_household",1752,1636,1300,44,1528,241,1099,17,25,0,116,153,153,143,27,145,99,162,26,23,18,62
"17",9602,"asotin","types_of_computers_in_household",2014,1872,1679,81,1679,101,1463,0,14,0,142,147,151,183,51,172,86,165,13,22,13,82
"18",104.03,"spokane","types_of_computers_in_household",1222,1148,1007,65,1003,123,689,7,0,0,74,194,189,216,59,185,93,151,10,13,13,63
"19",9603,"asotin","types_of_computers_in_household",1364,1279,977,59,1193,207,787,0,34,0,85,145,142,157,43,145,79,146,13,39,13,47
"20",104.04,"spokane","types_of_computers_in_household",1259,1157,1030,153,983,105,734,0,0,0,102,135,137,130,89,142,96,145,13,13,13,69
"21",9604,"asotin","types_of_computers_in_household",994,941,750,109,715,111,581,16,20,0,53,133,136,124,41,103,53,138,19,19,13,36
"22",105.04,"spokane","types_of_computers_in_household",1328,1307,1216,71,1171,38,1009,0,27,0,21,111,111,110,40,125,30,77,13,24,13,23
"23",9605,"asotin","types_of_computers_in_household",1526,1345,1157,96,1163,141,737,39,15,0,181,126,130,128,48,124,86,131,38,19,13,77
"24",105.05,"spokane","types_of_computers_in_household",1241,1241,1150,83,1158,72,963,0,26,0,0,172,172,177,90,154,83,169,13,31,13,13
"25",9606,"asotin","types_of_computers_in_household",1606,1542,1347,163,1333,84,915,37,22,0,64,157,167,171,69,172,47,174,39,26,13,45
