"estimate","moe","variable","dataset"
171599,1280,"estimate_total","types_of_computers_in_household"
160060,1360,"estimate_total_has_one_or_more_types_of_computing_devices","types_of_computers_in_household"
138410,1586,"estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop","types_of_computers_in_household"
9045,672,"estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop_desktop_or_laptop_with_no_other_type_of_computing_device","types_of_computers_in_household"
145238,1395,"estimate_total_has_one_or_more_types_of_computing_devices_smartphone","types_of_computers_in_household"
12034,954,"estimate_total_has_one_or_more_types_of_computing_devices_smartphone_smartphone_with_no_other_type_of_computing_device","types_of_computers_in_household"
107087,2123,"estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer","types_of_computers_in_household"
1749,303,"estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer_tablet_or_other_portable_wireless_computer_with_no_other_type_of_computing_device","types_of_computers_in_household"
3206,435,"estimate_total_has_one_or_more_types_of_computing_devices_other_computer","types_of_computers_in_household"
49,39,"estimate_total_has_one_or_more_types_of_computing_devices_other_computer_other_computer_with_no_other_type_of_computing_device","types_of_computers_in_household"
11539,799,"estimate_total_no_computer","types_of_computers_in_household"
