"Label (Grouping)","Spokane County, Washington!!Occupied housing units!!Estimate","Spokane County, Washington!!Occupied housing units!!Margin of Error","Spokane County, Washington!!Percent occupied housing units!!Estimate","Spokane County, Washington!!Percent occupied housing units!!Margin of Error","Spokane County, Washington!!Owner-occupied housing units!!Estimate","Spokane County, Washington!!Owner-occupied housing units!!Margin of Error","Spokane County, Washington!!Percent owner-occupied housing units!!Estimate","Spokane County, Washington!!Percent owner-occupied housing units!!Margin of Error","Spokane County, Washington!!Renter-occupied housing units!!Estimate","Spokane County, Washington!!Renter-occupied housing units!!Margin of Error","Spokane County, Washington!!Percent renter-occupied housing units!!Estimate","Spokane County, Washington!!Percent renter-occupied housing units!!Margin of Error","Spokane city, Washington!!Occupied housing units!!Estimate","Spokane city, Washington!!Occupied housing units!!Margin of Error","Spokane city, Washington!!Percent occupied housing units!!Estimate","Spokane city, Washington!!Percent occupied housing units!!Margin of Error","Spokane city, Washington!!Owner-occupied housing units!!Estimate","Spokane city, Washington!!Owner-occupied housing units!!Margin of Error","Spokane city, Washington!!Percent owner-occupied housing units!!Estimate","Spokane city, Washington!!Percent owner-occupied housing units!!Margin of Error","Spokane city, Washington!!Renter-occupied housing units!!Estimate","Spokane city, Washington!!Renter-occupied housing units!!Margin of Error","Spokane city, Washington!!Percent renter-occupied housing units!!Estimate","Spokane city, Washington!!Percent renter-occupied housing units!!Margin of Error","Spokane-Spokane Valley, WA Metro Area!!Occupied housing units!!Estimate","Spokane-Spokane Valley, WA Metro Area!!Occupied housing units!!Margin of Error","Spokane-Spokane Valley, WA Metro Area!!Percent occupied housing units!!Estimate","Spokane-Spokane Valley, WA Metro Area!!Percent occupied housing units!!Margin of Error","Spokane-Spokane Valley, WA Metro Area!!Owner-occupied housing units!!Estimate","Spokane-Spokane Valley, WA Metro Area!!Owner-occupied housing units!!Margin of Error","Spokane-Spokane Valley, WA Metro Area!!Percent owner-occupied housing units!!Estimate","Spokane-Spokane Valley, WA Metro Area!!Percent owner-occupied housing units!!Margin of Error","Spokane-Spokane Valley, WA Metro Area!!Renter-occupied housing units!!Estimate","Spokane-Spokane Valley, WA Metro Area!!Renter-occupied housing units!!Margin of Error","Spokane-Spokane Valley, WA Metro Area!!Percent renter-occupied housing units!!Estimate","Spokane-Spokane Valley, WA Metro Area!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","217,920","±2,165","217,920","±2,165","139,919","±3,977","139,919","±3,977","78,001","±3,796","78,001","±3,796","94,748","±2,708","94,748","±2,708","54,499","±3,068","54,499","±3,068","40,249","±3,032","40,249","±3,032","237,024","±2,375","237,024","±2,375","155,796","±4,029","155,796","±4,029","81,228","±3,869","81,228","±3,869"
"    HOUSEHOLD SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1-person household","65,562","±4,117","30.1%","±1.9","32,361","±2,964","23.1%","±2.0","33,201","±2,702","42.6%","±3.1","33,675","±3,005","35.5%","±2.6","14,279","±1,944","26.2%","±3.0","19,396","±2,316","48.2%","±4.6","71,642","±4,227","30.2%","±1.7","37,381","±3,196","24.0%","±1.9","34,261","±2,740","42.2%","±3.0"
"        2-person household","77,090","±4,025","35.4%","±1.8","55,467","±3,263","39.6%","±2.2","21,623","±2,777","27.7%","±3.0","31,118","±2,756","32.8%","±2.8","20,439","±2,123","37.5%","±3.6","10,679","±1,733","26.5%","±3.5","84,094","±4,030","35.5%","±1.7","61,323","±3,163","39.4%","±2.0","22,771","±2,697","28.0%","±2.9"
"        3-person household","31,991","±3,452","14.7%","±1.6","21,346","±2,660","15.3%","±1.8","10,645","±2,015","13.6%","±2.5","13,184","±1,860","13.9%","±1.9","9,162","±1,817","16.8%","±3.0","4,022","±1,067","10.0%","±2.6","34,296","±3,492","14.5%","±1.5","23,351","±2,653","15.0%","±1.7","10,945","±2,007","13.5%","±2.4"
"        4-or-more-person household","43,277","±3,334","19.9%","±1.5","30,745","±2,858","22.0%","±1.9","12,532","±2,002","16.1%","±2.4","16,771","±1,872","17.7%","±2.1","10,619","±1,461","19.5%","±2.7","6,152","±1,405","15.3%","±3.4","46,992","±3,342","19.8%","±1.4","33,741","±2,914","21.7%","±1.7","13,251","±2,128","16.3%","±2.5"
"    OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1.00 or less occupants per room","211,552","±2,653","97.1%","±0.7","137,695","±4,079","98.4%","±0.6","73,857","±3,874","94.7%","±1.5","91,839","±2,964","96.9%","±1.0","53,579","±3,125","98.3%","±0.9","38,260","±3,042","95.1%","±1.9","229,779","±2,960","96.9%","±0.7","152,984","±4,231","98.2%","±0.6","76,795","±3,911","94.5%","±1.5"
"        1.01 to 1.50 occupants per room","4,020","±1,088","1.8%","±0.5","1,808","±770","1.3%","±0.6","2,212","±797","2.8%","±1.0","2,137","±765","2.3%","±0.8","800","±449","1.5%","±0.8","1,337","±634","3.3%","±1.6","4,718","±1,265","2.0%","±0.5","2,239","±795","1.4%","±0.5","2,479","±895","3.1%","±1.1"
"        1.51 or more occupants per room","2,348","±974","1.1%","±0.4","416","±331","0.3%","±0.2","1,932","±917","2.5%","±1.2","772","±509","0.8%","±0.5","120","±143","0.2%","±0.3","652","±464","1.6%","±1.1","2,527","±969","1.1%","±0.4","573","±357","0.4%","±0.2","1,954","±916","2.4%","±1.1"
"    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
