NAME,GEOID,tract,has_computer,no_computer,with_internet,no_internet,total_population,work_from_home,65_and_older,median_income
"Census Tract 9601, Asotin County, Washington",53003960100,960100,1664.0,118.0,1569.0,183.0,4320.0,145.0,1337.0,73942.0
"Census Tract 9602, Asotin County, Washington",53003960200,960200,1872.0,142.0,1780.0,222.0,4755.0,421.0,1352.0,72988.0
"Census Tract 9603, Asotin County, Washington",53003960300,960300,1279.0,85.0,1156.0,192.0,3633.0,6.0,396.0,38077.0
"Census Tract 9604, Asotin County, Washington",53003960400,960400,941.0,53.0,805.0,180.0,2517.0,29.0,647.0,38777.0
"Census Tract 9605, Asotin County, Washington",53003960500,960500,1345.0,181.0,1198.0,304.0,3517.0,26.0,635.0,42639.0
"Census Tract 9606, Asotin County, Washington",53003960600,960600,1542.0,64.0,1392.0,203.0,3894.0,115.0,909.0,53947.0
"Census Tract 2.01, Spokane County, Washington",53063000201,000201,1179.0,116.0,1179.0,109.0,2774.0,0.0,334.0,36981.0
"Census Tract 2.02, Spokane County, Washington",53063000202,000202,570.0,46.0,515.0,92.0,1383.0,15.0,97.0,40476.0
"Census Tract 3.01, Spokane County, Washington",53063000301,000301,1026.0,69.0,975.0,93.0,2564.0,130.0,302.0,35778.0
"Census Tract 3.02, Spokane County, Washington",53063000302,000302,946.0,89.0,878.0,91.0,2760.0,12.0,313.0,41271.0
"Census Tract 4, Spokane County, Washington",53063000400,000400,1488.0,150.0,1451.0,145.0,3853.0,173.0,507.0,43889.0
"Census Tract 5, Spokane County, Washington",53063000500,000500,1368.0,79.0,1344.0,94.0,3522.0,70.0,471.0,53932.0
"Census Tract 6, Spokane County, Washington",53063000600,000600,1267.0,19.0,1224.0,40.0,3246.0,100.0,339.0,65545.0
"Census Tract 7, Spokane County, Washington",53063000700,000700,2134.0,97.0,1974.0,177.0,5244.0,79.0,649.0,53867.0
"Census Tract 8, Spokane County, Washington",53063000800,000800,1837.0,118.0,1770.0,135.0,5281.0,205.0,1370.0,73271.0
"Census Tract 9, Spokane County, Washington",53063000900,000900,2177.0,191.0,2071.0,284.0,6172.0,299.0,920.0,63149.0
"Census Tract 10, Spokane County, Washington",53063001000,001000,2127.0,182.0,2014.0,295.0,5518.0,50.0,890.0,61536.0
"Census Tract 11, Spokane County, Washington",53063001100,001100,1311.0,100.0,1349.0,62.0,3444.0,161.0,526.0,68102.0
"Census Tract 12, Spokane County, Washington",53063001200,001200,933.0,56.0,906.0,65.0,2476.0,162.0,296.0,49828.0
"Census Tract 13, Spokane County, Washington",53063001300,001300,1420.0,101.0,1361.0,130.0,3424.0,96.0,388.0,46209.0
