NAME,GEOID,has_computer,no_computer,with_internet,no_internet,total_population,work_from_home,65_and_older,median_income,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms
"Census Tract 9601, Asotin County, Washington",53003960100,1664.0,118.0,1569.0,183.0,4320.0,145.0,1337.0,73942.0,12.0,58.0,110.327408906883,41.7821012145749,0.0517044534412955
"Census Tract 9602, Asotin County, Washington",53003960200,1872.0,142.0,1780.0,222.0,4755.0,421.0,1352.0,72988.0,13.0,60.0769230769231,145.784802768166,22.8873079584775,0.0246262975778547
"Census Tract 9603, Asotin County, Washington",53003960300,1279.0,85.0,1156.0,192.0,3633.0,6.0,396.0,38077.0,11.0,60.0,173.40786407767,27.0620194174757,0.0299805825242718
"Census Tract 9604, Asotin County, Washington",53003960400,941.0,53.0,805.0,180.0,2517.0,29.0,647.0,38777.0,8.0,62.5,127.600456896552,23.5382931034483,0.0221637931034483
"Census Tract 9605, Asotin County, Washington",53003960500,1345.0,181.0,1198.0,304.0,3517.0,26.0,635.0,42639.0,8.0,62.5,192.429947826087,21.685652173913,0.0216608695652174
"Census Tract 9606, Asotin County, Washington",53003960600,1542.0,64.0,1392.0,203.0,3894.0,115.0,909.0,53947.0,9.0,58.8888888888889,151.055206185567,23.5212319587629,0.0261855670103093
"Census Tract 2.01, Spokane County, Washington",53063000201,1179.0,116.0,1179.0,109.0,2774.0,0.0,334.0,36981.0,7.0,62.7142857142857,268.822450704225,22.4661971830986,0.0144366197183099
"Census Tract 2.02, Spokane County, Washington",53063000202,570.0,46.0,515.0,92.0,1383.0,15.0,97.0,40476.0,8.0,61.125,304.695,73.5263235294118,0.0101764705882353
"Census Tract 3.01, Spokane County, Washington",53063000301,1026.0,69.0,975.0,93.0,2564.0,130.0,302.0,35778.0,8.0,61.125,267.851379310345,23.1526724137931,0.0142241379310345
"Census Tract 3.02, Spokane County, Washington",53063000302,946.0,89.0,878.0,91.0,2760.0,12.0,313.0,41271.0,8.0,61.125,287.044822222222,48.7061851851852,0.0126740740740741
"Census Tract 4, Spokane County, Washington",53063000400,1488.0,150.0,1451.0,145.0,3853.0,173.0,507.0,43889.0,9.0,57.6666666666667,260.232245535714,44.6226741071429,0.0123035714285714
"Census Tract 5, Spokane County, Washington",53063000500,1368.0,79.0,1344.0,94.0,3522.0,70.0,471.0,53932.0,9.0,57.6666666666667,246.0845875,57.6012125,0.0118875
"Census Tract 6, Spokane County, Washington",53063000600,1267.0,19.0,1224.0,40.0,3246.0,100.0,339.0,65545.0,8.0,61.125,274.087779661017,32.761656779661,0.0157076271186441
"Census Tract 7, Spokane County, Washington",53063000700,2134.0,97.0,1974.0,177.0,5244.0,79.0,649.0,53867.0,8.0,61.125,320.686944223108,62.2503147410359,0.0135258964143426
"Census Tract 8, Spokane County, Washington",53063000800,1837.0,118.0,1770.0,135.0,5281.0,205.0,1370.0,73271.0,8.0,61.125,259.059032397408,70.1117796976242,0.0180453563714903
"Census Tract 9, Spokane County, Washington",53063000900,2177.0,191.0,2071.0,284.0,6172.0,299.0,920.0,63149.0,8.0,61.125,278.534296195652,68.795027173913,0.0156929347826087
"Census Tract 10, Spokane County, Washington",53063001000,2127.0,182.0,2014.0,295.0,5518.0,50.0,890.0,61536.0,8.0,61.125,264.380339901478,70.466618226601,0.0127832512315271
"Census Tract 11, Spokane County, Washington",53063001100,1311.0,100.0,1349.0,62.0,3444.0,161.0,526.0,68102.0,8.0,61.125,280.185668789809,67.477127388535,0.0130891719745223
"Census Tract 12, Spokane County, Washington",53063001200,933.0,56.0,906.0,65.0,2476.0,162.0,296.0,49828.0,8.0,61.125,240.838968944099,41.9755279503106,0.0128695652173913
"Census Tract 13, Spokane County, Washington",53063001300,1420.0,101.0,1361.0,130.0,3424.0,96.0,388.0,46209.0,9.0,57.6666666666667,268.635861538462,28.0627923076923,0.0125538461538462
"Census Tract 14, Spokane County, Washington",53063001400,2321.0,94.0,2226.0,177.0,6202.0,87.0,529.0,40786.0,9.0,57.6666666666667,294.357275303644,73.0917004048583,0.0115668016194332
"Census Tract 15, Spokane County, Washington",53063001500,2096.0,299.0,1928.0,467.0,5777.0,128.0,777.0,49783.0,8.0,61.125,262.531079365079,98.8584338624339,0.0124867724867725
"Census Tract 16, Spokane County, Washington",53063001600,1175.0,179.0,1105.0,231.0,3344.0,49.0,358.0,36096.0,8.0,61.125,289.637380952381,87.2321142857143,0.0129238095238095
"Census Tract 18, Spokane County, Washington",53063001800,1087.0,288.0,1018.0,251.0,2903.0,123.0,618.0,41358.0,8.0,61.125,250.66475,65.7410642857143,0.0122714285714286
"Census Tract 19, Spokane County, Washington",53063001900,1379.0,98.0,1321.0,132.0,3652.0,152.0,398.0,49425.0,8.0,61.125,245.447686567164,64.7450373134328,0.0184477611940299
"Census Tract 20, Spokane County, Washington",53063002000,1600.0,107.0,1515.0,100.0,4072.0,73.0,423.0,33374.0,8.0,61.125,264.667534351145,90.5602213740458,0.0114045801526718
"Census Tract 21, Spokane County, Washington",53063002100,1081.0,44.0,1061.0,44.0,2606.0,105.0,281.0,63531.0,8.0,61.125,256.564538071066,72.8823705583756,0.0111827411167513
