Tract number,Total households,    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),"        Less than $20,000:",            With a broadband Internet subscription,            Without an Internet subscription,"        $20,000 to $74,999:",            With a broadband Internet subscription,            Without an Internet subscription,"        $75,000 or more:",            With a broadband Internet subscription,            Without an Internet subscription,    EDUCATIONAL ATTAINMENT,        Household population 25 years and over,            Less than high school graduate or equivalency,"            High school graduate (includes equivalency), some college or associate's degree",            Bachelor's degree or higher,    EMPLOYMENT STATUS,        Civilian population 16 years and over,            In labor force,                Employed,                Unemployed,            Not in labor force,SCHOOL ENROLLMENT,Population 3 years and over enrolled in school,"    Nursery school, preschool",    Kindergarten to 12th grade,        Kindergarten,        Elementary: grade 1 to grade 4,        Elementary: grade 5 to grade 8,        High school: grade 9 to grade 12,"    College, undergraduate","    Graduate, professional school"
2.01,"1,295",,329,246,83,712,679,33,254,254,0,,"2,040",210,"1,641",189,,"2,308","1,490","1,369",121,818,,479,0,356,21,66,112,157,90,33
2.02,616,,154,108,46,406,351,55,56,56,0,,841,67,660,114,,"1,087",709,629,80,378,,338,1,184,20,56,59,49,124,29
3.01,"1,095",,275,250,25,709,614,95,111,111,0,,"1,749",187,"1,402",160,,"2,038","1,284","1,225",59,754,,717,0,570,82,130,169,189,126,21
3.02,"1,035",,226,202,24,650,529,121,159,147,12,,"1,759",289,"1,274",196,,"1,967","1,359","1,305",54,608,,833,49,547,0,347,58,142,219,18
4,"1,638",,256,159,97,"1,090","1,000",90,292,292,0,,"2,467",216,"1,959",292,,"2,895","1,971","1,722",249,924,,776,103,552,57,146,194,155,98,23
5,"1,447",,141,101,40,892,829,63,414,414,0,,"2,340",186,"1,722",432,,"2,626","1,845","1,741",104,781,,820,92,618,45,170,292,111,69,41
6,"1,286",,126,106,20,634,614,20,526,504,22,,"2,273",127,"1,605",541,,"2,516","1,861","1,758",103,655,,646,19,511,61,227,166,57,79,37
7,"2,231",,260,213,47,"1,360","1,192",168,611,569,42,,"3,605",202,"2,567",836,,"4,360","3,107","2,794",313,"1,253",,"1,142",51,718,0,76,370,272,167,206
8,"1,955",,131,90,41,879,730,140,945,941,4,,"3,724",123,"2,110","1,491",,"4,136","2,350","2,252",98,"1,786",,"1,215",57,934,54,267,362,251,179,45
9,"2,368",,276,149,127,"1,231","1,097",123,861,814,47,,"4,131",289,"2,775","1,067",,"4,598","2,968","2,860",108,"1,630",,"1,501",83,"1,167",52,360,433,322,236,15
10,"2,309",,107,57,50,"1,217","1,054",163,985,903,82,,"3,964",353,"2,328","1,283",,"4,205","2,717","2,660",57,"1,488",,"1,151",155,836,12,79,318,427,109,51
11,"1,411",,42,32,10,767,721,46,602,596,6,,"2,414",56,"1,375",983,,"2,618","1,748","1,697",51,870,,705,24,550,15,189,146,200,82,49
12,989,,80,57,23,632,572,60,277,277,0,,"1,633",80,"1,231",322,,"1,967","1,301","1,222",79,666,,466,38,267,30,75,79,83,111,50
13,"1,521",,294,183,111,829,805,24,398,373,25,,"2,413",212,"1,765",436,,"2,835","1,961","1,887",74,874,,739,38,433,18,222,78,115,218,50
14,"2,415",,341,259,82,"1,693","1,585",97,381,371,10,,"4,011",459,"2,708",844,,"4,629","3,151","2,836",315,"1,478",,"2,052",138,"1,428",113,514,458,343,439,47
15,"2,395",,292,181,111,"1,612","1,277",335,491,470,21,,"3,999",504,"2,809",686,,"4,612","2,774","2,643",131,"1,838",,"1,466",112,"1,122",14,313,402,393,149,83
16,"1,354",,354,220,134,628,513,115,372,372,0,,"2,089",305,"1,598",186,,"2,489","1,415","1,343",72,"1,074",,763,36,662,36,223,214,189,65,0
18,"1,375",,340,174,166,705,521,179,330,318,12,,"2,001",175,"1,225",601,,"2,240","1,251","1,248",3,989,,529,13,424,29,75,207,113,71,21
19,"1,477",,257,223,34,777,655,117,443,438,5,,"2,477",174,"1,581",722,,"2,782","1,911","1,690",221,871,,797,67,535,102,151,149,133,80,115
20,"1,707",,441,342,81,993,890,103,273,265,8,,"2,776",245,"2,084",447,,"3,174","1,971","1,738",233,"1,203",,"1,034",16,787,59,254,291,183,187,44
21,"1,125",,123,76,18,544,498,46,458,458,0,,"1,918",129,"1,426",363,,"2,181","1,566","1,402",164,615,,463,28,279,0,65,98,116,145,11
23,"2,182",,610,422,188,869,796,73,703,634,69,,"3,550",274,"2,175","1,101",,"4,093","2,398","2,297",101,"1,695",,750,69,610,51,183,216,160,71,0
24,"1,152",,464,295,169,536,476,60,152,144,8,,"1,377",50,921,406,,"1,596",954,913,41,642,,556,38,304,38,92,63,111,115,99
25.01,"1,111",,319,299,20,576,534,42,216,216,0,,"1,254",64,945,245,,"2,540","1,546","1,456",90,994,,"1,505",93,352,96,103,111,42,"1,019",41
25.02,"1,014",,257,180,77,654,547,107,103,0,103,,"1,587",146,"1,159",282,,"2,219","1,308","1,221",87,911,,920,0,124,0,63,6,55,735,61
