"NAME","GEOID","has_computer","mean_u_mbps","final_index"
"Census Tract 9601, Asotin County, Washington",53003960100,1664,41.7821012145749,6567.40993684487
"Census Tract 9602, Asotin County, Washington",53003960200,1872,22.8873079584775,7362.30111320679
"Census Tract 9603, Asotin County, Washington",53003960300,1279,27.0620194174757,5042.45234395399
"Census Tract 9604, Asotin County, Washington",53003960400,941,23.5382931034483,3713.80507671503
"Census Tract 9605, Asotin County, Washington",53003960500,1345,21.685652173913,5295.34574710788
"Census Tract 9606, Asotin County, Washington",53003960600,1542,23.5212319587629,6069.49929755848
"Census Tract 2.01, Spokane County, Washington",53063000201,1179,22.4661971830986,4645.52562532459
"Census Tract 2.02, Spokane County, Washington",53063000202,570,73.5263235294118,2313.57550097914
"Census Tract 3.01, Spokane County, Washington",53063000301,1026,23.1526724137931,4046.55946921753
"Census Tract 3.02, Spokane County, Washington",53063000302,946,48.7061851851852,3760.57226236925
"Census Tract 4, Spokane County, Washington",53063000400,1488,44.6226741071429,5880.6170794571
"Census Tract 5, Spokane County, Washington",53063000500,1368,57.6012125,5424.26890328395
"Census Tract 6, Spokane County, Washington",53063000600,1267,32.761656779661,5001.56928160764
"Census Tract 7, Spokane County, Washington",53063000700,2134,62.2503147410359,8431.74334972013
"Census Tract 8, Spokane County, Washington",53063000800,1837,70.1117796976242,7276.092327816
"Census Tract 9, Spokane County, Washington",53063000900,2177,68.795027173913,8607.3535751509
"Census Tract 10, Spokane County, Washington",53063001000,2127,70.466618226601,8413.17532044452
"Census Tract 11, Spokane County, Washington",53063001100,1311,67.477127388535,5211.50968718856
"Census Tract 12, Spokane County, Washington",53063001200,933,41.9755279503106,3702.35095743384
"Census Tract 13, Spokane County, Washington",53063001300,1420,28.0627923076923,5596.20403622092
"Census Tract 14, Spokane County, Washington",53063001400,2321,73.0917004048583,9176.4221791846
"Census Tract 15, Spokane County, Washington",53063001500,2096,98.8584338624339,8322.31517450744
"Census Tract 16, Spokane County, Washington",53063001600,1175,87.2321142857143,4699.76225373569
"Census Tract 18, Spokane County, Washington",53063001800,1087,65.7410642857143,4331.63288141634
"Census Tract 19, Spokane County, Washington",53063001900,1379,64.7450373134328,5475.0969154874
"Census Tract 20, Spokane County, Washington",53063002000,1600,90.5602213740458,6369.2083312956
"Census Tract 21, Spokane County, Washington",53063002100,1081,72.8823705583756,4315.82404030559
"Census Tract 23, Spokane County, Washington",53063002300,1913,61.5538093645485,7564.74771850605
"Census Tract 24, Spokane County, Washington",53063002400,984,48.7642670807453,3909.58185112534
"Census Tract 25.01, Spokane County, Washington",53063002501,1096,90.2264819277109,4393.34195115797
"Census Tract 25.02, Spokane County, Washington",53063002502,828,76.3932291666667,3327.94132802825
"Census Tract 25.03, Spokane County, Washington",53063002503,186,40.7227,773.01625668639
"Census Tract 26, Spokane County, Washington",53063002600,2024,18.6947196261682,7953.562741386
"Census Tract 29, Spokane County, Washington",53063002900,1177,27.6603594202899,4643.29344886549
"Census Tract 30, Spokane County, Washington",53063003000,853,25.3243952380952,3370.80354854643
"Census Tract 31, Spokane County, Washington",53063003100,2066,69.8927155172414,8173.45683524209
"Census Tract 32, Spokane County, Washington",53063003200,1416,34.2112578947368,5587.16272677787
"Census Tract 35, Spokane County, Washington",53063003500,1462,38.8275833333333,5772.45021024142
"Census Tract 36.01, Spokane County, Washington",53063003601,1138,35.1261465968586,4498.48627300678
"Census Tract 36.02, Spokane County, Washington",53063003602,1533,25.1263793103448,6035.95517029656
"Census Tract 38, Spokane County, Washington",53063003800,854,14.3519439252336,3362.87836764954
"Census Tract 39, Spokane County, Washington",53063003900,951,26.0906214689266,3755.75688228127
"Census Tract 40.01, Spokane County, Washington",53063004001,1312,69.9535407407407,5218.10264722892
"Census Tract 40.02, Spokane County, Washington",53063004002,1257,63.7494205607477,4995.82423378331
"Census Tract 41, Spokane County, Washington",53063004100,1030,28.2376165048544,4067.72732086128
"Census Tract 42, Spokane County, Washington",53063004200,1865,67.1584474393531,7382.65452477285
"Census Tract 43, Spokane County, Washington",53063004300,1423,30.7569350649351,5610.87134658082
"Census Tract 44, Spokane County, Washington",53063004400,2038,37.7587927170868,8029.01770765018
"Census Tract 45, Spokane County, Washington",53063004500,1486,69.2099125,5899.3198606949
"Census Tract 46.01, Spokane County, Washington",53063004601,1744,22.6198215384615,6860.29652331745
"Census Tract 46.02, Spokane County, Washington",53063004602,1156,34.649375,4568.52538432791
"Census Tract 47.01, Spokane County, Washington",53063004701,1077,20.0726299212598,4243.13694598134
"Census Tract 47.02, Spokane County, Washington",53063004702,1566,18.4666810126582,6158.11459475123
"Census Tract 48, Spokane County, Washington",53063004800,1981,19.3884885057471,7785.76650579622
"Census Tract 49, Spokane County, Washington",53063004900,2255,27.639507751938,8868.65899968959
"Census Tract 50, Spokane County, Washington",53063005000,1782,20.5530039840637,7007.01226865551
"Census Tract 101.01, Spokane County, Washington",53063010101,1334,17.7399156355456,5247.97009296316
"Census Tract 101.02, Spokane County, Washington",53063010102,980,8.83357550335571,3850.79777791428
"Census Tract 102.01, Spokane County, Washington",53063010201,1723,6.83800710227273,6760.94719280227
"Census Tract 102.03, Spokane County, Washington",53063010203,1449,11.8906777777778,5692.41612272262
"Census Tract 102.04, Spokane County, Washington",53063010204,939,8.92951643192488,3690.19549292763
"Census Tract 103.01, Spokane County, Washington",53063010301,1833,22.8455021834061,7209.38943966104
"Census Tract 103.03, Spokane County, Washington",53063010303,1210,5.98401636661211,4749.24230310465
"Census Tract 103.04, Spokane County, Washington",53063010304,2074,7.36162137203166,8137.3113333134
"Census Tract 103.05, Spokane County, Washington",53063010305,2604,12.2178503937008,10219.9708010118
"Census Tract 104.01, Spokane County, Washington",53063010401,1636,28.0375280528053,6442.82223734322
"Census Tract 104.03, Spokane County, Washington",53063010403,1148,8.55056368563686,4508.99430010888
"Census Tract 104.04, Spokane County, Washington",53063010404,1157,6.0406473880597,4541.56172313586
"Census Tract 105.04, Spokane County, Washington",53063010504,1307,16.5440995475113,5140.84851710037
"Census Tract 105.05, Spokane County, Washington",53063010505,1241,21.5205681063123,4887.52342059462
"Census Tract 105.06, Spokane County, Washington",53063010506,2264,19.8465887323944,8895.52338532275
"Census Tract 105.07, Spokane County, Washington",53063010507,1590,25.8690481283422,6260.17721977191
"Census Tract 105.08, Spokane County, Washington",53063010508,1313,25.8605846153846,5174.42365597291
"Census Tract 106.01, Spokane County, Washington",53063010601,1291,29.8372838196286,5092.48412043407
"Census Tract 106.03, Spokane County, Washington",53063010603,1884,58.8188227272727,7448.12528761498
"Census Tract 106.04, Spokane County, Washington",53063010604,1273,91.8594577922078,5088.88368984789
"Census Tract 107.01, Spokane County, Washington",53063010701,1447,31.875219047619,5706.15026109074
"Census Tract 107.02, Spokane County, Washington",53063010702,1135,81.241682983683,4536.5093434755
"Census Tract 108, Spokane County, Washington",53063010800,823,41.1929053254438,3270.34406401019
"Census Tract 109.01, Spokane County, Washington",53063010901,803,21.8293823529412,3171.04790972588
"Census Tract 109.02, Spokane County, Washington",53063010902,685,27.9972256410256,2715.18685177937
"Census Tract 110, Spokane County, Washington",53063011000,1388,29.4893088235294,5472.31501138884
"Census Tract 111.02, Spokane County, Washington",53063011102,1627,46.2240612244898,6427.17782892494
"Census Tract 111.03, Spokane County, Washington",53063011103,1422,22.8064563106796,5598.36909568315
"Census Tract 111.04, Spokane County, Washington",53063011104,1164,34.3257272727273,4599.53324418351
"Census Tract 112.02, Spokane County, Washington",53063011202,1527,10.6797632653061,5996.84202011914
"Census Tract 112.03, Spokane County, Washington",53063011203,2321,37.447597826087,9137.94412786148
"Census Tract 112.04, Spokane County, Washington",53063011204,880,42.1568873873874,3494.80502263861
"Census Tract 113.01, Spokane County, Washington",53063011301,1465,20.2834222222222,5764.19062703018
"Census Tract 113.02, Spokane County, Washington",53063011302,1996,28.5805374015748,7854.48420972653
"Census Tract 114, Spokane County, Washington",53063011400,1987,20.6664696132597,7810.66402493449
"Census Tract 115, Spokane County, Washington",53063011500,603,28.7768600823045,2394.61676472081
"Census Tract 116, Spokane County, Washington",53063011600,713,24.7503687943262,2821.43218694531
"Census Tract 117.01, Spokane County, Washington",53063011701,1004,25.8374124293785,3963.22525494163
"Census Tract 117.02, Spokane County, Washington",53063011702,3083,26.0411012269939,12112.4078261874
"Census Tract 118, Spokane County, Washington",53063011800,2470,19.287231884058,9702.36848013058
"Census Tract 119, Spokane County, Washington",53063011900,1873,23.8445623632385,7367.25413082417
"Census Tract 120, Spokane County, Washington",53063012000,1762,16.7320417690418,6924.49441448964
"Census Tract 121, Spokane County, Washington",53063012100,1008,20.1078907563025,3972.71881719109
"Census Tract 122, Spokane County, Washington",53063012200,846,24.6042445054945,3342.58855612191
"Census Tract 123, Spokane County, Washington",53063012300,2246,29.61730523918,8835.51715078533
"Census Tract 124.01, Spokane County, Washington",53063012401,1825,31.2918121827411,7187.15004900996
"Census Tract 124.02, Spokane County, Washington",53063012402,2394,19.9231034482759,9405.16112990273
"Census Tract 125, Spokane County, Washington",53063012500,1221,16.7505324074074,4803.98103514362
"Census Tract 126, Spokane County, Washington",53063012600,1644,27.1485509433962,6473.21982028325
"Census Tract 127.01, Spokane County, Washington",53063012701,1561,25.171712962963,6145.75444751276
"Census Tract 127.02, Spokane County, Washington",53063012702,857,26.8958265895954,3388.17853927529
"Census Tract 128.01, Spokane County, Washington",53063012801,1591,28.3459139784946,6266.77066828688
"Census Tract 128.02, Spokane County, Washington",53063012802,1315,26.3362760180995,5182.77647802461
"Census Tract 129.01, Spokane County, Washington",53063012901,1061,19.3254072847682,4179.61583449994
"Census Tract 129.02, Spokane County, Washington",53063012902,2500,16.7085784946237,9817.17445542133
"Census Tract 130.01, Spokane County, Washington",53063013001,400,14.7431724137931,1583.77734395607
"Census Tract 130.02, Spokane County, Washington",53063013002,1230,32.1770135135135,4855.91092124077
"Census Tract 130.03, Spokane County, Washington",53063013003,2178,43.0145724137931,8583.44305375127
"Census Tract 131.01, Spokane County, Washington",53063013101,3365,21.8779501385042,13213.2563784951
"Census Tract 131.02, Spokane County, Washington",53063013102,1981,31.3096174377224,7798.63544561201
"Census Tract 132.01, Spokane County, Washington",53063013201,2637,33.778875,10372.594687908
"Census Tract 132.03, Spokane County, Washington",53063013203,1049,46.1320340136054,4161.51791082643
"Census Tract 132.04, Spokane County, Washington",53063013204,1550,22.8374300847458,6100.11836856151
"Census Tract 132.05, Spokane County, Washington",53063013205,1211,28.3514590517241,4777.30776468575
"Census Tract 133, Spokane County, Washington",53063013300,1182,9.42366231343284,4643.20508508438
"Census Tract 134.01, Spokane County, Washington",53063013401,2003,19.8425027247956,7872.48902663039
"Census Tract 135.01, Spokane County, Washington",53063013501,633,8.34738972809668,2490.15266160765
"Census Tract 135.02, Spokane County, Washington",53063013502,875,11.4167296137339,3442.02253824582
"Census Tract 135.03, Spokane County, Washington",53063013503,2199,27.5013654188948,8649.00919564157
"Census Tract 136, Spokane County, Washington",53063013600,1897,20.3919,7457.59867764438
"Census Tract 137, Spokane County, Washington",53063013700,1320,22.5866470588235,5198.327002906
"Census Tract 138, Spokane County, Washington",53063013800,813,20.0872735849057,3208.36384117909
"Census Tract 139, Spokane County, Washington",53063013900,2086,10.3148851963746,8187.53526138118
"Census Tract 140.01, Spokane County, Washington",53063014001,1658,82.306271468144,6587.63812460113
"Census Tract 140.02, Spokane County, Washington",53063014002,2469,68.5311365187713,9751.60795535915
"Census Tract 141, Spokane County, Washington",53063014100,2182,22.5251213307241,8577.0031717484
"Census Tract 142, Spokane County, Washington",53063014200,1426,11.25496875,5601.57780613336
"Census Tract 143, Spokane County, Washington",53063014300,1037,9.48297777777778,4074.91914552108
"Census Tract 144, Spokane County, Washington",53063014400,1632,28.8882403100775,6428.06196712483
"Census Tract 145, Spokane County, Washington",53063014500,774,33.390634751773,3069.85836617272
"Census Tract 9410, Stevens County, Washington",53065941000,731,16.1685508474576,2882.72184556967
"Census Tract 9501.01, Stevens County, Washington",53065950101,1591,10.6452213114754,6247.66265008412
"Census Tract 9501.02, Stevens County, Washington",53065950102,1190,10.1085211864407,4675.30163467876
"Census Tract 9502, Stevens County, Washington",53065950200,1308,11.3390777479893,5139.14931561555
"Census Tract 9503, Stevens County, Washington",53065950300,977,14.9731088435374,3845.66648102244
"Census Tract 9505, Stevens County, Washington",53065950500,1048,14.1555210084034,4123.07939243666
"Census Tract 9506, Stevens County, Washington",53065950600,890,11.662896713615,3501.08310189285
"Census Tract 9507, Stevens County, Washington",53065950700,881,11.4665714285714,3465.59427265909
"Census Tract 9508, Stevens County, Washington",53065950800,1234,8.98769857142857,4846.55651782715
"Census Tract 9509, Stevens County, Washington",53065950900,608,8.3584921875,2392.17327247594
