tract,county,total_native,total_foreign_born,moe_total_native,moe_total_foreign_born
9501,adams,2484,122,277,52
9502,adams,1623,140,329,131
9503.01,adams,1064,517,205,222
9503.02,adams,1669,765,388,254
9503.03,adams,1841,673,405,268
9504,adams,2274,870,370,291
9505,adams,3946,1714,466,363
9601,asotin,4159,161,483,123
9602,asotin,4659,96,514,82
9603,asotin,3537,96,334,57
9604,asotin,2448,69,381,40
9605,asotin,3323,194,256,84
9606,asotin,3805,89,419,91
9601,lincoln,1810,42,225,25
9602,lincoln,3190,55,305,36
9603,lincoln,2586,42,231,26
9604,lincoln,2961,46,223,29
9400,ferry,1632,19,152,14
9701,ferry,2975,49,245,34
9702,ferry,2925,43,260,29
9703,garfield,2171,87,46,46
9511,stevens,3566,32,561,25
20,spokane,3923,149,479,85
9513.01,stevens,2822,67,594,51
21,spokane,2521,85,378,65
9513.02,stevens,1415,5,289,9
23,spokane,4725,99,783,74
9514.01,stevens,3753,79,578,77
24,spokane,2891,86,409,72
9514.02,stevens,4092,334,481,160
25.01,spokane,3209,59,801,44
25.02,spokane,2441,151,660,101
25.03,spokane,3051,154,414,72
26,spokane,4215,642,672,377
29,spokane,2915,331,499,167
30,spokane,2235,322,270,109
31,spokane,4538,466,590,249
32,spokane,2605,260,418,143
35,spokane,2569,102,264,62
36.01,spokane,2214,53,448,51
36.02,spokane,2215,122,384,117
38,spokane,1608,137,197,59
39,spokane,2020,133,311,98
40.01,spokane,2358,436,668,257
40.02,spokane,2216,85,345,86
41,spokane,2134,87,264,78
42,spokane,4507,219,494,93
43,spokane,3214,227,313,91
44,spokane,4649,141,723,96
45,spokane,3491,114,462,62
46.01,spokane,3657,219,374,116
46.02,spokane,2898,247,373,150
47.01,spokane,3171,204,864,161
47.02,spokane,3449,296,323,217
48,spokane,3815,268,401,134
49,spokane,5383,325,866,194
50,spokane,4174,221,690,151
101.01,spokane,3495,123,748,93
101.02,spokane,2802,18,622,31
102.01,spokane,4270,62,898,47
102.03,spokane,4222,182,443,161
102.04,spokane,3134,0,565,13
103.01,spokane,4714,93,284,70
103.03,spokane,3365,207,485,150
103.04,spokane,5619,81,696,63
103.05,spokane,7437,169,1332,92
104.01,spokane,7020,655,340,213
104.03,spokane,2969,382,486,272
104.04,spokane,2954,45,402,48
105.04,spokane,3295,72,354,55
105.05,spokane,3512,168,583,118
105.06,spokane,5019,275,687,160
105.07,spokane,3937,123,505,73
105.08,spokane,4177,71,733,51
106.01,spokane,3794,165,552,94
106.03,spokane,4100,175,589,91
106.04,spokane,3351,114,440,105
107.01,spokane,3659,377,489,237
107.02,spokane,3320,366,503,178
108,spokane,2264,49,332,32
109.01,spokane,2153,79,494,41
109.02,spokane,3058,327,405,158
110,spokane,3368,93,452,73
111.02,spokane,4218,185,598,130
111.03,spokane,2452,392,393,222
111.04,spokane,3207,48,665,68
112.02,spokane,3881,158,489,87
112.03,spokane,5020,590,905,297
112.04,spokane,1493,556,355,239
113.01,spokane,3586,188,594,126
113.02,spokane,4762,447,922,234
114,spokane,5068,220,1018,169
115,spokane,1541,100,375,49
116,spokane,1684,58,197,30
117.01,spokane,2157,92,481,74
117.02,spokane,6841,690,847,360
118,spokane,5488,189,1015,113
119,spokane,4858,331,626,205
120,spokane,3891,83,638,63
121,spokane,2477,74,390,58
122,spokane,2247,56,307,36
123,spokane,5716,434,1298,266
124.01,spokane,5731,125,928,65
124.02,spokane,6144,357,412,126
125,spokane,3426,303,498,171
126,spokane,3969,184,579,136
127.01,spokane,3291,444,321,284
127.02,spokane,2776,136,540,154
128.01,spokane,4000,322,445,208
128.02,spokane,3361,314,391,198
129.01,spokane,2858,237,375,127
129.02,spokane,7346,285,1186,229
130.01,spokane,1036,70,247,61
130.02,spokane,2576,233,374,184
130.03,spokane,5942,380,1011,166
131.01,spokane,6480,372,1081,209
131.02,spokane,4896,239,639,194
132.01,spokane,7188,203,692,107
132.03,spokane,2590,83,554,66
132.04,spokane,4727,86,922,74
132.05,spokane,3486,125,1015,137
133,spokane,3289,65,453,49
134.01,spokane,5296,204,596,93
135.01,spokane,1645,116,283,102
135.02,spokane,2181,112,437,135
135.03,spokane,5758,320,708,193
136,spokane,4937,221,641,102
137,spokane,2908,220,357,103
138,spokane,3253,211,437,148
139,spokane,5167,451,470,218
140.01,spokane,5162,164,594,74
140.02,spokane,5621,675,598,349
141,spokane,5679,522,730,400
142,spokane,3461,86,521,53
143,spokane,2865,74,422,51
144,spokane,4212,258,480,149
145,spokane,1907,94,404,60
9410,stevens,2189,14,275,17
9501.01,stevens,4446,150,454,87
9501.02,stevens,2832,141,465,129
9502,stevens,4255,98,510,74
9503,stevens,2690,50,273,39
9505,stevens,2423,87,292,55
9506,stevens,2342,98,311,90
9507,stevens,2333,91,117,65
9508,stevens,3264,52,378,28
9509,stevens,1482,31,156,21
1,whitman,5857,357,522,135
2.01,whitman,3573,721,672,298
2.02,whitman,2195,245,276,233
3,whitman,5336,725,553,201
4,whitman,3882,585,495,239
5,whitman,3570,463,784,150
6.01,whitman,3102,1568,526,370
6.02,whitman,3800,579,717,183
7,whitman,3344,72,335,39
8,whitman,3602,84,400,86
9,whitman,3856,47,310,29
10,whitman,1986,28,249,24
2.01,spokane,2708,66,444,59
2.02,spokane,1325,58,251,59
3.01,spokane,2460,104,424,99
3.02,spokane,2519,241,614,172
4,spokane,3589,264,462,177
5,spokane,3367,155,546,97
6,spokane,3190,56,371,44
7,spokane,5158,86,833,67
8,spokane,5205,76,388,46
9,spokane,6077,95,721,70
10,spokane,5436,82,960,70
11,spokane,3326,118,514,82
12,spokane,2354,122,311,62
13,spokane,3340,84,510,48
14,spokane,5301,901,786,452
15,spokane,5711,66,723,56
16,spokane,2779,565,369,390
18,spokane,2636,267,424,176
19,spokane,3615,37,530,34
