tract,county,not_citizen,naturalized_citizen,moe_not_citizen,moe_naturalized_citizen
9501,adams,28,94,27,43
9502,adams,132,8,132,7
9503.01,adams,486,31,226,35
9503.02,adams,571,194,274,101
9503.03,adams,545,128,228,82
9504,adams,729,141,268,68
9505,adams,1266,448,374,181
9601,asotin,142,19,122,21
9602,asotin,22,74,37,69
9603,asotin,70,26,44,25
9604,asotin,36,33,27,32
9605,asotin,137,57,81,52
9606,asotin,56,33,86,32
9400,ferry,5,14,7,10
9701,ferry,39,10,31,13
9702,ferry,2,41,4,28
9703,garfield,83,4,43,6
9601,lincoln,20,22,16,16
9602,lincoln,32,23,31,18
9603,lincoln,22,20,17,16
9604,lincoln,11,35,15,25
121,spokane,13,61,16,56
122,spokane,18,38,18,26
123,spokane,210,224,143,196
124.01,spokane,23,102,30,58
124.02,spokane,203,154,119,84
125,spokane,154,149,162,86
126,spokane,10,174,16,134
127.01,spokane,268,176,270,85
127.02,spokane,112,24,151,19
128.01,spokane,172,150,146,87
128.02,spokane,136,178,94,118
129.01,spokane,103,134,79,84
129.02,spokane,90,195,68,173
130.01,spokane,47,23,38,50
130.02,spokane,124,109,118,105
130.03,spokane,23,357,38,165
131.01,spokane,120,252,106,180
131.02,spokane,143,96,172,88
2.01,spokane,13,53,16,53
132.01,spokane,154,49,102,43
2.02,spokane,11,47,19,56
132.03,spokane,9,74,15,57
3.01,spokane,40,64,63,71
132.04,spokane,18,68,31,64
3.02,spokane,186,55,140,78
132.05,spokane,50,75,70,73
4,spokane,233,31,174,38
133,spokane,10,55,14,47
5,spokane,13,142,20,95
134.01,spokane,9,195,14,92
6,spokane,56,0,44,13
135.01,spokane,38,78,35,101
7,spokane,65,21,61,24
135.02,spokane,0,112,13,135
8,spokane,19,57,21,42
135.03,spokane,163,157,165,106
9,spokane,44,51,39,45
136,spokane,93,128,91,75
10,spokane,13,69,23,65
137,spokane,151,69,82,52
11,spokane,37,81,40,70
138,spokane,101,110,104,72
12,spokane,57,65,41,43
139,spokane,138,313,139,183
13,spokane,47,37,41,27
140.01,spokane,107,57,58,37
14,spokane,527,374,430,226
140.02,spokane,476,199,317,116
15,spokane,37,29,46,38
141,spokane,104,418,95,383
16,spokane,373,192,369,101
142,spokane,25,61,29,47
18,spokane,171,96,125,119
143,spokane,55,19,46,20
19,spokane,0,37,13,34
103.01,spokane,45,48,53,47
144,spokane,96,162,105,103
20,spokane,89,60,75,31
103.03,spokane,47,160,51,115
145,spokane,49,45,51,33
21,spokane,48,37,53,31
103.04,spokane,48,33,55,34
9410,stevens,9,5,9,8
23,spokane,33,66,52,52
103.05,spokane,75,94,82,57
9501.01,stevens,63,87,64,58
24,spokane,47,39,65,29
104.01,spokane,318,337,154,138
9501.02,stevens,8,133,13,129
25.01,spokane,45,14,36,24
104.03,spokane,38,344,55,266
9502,stevens,47,51,67,45
25.02,spokane,70,81,77,67
104.04,spokane,21,24,35,33
9503,stevens,18,32,22,31
25.03,spokane,51,103,32,71
105.04,spokane,34,38,40,38
9505,stevens,19,68,24,53
26,spokane,479,163,337,137
105.05,spokane,94,74,110,62
9506,stevens,75,23,67,28
29,spokane,132,199,122,95
105.06,spokane,114,161,104,128
9507,stevens,43,48,56,45
30,spokane,164,158,103,79
105.07,spokane,38,85,45,55
9508,stevens,17,35,13,24
31,spokane,277,189,182,113
105.08,spokane,14,57,22,46
9509,stevens,16,15,15,11
32,spokane,60,200,53,133
106.01,spokane,33,132,36,89
9511,stevens,5,27,9,23
46.01,spokane,63,156,61,92
35,spokane,76,26,53,25
9,whitman,27,20,23,16
106.03,spokane,50,125,48,78
9513.01,stevens,27,40,30,45
46.02,spokane,79,168,90,123
36.01,spokane,34,19,44,24
10,whitman,17,11,21,13
106.04,spokane,12,102,19,94
9513.02,stevens,0,5,13,9
47.01,spokane,52,152,63,132
36.02,spokane,104,18,111,30
1,whitman,292,65,124,45
107.01,spokane,120,257,124,145
9514.01,stevens,1,78,2,77
47.02,spokane,187,109,200,84
38,spokane,40,97,32,44
2.01,whitman,417,304,225,174
107.02,spokane,78,288,76,178
9514.02,stevens,104,230,102,123
48,spokane,101,167,70,123
39,spokane,52,81,36,73
2.02,whitman,214,31,211,45
108,spokane,12,37,19,25
49,spokane,88,237,84,148
40.01,spokane,349,87,256,79
3,whitman,448,277,268,184
109.01,spokane,48,31,38,29
50,spokane,118,103,119,82
40.02,spokane,27,58,42,78
4,whitman,381,204,214,100
109.02,spokane,104,223,64,148
101.01,spokane,30,93,46,84
41,spokane,38,49,35,57
5,whitman,363,100,141,67
110,spokane,26,67,57,47
101.02,spokane,0,18,13,31
42,spokane,65,154,42,82
6.01,whitman,1358,210,369,126
111.02,spokane,62,123,70,100
102.01,spokane,13,49,19,43
43,spokane,59,168,58,82
6.02,whitman,413,166,173,101
111.03,spokane,276,116,201,95
102.03,spokane,40,142,43,152
44,spokane,30,111,38,85
7,whitman,22,50,22,32
111.04,spokane,0,48,13,68
102.04,spokane,0,0,13,13
45,spokane,21,93,24,62
8,whitman,35,49,40,50
112.02,spokane,39,119,37,94
113.01,spokane,55,133,56,130
112.04,spokane,45,511,34,243
112.03,spokane,488,102,306,84
113.02,spokane,86,361,68,215
114,spokane,117,103,118,105
115,spokane,24,76,21,48
117.01,spokane,10,82,13,73
116,spokane,23,35,22,20
117.02,spokane,429,261,322,170
120,spokane,7,76,12,59
119,spokane,187,144,186,98
118,spokane,61,128,54,96
