tract,county,computer,no_computer,moe_computer,moe_no_computer
9501,adams,1023,76,99,29
9502,adams,548,64,96,32
9503.01,adams,318,183,77,102
9503.02,adams,566,55,124,48
9503.03,adams,608,24,119,28
9504,adams,713,163,115,84
9505,adams,1519,175,178,96
9601,asotin,1664,118,191,55
9602,asotin,1872,142,151,82
9603,asotin,1279,85,142,47
9604,asotin,941,53,136,36
9605,asotin,1345,181,130,77
9606,asotin,1542,64,167,45
9400,ferry,523,127,70,34
9701,ferry,1097,167,129,59
9702,ferry,1063,198,147,74
9703,garfield,897,89,82,40
2.01,spokane,1179,116,153,104
2.02,spokane,570,46,125,35
3.01,spokane,1026,69,130,82
3.02,spokane,946,89,163,59
4,spokane,1488,150,225,70
5,spokane,1368,79,122,43
6,spokane,1267,19,120,17
7,spokane,2134,97,298,52
8,spokane,1837,118,149,61
9,spokane,2177,191,227,105
10,spokane,2127,182,282,93
11,spokane,1311,100,200,62
12,spokane,933,56,97,29
13,spokane,1420,101,188,62
14,spokane,2321,94,244,74
15,spokane,2096,299,298,222
16,spokane,1175,179,151,66
18,spokane,1087,288,164,127
19,spokane,1379,98,131,56
20,spokane,1600,107,184,62
21,spokane,1081,44,158,35
23,spokane,1913,269,258,212
24,spokane,984,168,145,81
25.01,spokane,1096,15,195,23
25.02,spokane,828,186,198,86
25.03,spokane,186,11,75,18
26,spokane,2024,59,268,73
29,spokane,1177,50,220,25
30,spokane,853,113,104,42
31,spokane,2066,118,294,82
32,spokane,1416,158,241,127
35,spokane,1462,376,184,118
36.01,spokane,1138,80,289,66
36.02,spokane,1533,166,290,116
1,whitman,1160,17,171,27
38,spokane,854,40,97,23
2.01,whitman,1878,27,322,33
39,spokane,951,72,142,46
2.02,whitman,945,0,159,13
40.01,spokane,1312,14,288,22
3,whitman,2351,41,242,37
40.02,spokane,1257,19,190,23
4,whitman,1774,224,197,106
41,spokane,1030,42,124,47
5,whitman,430,17,111,20
42,spokane,1865,71,214,48
6.01,whitman,2250,0,322,13
43,spokane,1423,93,164,56
6.02,whitman,1947,50,263,80
44,spokane,2038,91,294,52
7,whitman,1359,121,131,37
45,spokane,1486,16,151,18
8,whitman,1283,141,206,75
46.01,spokane,1744,380,227,170
9,whitman,1443,144,132,32
46.02,spokane,1156,74,213,65
10,whitman,846,37,120,18
47.01,spokane,1077,59,199,64
47.02,spokane,1566,131,185,91
48,spokane,1981,76,285,37
49,spokane,2255,60,234,54
50,spokane,1782,218,233,118
9601,lincoln,733,36,91,28
101.01,spokane,1334,147,243,103
9602,lincoln,1283,53,137,26
101.02,spokane,980,65,201,79
9603,lincoln,1064,70,109,30
102.01,spokane,1723,135,408,85
9604,lincoln,1256,133,135,42
102.03,spokane,1449,0,99,13
102.04,spokane,939,35,127,38
103.01,spokane,1833,154,183,79
103.03,spokane,1210,26,163,40
103.04,spokane,2074,183,216,126
103.05,spokane,2604,40,515,41
104.01,spokane,1636,116,153,62
104.03,spokane,1148,74,189,63
104.04,spokane,1157,102,137,69
128.02,spokane,1315,146,179,163
105.04,spokane,1307,21,111,23
129.01,spokane,1061,136,139,64
105.05,spokane,1241,0,172,13
129.02,spokane,2500,139,295,89
105.06,spokane,2264,137,214,62
130.01,spokane,400,0,77,13
105.07,spokane,1590,68,192,70
130.02,spokane,1230,79,177,67
105.08,spokane,1313,9,219,17
130.03,spokane,2178,150,306,80
106.01,spokane,1291,81,134,53
131.01,spokane,3365,58,691,68
106.03,spokane,1884,26,271,30
131.02,spokane,1981,84,249,90
106.04,spokane,1273,69,188,55
132.01,spokane,2637,59,200,43
107.01,spokane,1447,15,160,28
132.03,spokane,1049,12,226,19
107.02,spokane,1135,27,138,33
132.04,spokane,1550,52,247,49
108,spokane,823,148,104,103
132.05,spokane,1211,0,222,13
109.01,spokane,803,10,128,15
133,spokane,1182,26,178,23
109.02,spokane,685,0,86,13
134.01,spokane,2003,16,248,18
110,spokane,1388,88,170,52
135.01,spokane,633,18,109,30
111.02,spokane,1627,102,211,89
135.02,spokane,875,18,164,30
111.03,spokane,1422,263,291,111
135.03,spokane,2199,12,302,21
111.04,spokane,1164,130,231,88
136,spokane,1897,65,221,54
112.02,spokane,1527,75,215,39
137,spokane,1320,57,151,38
127.02,spokane,857,42,139,33
112.03,spokane,2321,337,299,230
138,spokane,813,13,153,20
128.01,spokane,1591,48,134,27
112.04,spokane,880,101,157,75
139,spokane,2086,71,225,52
113.01,spokane,1465,127,265,78
140.01,spokane,1658,75,234,56
113.02,spokane,1996,19,332,28
140.02,spokane,2469,125,281,91
114,spokane,1987,128,310,78
141,spokane,2182,195,271,100
115,spokane,603,26,134,17
142,spokane,1426,78,278,46
116,spokane,713,51,75,20
143,spokane,1037,97,105,35
117.01,spokane,1004,116,141,61
144,spokane,1632,97,194,48
117.02,spokane,3083,146,348,94
145,spokane,774,94,140,68
118,spokane,2470,377,411,134
9410,stevens,731,127,90,43
119,spokane,1873,189,265,90
9501.01,stevens,1591,285,161,80
120,spokane,1762,80,319,59
9501.02,stevens,1190,120,200,62
121,spokane,1008,111,139,58
9502,stevens,1308,180,164,76
122,spokane,846,116,105,56
9503,stevens,977,64,110,48
123,spokane,2246,287,336,143
9505,stevens,1048,123,193,67
124.01,spokane,1825,343,264,195
9506,stevens,890,113,115,50
124.02,spokane,2394,53,180,48
9507,stevens,881,141,90,57
125,spokane,1221,124,166,76
9508,stevens,1234,145,162,70
126,spokane,1644,72,231,63
9509,stevens,608,97,67,33
127.01,spokane,1561,285,212,110
9511,stevens,1423,84,186,37
9513.01,stevens,817,143,128,75
9513.02,stevens,539,80,90,33
9514.01,stevens,1156,248,187,119
9514.02,stevens,1524,16,122,25
