tract,county,desktop_laptop,only_desktop_laptop,with_smartphone,only_smartphone,with_tablet,only_tablet,with_other,only_other,moe_desktop_laptop,moe_only_desktop_laptop,moe_with_smartphone,moe_only_smartphone,moe_with_tablet,moe_only_tablet,moe_with_other,moe_only_other
9501,adams,754,88,867,153,604,20,17,0,106,28,105,47,103,15,14,13
102.01,spokane,1538,93,1574,114,922,0,65,0,425,56,407,81,143,13,62,13
9502,adams,448,21,503,68,327,4,17,0,97,12,94,34,53,5,14,13
102.03,spokane,1396,22,1427,36,1182,0,32,0,118,33,100,56,120,13,41,13
9503.01,adams,242,17,301,76,190,0,3,0,72,22,81,49,77,13,6,13
102.04,spokane,822,79,787,97,640,0,47,0,104,77,149,113,133,13,58,13
9503.02,adams,305,0,554,132,377,0,8,0,104,13,123,114,91,13,13,13
103.01,spokane,1452,104,1667,297,1124,0,15,0,158,61,183,142,135,13,16,13
9503.03,adams,396,6,581,97,305,0,31,0,104,11,122,89,115,13,36,13
103.03,spokane,1091,64,1082,57,779,27,23,0,178,40,163,46,142,42,24,13
9504,adams,455,46,639,187,429,28,10,0,108,29,116,89,110,28,11,13
103.04,spokane,1717,114,1873,258,1299,29,0,0,274,72,220,158,253,37,18,18
9505,adams,807,25,1483,461,790,0,17,0,144,29,177,194,190,18,29,18
103.05,spokane,2517,113,2427,17,2204,0,54,0,519,142,507,27,504,18,52,18
9601,asotin,1497,150,1401,81,1121,50,99,0,190,65,183,44,205,36,85,13
104.01,spokane,1300,44,1528,241,1099,17,25,0,143,27,145,99,162,26,23,18
9602,asotin,1679,81,1679,101,1463,0,14,0,183,51,172,86,165,13,22,13
104.03,spokane,1007,65,1003,123,689,7,0,0,216,59,185,93,151,10,13,13
9603,asotin,977,59,1193,207,787,0,34,0,157,43,145,79,146,13,39,13
104.04,spokane,1030,153,983,105,734,0,0,0,130,89,142,96,145,13,13,13
9604,asotin,750,109,715,111,581,16,20,0,124,41,103,53,138,19,19,13
105.04,spokane,1216,71,1171,38,1009,0,27,0,110,40,125,30,77,13,24,13
9605,asotin,1157,96,1163,141,737,39,15,0,128,48,124,86,131,38,19,13
105.05,spokane,1150,83,1158,72,963,0,26,0,177,90,154,83,169,13,31,13
9606,asotin,1347,163,1333,84,915,37,22,0,171,69,172,47,174,39,26,13
105.06,spokane,1993,63,2149,89,1843,0,14,0,248,46,215,80,229,18,25,18
105.07,spokane,1498,75,1475,46,1141,17,24,0,204,78,180,73,139,27,28,13
105.08,spokane,1244,42,1257,55,1034,0,0,0,216,40,221,86,185,13,13,13
106.01,spokane,1222,43,1193,47,959,6,15,0,140,28,143,39,129,10,18,13
106.03,spokane,1757,51,1714,65,1496,19,0,0,277,49,238,46,314,30,13,13
106.04,spokane,1254,65,1208,19,918,0,10,0,188,52,185,29,141,13,16,13
107.01,spokane,1371,43,1392,56,1109,0,43,0,156,37,166,58,179,13,38,13
107.02,spokane,1076,48,1018,11,1013,39,118,0,138,37,144,18,135,60,80,13
108,spokane,709,67,711,77,492,13,17,0,100,35,103,47,74,14,13,13
109.01,spokane,649,47,719,88,513,28,30,0,126,31,134,70,126,42,38,13
109.02,spokane,642,22,636,22,515,0,19,0,86,23,86,21,89,13,23,13
110,spokane,1187,64,1291,148,908,8,35,7,160,37,166,76,149,13,29,14
111.02,spokane,1375,18,1530,135,965,10,31,0,209,29,213,96,160,19,35,13
111.03,spokane,1180,133,1105,90,981,98,20,0,307,90,305,77,336,93,30,13
1,whitman,1092,17,1109,58,630,0,0,0,173,16,169,38,110,18,18,18
111.04,spokane,776,0,1063,301,584,13,44,0,216,13,235,161,215,21,55,13
2.01,whitman,1785,54,1715,52,1231,34,11,0,321,42,336,79,240,34,15,13
112.02,spokane,1383,117,1390,77,918,5,41,0,221,77,207,61,175,6,29,13
2.02,whitman,897,0,885,13,744,21,125,0,160,13,157,23,141,32,75,13
