"","provider_id","company"
"1",76178,"VSATSystemsLLC"
"2",77236,"First Step Internet, LLC"
"3",79497,"Viasat Inc"
"4",81097,"HughesNet"
"5",81199,"Space Exploration Technologies Corp."
"8",78962,"Frontier Communications Northwest, LLC, dba Ziply Fiber"
"10",86844,"T-Mobile"
"12",78350,"Charter Communications Inc"
"123",76067,"Colfax Highline Cable Co."
"127",75896,"CenturyLink"
"134",78774,"Wired or Wireless Inc."
"200",77036,"StarTouch, Inc."
"206",78709,"Comcast"
"3395",79155,"Blackfoot Communications, Inc. DBA Blackfoot Communications"
"3978",79078,"Wave"
"6459",84932,"United States Cellular Corporation"
"6465",78688,"LocalTel Communications"
"6505",78703,"deployment"
"6615",81190,"King Street L.P."
"6616",79653,"EVHoldings 1 LLC"
"7653",79058,"Vyve Broadband"
"12531",76068,"St. John Cable Co."
"14390",76279,"Cable ONE"
"14844",76160,"Inland Networks"
"14953",76763,"TDS TELECOM"
"15043",76826,"Emerge Technologies Powered By Inland Cellular"
"15222",86804,"Verizon Wireless"
"15579",77236,"First Step Internet, LLC (10x10 Custom Plan Not Available)"
"16485",78572,"PocketiNet Communications, Inc."
"21537",77684,"CougarWireless"
"26052",86711,"Columbia iConnect"
"26890",77236,"First Step Internet, LLC (20x20 Custom Plan Not Available)"
"32441",80910,"tds metrocom"
"34220",79467,"NeuBeam"
"34320",81890,"Red-Spectrum Communications"
"36313",81327,"Davis Communications Inc"
"48097",78075,"Lokket Inc"
"56601",80680,"NCI Datacom"
"103924",80564,"Washington Broadband Inc."
"117942",76826,"Inland Cellular"
"129968",79750,"Adept Internet Solutions"
"140711",76351,"Concept Cable"
"140800",82887,"Wired or Wireless"
"140893",78068,"Rural Telephone"
"147026",76880,"TVAssociationOfRepublic"
