"","variable","variable.y","dataset"
"1","B05011_001","estimate_total","period_of_naturalization"
"2","B05011_002","estimate_total_not_a_u.s._citizen","period_of_naturalization"
"3","B05011_003","estimate_total_naturalized_citizens","period_of_naturalization"
"4","B05011_004","estimate_total_naturalized_citizens_naturalized_2015_or_later","period_of_naturalization"
"5","B05011_005","estimate_total_naturalized_citizens_naturalized_2010_to_2014","period_of_naturalization"
"6","B05011_006","estimate_total_naturalized_citizens_naturalized_2005_to_2009","period_of_naturalization"
"7","B05011_007","estimate_total_naturalized_citizens_naturalized_2000_to_2004","period_of_naturalization"
"8","B05011_008","estimate_total_naturalized_citizens_naturalized_1995_to_1999","period_of_naturalization"
"9","B05011_009","estimate_total_naturalized_citizens_naturalized_1990_to_1994","period_of_naturalization"
"10","B05011_010","estimate_total_naturalized_citizens_naturalized_before_1990","period_of_naturalization"
"11","B05012_001","estimate_total","nativity_in_the_united_states"
"12","B05012_002","estimate_total_native","nativity_in_the_united_states"
"13","B05012_003","estimate_total_foreign-born","nativity_in_the_united_states"
"14","B08101_001","estimate_total","means_of_transportation_to_work_by_age"
"15","B08101_002","estimate_total_16_to_19_years","means_of_transportation_to_work_by_age"
"16","B08101_003","estimate_total_20_to_24_years","means_of_transportation_to_work_by_age"
"17","B08101_004","estimate_total_25_to_44_years","means_of_transportation_to_work_by_age"
"18","B08101_005","estimate_total_45_to_54_years","means_of_transportation_to_work_by_age"
"19","B08101_006","estimate_total_55_to_59_years","means_of_transportation_to_work_by_age"
"20","B08101_007","estimate_total_60_to_64_years","means_of_transportation_to_work_by_age"
"21","B08101_008","estimate_total_65_years_and_over","means_of_transportation_to_work_by_age"
"22","B08101_009","estimate_total_car,_truck,_or_van_-_drove_alone","means_of_transportation_to_work_by_age"
"23","B08101_010","estimate_total_car,_truck,_or_van_-_drove_alone_16_to_19_years","means_of_transportation_to_work_by_age"
"24","B08101_011","estimate_total_car,_truck,_or_van_-_drove_alone_20_to_24_years","means_of_transportation_to_work_by_age"
"25","B08101_012","estimate_total_car,_truck,_or_van_-_drove_alone_25_to_44_years","means_of_transportation_to_work_by_age"
"26","B08101_013","estimate_total_car,_truck,_or_van_-_drove_alone_45_to_54_years","means_of_transportation_to_work_by_age"
"27","B08101_014","estimate_total_car,_truck,_or_van_-_drove_alone_55_to_59_years","means_of_transportation_to_work_by_age"
"28","B08101_015","estimate_total_car,_truck,_or_van_-_drove_alone_60_to_64_years","means_of_transportation_to_work_by_age"
"29","B08101_016","estimate_total_car,_truck,_or_van_-_drove_alone_65_years_and_over","means_of_transportation_to_work_by_age"
"30","B08101_017","estimate_total_car,_truck,_or_van_-_carpooled","means_of_transportation_to_work_by_age"
"31","B08101_018","estimate_total_car,_truck,_or_van_-_carpooled_16_to_19_years","means_of_transportation_to_work_by_age"
"32","B08101_019","estimate_total_car,_truck,_or_van_-_carpooled_20_to_24_years","means_of_transportation_to_work_by_age"
"33","B08101_020","estimate_total_car,_truck,_or_van_-_carpooled_25_to_44_years","means_of_transportation_to_work_by_age"
"34","B08101_021","estimate_total_car,_truck,_or_van_-_carpooled_45_to_54_years","means_of_transportation_to_work_by_age"
"35","B08101_022","estimate_total_car,_truck,_or_van_-_carpooled_55_to_59_years","means_of_transportation_to_work_by_age"
"36","B08101_023","estimate_total_car,_truck,_or_van_-_carpooled_60_to_64_years","means_of_transportation_to_work_by_age"
"37","B08101_024","estimate_total_car,_truck,_or_van_-_carpooled_65_years_and_over","means_of_transportation_to_work_by_age"
"38","B08101_025","estimate_total_public_transportation_(excluding_taxicab)","means_of_transportation_to_work_by_age"
"39","B08101_026","estimate_total_public_transportation_(excluding_taxicab)_16_to_19_years","means_of_transportation_to_work_by_age"
"40","B08101_027","estimate_total_public_transportation_(excluding_taxicab)_20_to_24_years","means_of_transportation_to_work_by_age"
"41","B08101_028","estimate_total_public_transportation_(excluding_taxicab)_25_to_44_years","means_of_transportation_to_work_by_age"
"42","B08101_029","estimate_total_public_transportation_(excluding_taxicab)_45_to_54_years","means_of_transportation_to_work_by_age"
"43","B08101_030","estimate_total_public_transportation_(excluding_taxicab)_55_to_59_years","means_of_transportation_to_work_by_age"
"44","B08101_031","estimate_total_public_transportation_(excluding_taxicab)_60_to_64_years","means_of_transportation_to_work_by_age"
"45","B08101_032","estimate_total_public_transportation_(excluding_taxicab)_65_years_and_over","means_of_transportation_to_work_by_age"
"46","B08101_033","estimate_total_walked","means_of_transportation_to_work_by_age"
"47","B08101_034","estimate_total_walked_16_to_19_years","means_of_transportation_to_work_by_age"
